seq_id  alignment_start alignment_end envelope_start envelope_end hmm_acc hmm_name type hmm_start hmm_end hmm_length bit_score E-value significance clan
AC018554.3	         79    283     78    288 PF15229.5   POM121            Family     2   210   232     88.2   6.1e-25   1 No_clan  
C6orf58	            30    304     28    320 PF05612.11  Leg1              Family     3   283   331    271.2   1.1e-80   1 No_clan  
C8orf59	             1     45      1     46 PF15679.4   DUF4665           Family     1    45    99     69.9     2e-19   1 No_clan  
C8orf59	           1    100      1    100 PF15679.4   DUF4665           Family     1    99    99    127.0   3.3e-37   1 No_clan  
C8orf59	           1     44      1     46 PF15679.4   DUF4665           Family     1    44    99     61.9   6.4e-17   1 No_clan  
C8orf59	           1     39      1     42 PF15679.4   DUF4665           Family     1    39    99     60.9   1.3e-16   1 No_clan  
C9orf24	             1     57      1     83 PF15181.5   SMRP1             Family   136   192   262     95.1   4.9e-27   1 No_clan  
C9orf24	           1    127      1    127 PF15181.5   SMRP1             Family   136   262   262    237.9   1.3e-70   1 No_clan  
C9orf24	           1    118      1    124 PF15181.5   SMRP1             Family   136   252   262    194.1   3.1e-57   1 No_clan  
C9orf24	           1    262      1    262 PF15181.5   SMRP1             Family     1   262   262    513.3  1.3e-154   1 No_clan  
C9orf24	           2    116      1    122 PF15181.5   SMRP1             Family    36   149   262    179.9   6.6e-53   1 No_clan  
C9orf43	             1    454      1    454 PF15504.5   DUF4647           Family     1   456   456    748.5  2.9e-225   1 No_clan  
CAMK2N1	             1     78      1     78 PF15170.5   CaM-KIIN          Family     1    79    79    160.4     8e-48   1 No_clan  
CAMLG	              23    292     23    292 PF14963.5   CAML              Family     1   270   270    471.3  1.3e-141   1 No_clan  
CAMLG	            23     56     23     68 PF14963.5   CAML              Family     1    34   270     55.6   8.1e-15   1 No_clan  
CARD6	               9     89      8     92 PF00619.20  CARD              Domain     2    81    85     65.9   2.3e-18   1 CL0041   
CARD6	             9     89      8     92 PF00619.20  CARD              Domain     2    81    85     68.5   3.7e-19   1 CL0041   
CATSPERE	          307    776    259    784 PF15020.5   CATSPERD          Family   215   702   729    102.1   2.4e-29   1 No_clan  
CATSPERE	        458    927    410    935 PF15020.5   CATSPERD          Family   215   702   729    101.4   3.8e-29   1 No_clan  
CATSPERE	        458    817    410    827 PF15020.5   CATSPERD          Family   215   597   729     51.9   3.7e-14   1 No_clan  
CATSPERE	        378    847    330    855 PF15020.5   CATSPERD          Family   215   702   729    101.8     3e-29   1 No_clan  
CCDC168	           472    532    429    546 PF15804.4   CCDC168_N         Repeat   124   185   205     16.0    0.0079   1 No_clan  
CCDC168	          1692   1751   1664   1763 PF15804.4   CCDC168_N         Repeat   129   187   205     12.0      0.13   1 No_clan  
CCDC168	          2786   2926   2784   2935 PF15804.4   CCDC168_N         Repeat     4   135   205     17.0    0.0038   1 No_clan  
CCDC168	          3555   3632   3541   3634 PF15804.4   CCDC168_N         Repeat   125   203   205     24.3   2.3e-05   1 No_clan  
CCDC168	          3647   3678   3643   3682 PF15804.4   CCDC168_N         Repeat   113   143   205      5.0        18   1 No_clan  
CCDC168	          3660   3807   3659   3808 PF15804.4   CCDC168_N         Repeat     2   141   205     56.3   3.6e-15   1 No_clan  
CCDC168	          3791   3924   3790   3927 PF15804.4   CCDC168_N         Repeat     2   132   205     38.7   8.8e-10   1 No_clan  
CCDC168	          3917   4057   3916   4061 PF15804.4   CCDC168_N         Repeat     2   145   205     35.8   6.9e-09   1 No_clan  
CCDC168	          4040   4223   4038   4229 PF15804.4   CCDC168_N         Repeat    12   194   205     54.8     1e-14   1 No_clan  
CCDC168	          4252   4364   4242   4408 PF15804.4   CCDC168_N         Repeat    44   152   205     31.5   1.4e-07   1 No_clan  
CCDC168	          4415   4571   4404   4578 PF15804.4   CCDC168_N         Repeat    44   197   205     73.3   2.3e-20   1 No_clan  
CCDC168	          4570   4619   4568   4628 PF15804.4   CCDC168_N         Repeat    68   116   205      4.1        36   1 No_clan  
CCDC168	          4632   4835   4631   4835 PF15804.4   CCDC168_N         Repeat     2   205   205    322.7   9.4e-97   1 No_clan  
CCDC168	          4881   5004   4879   5014 PF15804.4   CCDC168_N         Repeat     3   124   205     49.0   6.2e-13   1 No_clan  
CCDC168	          5012   5210   5009   5211 PF15804.4   CCDC168_N         Repeat     3   204   205    119.9   1.2e-34   1 No_clan  
CCDC168	          5162   5279   5162   5284 PF15804.4   CCDC168_N         Repeat    23   135   205     31.3   1.6e-07   1 No_clan  
CCDC168	          5285   5374   5282   5378 PF15804.4   CCDC168_N         Repeat    44   134   205      8.4       1.6   1 No_clan  
CCDC168	          5378   5511   5373   5515 PF15804.4   CCDC168_N         Repeat    16   143   205     47.3     2e-12   1 No_clan  
CCDC168	          5512   5629   5507   5644 PF15804.4   CCDC168_N         Repeat    24   135   205     39.5     5e-10   1 No_clan  
CCDC185	           251    619    251    620 PF15558.5   DUF4659           Family     1   373   374    462.2    1e-138   1 No_clan  
CCDC188	           237    401    227    401 PF14992.5   TMCO5             Family   110   275   275     34.8   1.2e-08   1 No_clan  
CCDC7	             1    170      1    170 PF15368.5   BioT2             Family     1   170   170    292.5   9.3e-88   1 No_clan  
CCDC7	             1    170      1    170 PF15368.5   BioT2             Family     1   170   170    292.5   8.9e-88   1 No_clan  
CCDC7	             1    170      1    170 PF15368.5   BioT2             Family     1   170   170    288.4   1.7e-86   1 No_clan  
CCDC7	             1    170      1    170 PF15368.5   BioT2             Family     1   170   170    285.9   9.9e-86   1 No_clan  
CCDC7	             1    170      1    170 PF15368.5   BioT2             Family     1   170   170    290.4   3.9e-87   1 No_clan  
CCDC7	             1    170      1    170 PF15368.5   BioT2             Family     1   170   170    292.6   8.5e-88   1 No_clan  
CCDC96	            366    540    365    541 PF13870.5   DUF4201           Family     2   176   177    175.0     1e-51   1 No_clan  
CCER1	               4    219      4    219 PF15482.5   CCER1            Coiled-coil     1   214   214    401.5  8.7e-121   1 No_clan  
CD52	               32     61     21     61 PF15116.5   CD52              Family    15    44    44     36.2   4.1e-09   1 No_clan  
CENPBD1	            16     67     16     68 PF04218.12  CENP-B_N          Domain     1    52    53     30.5   1.8e-07   1 CL0123   
CENPBD1	            88    152     87    156 PF03221.15  HTH_Tnp_Tc5       Domain     2    63    66     42.2   5.7e-11   1 CL0123   
CFAP46	           2273   2507   2224   2509 PF03568.16  Peptidase_C50     Family   165   352   395     27.9   1.1e-06   1 CL0093   
CHCHD1	             45     78     45     79 PF06747.12  CHCH              Domain     1    34    35     38.5   8.1e-10   1 CL0351   
CHCHD1	           45     78     45     79 PF06747.12  CHCH              Domain     1    34    35     39.0   5.5e-10   1 CL0351   
CLBA1	           193    272    193    272 PF15045.5   Clathrin_bdg      Family     1    80    80    123.7     2e-36   1 No_clan  
CLBA1	             1     30      1     30 PF15045.5   Clathrin_bdg      Family    51    80    80     31.6   1.1e-07   1 No_clan  
CLBA1	            87    166     87    166 PF15045.5   Clathrin_bdg      Family     1    80    80    124.8   9.1e-37   1 No_clan  
COA1	             20     80     18     85 PF08695.9   Coa1              Family     3    64   117     27.1   2.5e-06   1 CL0455   
COA1	             20    110     18    114 PF08695.9   Coa1              Family     3    93   117     52.9   2.5e-14   1 CL0455   
COA1	             20    133     18    134 PF08695.9   Coa1              Family     3   116   117     74.1   6.5e-21   1 CL0455   
COX14	               2     53      1     56 PF14880.5   COX14             Family     4    55    59     59.0   2.8e-16   1 No_clan  
COX19	              30     64     30     64 PF06747.12  CHCH              Domain     1    35    35     33.2   3.6e-08   1 CL0351   
COX19	            30     64     30     64 PF06747.12  CHCH              Domain     1    35    35     32.4   6.7e-08   1 CL0351   
COX7B2	              2     32      2     33 PF05392.10  COX7B             Family     1    30    78     31.3   1.1e-07   1 No_clan  
COX7B2	            2     80      2     80 PF05392.10  COX7B             Family     1    78    78    143.7   8.8e-43   1 No_clan  
COX7B2	            1     79      1     79 PF05392.10  COX7B             Family     1    78    78    143.8   8.4e-43   1 No_clan  
CST9	               49    122     43    135 PF00666.16  Cathelicidins     Domain     7    76   101     22.3   0.00012   1 CL0121   
CTU1	               54    237     53    250 PF01171.19  ATP_bind_3        Family     2   168   182     61.8   6.5e-17   1 CL0039   
CTU1	              285    316    285    316 PF16503.4   zn-ribbon_14      Family     1    32    32     47.7   7.3e-13   1 No_clan  
CYLC1	               7     58      7     66 PF15241.5   Cylicin_N         Family     1    52   107     86.1   1.6e-24   1 No_clan  
CYLC1	             8    114      8    114 PF15241.5   Cylicin_N         Family     1   107   107    159.9   1.8e-47   1 No_clan  
CYSRT1	             41    181     41    181 PF10631.8   DUF2477           Family     1   141   141    263.0   8.2e-79   1 No_clan  
CYYR1	               8    112      7    128 PF10873.7   CYYR1             Family     2   106   149    195.3   6.5e-58   1 No_clan  
CYYR1	             8    154      7    154 PF10873.7   CYYR1             Family     2   149   149    270.1   5.9e-81   1 No_clan  
DAOA	               63    125     53    125 PF15199.5   DAOA              Family    19    82    82    139.8   2.7e-41   1 No_clan  
DAOA	             72     98     72    110 PF15199.5   DAOA              Family     1    27    82     48.0   1.1e-12   1 No_clan  
DAOA	             72     94     72     97 PF15199.5   DAOA              Family     1    23    82     45.9   5.4e-12   1 No_clan  
DAOA	             72    153     72    153 PF15199.5   DAOA              Family     1    82    82    198.8   9.7e-60   1 No_clan  
DAOA	              1     27      1     42 PF15199.5   DAOA              Family     1    27    82     50.2   2.4e-13   1 No_clan  
DAOA	              1     82      1     82 PF15199.5   DAOA              Family     1    82    82    201.7   1.3e-60   1 No_clan  
DDN	                55    709     55    709 PF15498.5   Dendrin           Family     1   656   656   1247.0         0   1 No_clan  
DEC1	                3     69      3     69 PF15859.4   DEC1              Family     1    67    67    151.3   5.2e-45   1 No_clan  
DEC1	              3     69      3     69 PF15859.4   DEC1              Family     1    67    67    151.9   3.5e-45   1 No_clan  
DLEU7	              28    153     28    157 PF15760.4   DLEU7             Family     1   126   194    219.9   1.8e-65   1 No_clan  
DLEU7	            28    221     28    221 PF15760.4   DLEU7             Family     1   194   194    360.1  2.1e-108   1 No_clan  
DMAC1	              47     92     46     92 PF15055.5   DUF4536           Domain     2    47    47     74.9   3.9e-21   1 No_clan  
DYNAP	              56     85     56     85 PF15675.4   CLLAC             Family     1    30    30     63.1   1.1e-17   1 No_clan  
DYNAP	           108    137    108    137 PF15675.4   CLLAC             Family     1    30    30     62.5   1.7e-17   1 No_clan  
EMCN	                1    138      1    138 PF07010.11  Endomucin         Family     1   138   260    108.8   4.2e-31   1 No_clan  
EMCN	              138    178    136    178 PF07010.11  Endomucin         Family   220   260   260     93.3   2.2e-26   1 No_clan  
EMCN	              1    261      1    261 PF07010.11  Endomucin         Family     1   260   260    369.9  9.1e-111   1 No_clan  
EMCN	              1    139      1    140 PF07010.11  Endomucin         Family     1   139   260    110.4   1.4e-31   1 No_clan  
EMCN	            139    165    138    165 PF07010.11  Endomucin         Family   189   215   260     46.2   5.1e-12   1 No_clan  
EMCN	              1    248      1    248 PF07010.11  Endomucin         Family     1   260   260    332.4   2.5e-99   1 No_clan  
EMCN	              1     65      1     66 PF07010.11  Endomucin         Family    74   138   260     52.5   6.3e-14   1 No_clan  
EQTN	               53    250     53    250 PF15339.5   Afaf              Family     1   198   198    365.2  7.2e-110   1 No_clan  
EQTN	             53    125     53    127 PF15339.5   Afaf              Family     1    73   198    104.6   5.4e-30   1 No_clan  
EQTN	             53     96     53     99 PF15339.5   Afaf              Family     1    44   198     77.3   1.2e-21   1 No_clan  
EQTN	             98    221     96    221 PF15339.5   Afaf              Family    75   198   198    240.7   1.1e-71   1 No_clan  
ERCC1	              35    141     31    141 PF03834.13  Rad10             Family     8   114   114    161.6   5.5e-48   1 CL0236   
ERCC1	            35    141     31    141 PF03834.13  Rad10             Family     8   114   114    161.3   6.7e-48   1 CL0236   
ERCC1	           167    215    165    219 PF14520.5   HHH_5             Domain     4    53    57     28.8   1.3e-06   1 CL0198   
ERCC1	           100    141    100    142 PF03834.13  Rad10             Family     1    42   114     51.0   1.2e-13   1 CL0236   
ERCC1	           100    213    100    213 PF03834.13  Rad10             Family     1   114   114    174.0     8e-52   1 CL0236   
ERCC1	           100    213    100    213 PF03834.13  Rad10             Family     1   114   114    173.7     1e-51   1 CL0236   
ERCC1	           100    213    100    213 PF03834.13  Rad10             Family     1   114   114    173.2   1.4e-51   1 CL0236   
ERCC1	           239    287    237    291 PF14520.5   HHH_5             Domain     4    53    57     28.1   2.1e-06   1 CL0198   
ERCC1	           100    213    100    213 PF03834.13  Rad10             Family     1   114   114    172.9   1.7e-51   1 CL0236   
ERCC1	           100    213    100    213 PF03834.13  Rad10             Family     1   114   114    173.5   1.2e-51   1 CL0236   
ERCC1	           235    263    235    264 PF00633.22  HHH                Motif     1    29    30     24.8   1.3e-05   1 CL0198   
ERCC1	           100    202    100    205 PF03834.13  Rad10             Family     1   103   114    151.0   1.1e-44   1 CL0236   
ERCC1_10	            2     57      1     62 PF03834.13  Rad10             Family    48   103   114     72.8     2e-20   1 CL0236   
ERCC1_11	            2     26      1     26 PF03834.13  Rad10             Family    90   114   114     30.0   3.7e-07   1 CL0236   
ERICH5	           94    267     94    267 PF15140.5   DUF4573           Family     1   174   174    233.6   1.1e-69   1 No_clan  
ERVW-1	             82    476     56    477 PF00429.18  TLV_coat          Family   155   560   561    231.4   1.9e-68   1 No_clan  
EXO5	             71    161     71    161 PF09810.8   Exo5              Family     1    92   368     62.0   6.4e-17   1 CL0236   
EXO5	             71    191     71    195 PF09810.8   Exo5              Family     1   122   368     99.8     2e-28   1 CL0236   
EXO5	             71    191     71    196 PF09810.8   Exo5              Family     1   122   368    100.0   1.7e-28   1 CL0236   
EXO5	             71    191     71    197 PF09810.8   Exo5              Family     1   122   368     99.8     2e-28   1 CL0236   
EXO5	             71    191     71    196 PF09810.8   Exo5              Family     1   122   368     98.4   5.5e-28   1 CL0236   
EXO5	            285    355    263    355 PF09810.8   Exo5              Family   298   368   368     75.2   6.3e-21   1 CL0236   
FAAP20	           35    139     35    139 PF15751.4   FANCA_interact    Family     1   108   108    144.2   1.6e-42   1 No_clan  
