species	Gene_focal	Gene_ortho
Ashbya_aceri	ATG27	AACERI_AaceriAEL138C
Ashbya_aceri	ATG36	AACERI_AaceriAEL146C
Ashbya_aceri	ATG36	AACERI_AaceriAEL147W
Ashbya_aceri	ATG3	AACERI_AaceriAFL178W
Ashbya_aceri	ATG4	AACERI_AaceriABL191W
Ashbya_aceri	ATG9	AACERI_AaceriADR071W
Ashbya_aceri	ATP12	AACERI_AaceriAEL140C
Ashbya_aceri	ATP16	AACERI_AaceriAEL008W
Ashbya_aceri	ATX1	AACERI_AaceriAFR653W
Ashbya_aceri	BBP1	AACERI_AaceriAFL172W
Ashbya_aceri	BBP1	AACERI_AaceriAFL173C
Ashbya_aceri	BCS1	AACERI_AaceriACR200C
Ashbya_aceri	BCS1	AACERI_AaceriACR201C
Ashbya_aceri	BDF1	AACERI_AaceriAER068C
Ashbya_aceri	BDF1	AACERI_AaceriAER069W
Ashbya_aceri	BEM2	AACERI_AaceriAGR144C
Ashbya_aceri	BEM4	AACERI_AaceriAAL089W
Ashbya_aceri	BEM4	AACERI_AaceriAAL090C
Ashbya_aceri	BET1	AACERI_AaceriADL007C
Ashbya_aceri	BET4	AACERI_AaceriACR041W
Ashbya_aceri	BIK1	AACERI_AaceriAFR702W
Ashbya_aceri	BLM10	AACERI_AaceriAGL022W
Ashbya_aceri	BLS1	AACERI_AaceriAER079C
Ashbya_aceri	BLS1	AACERI_AaceriAER080W
Ashbya_aceri	BMS1	AACERI_AaceriAFL113C
Ashbya_aceri	BNI1	AACERI_AaceriAFR668W
Ashbya_aceri	BNI1	AACERI_AaceriAFR669W
Ashbya_aceri	BNI4	AACERI_AaceriABL200W
Ashbya_aceri	BNI5	AACERI_AaceriAFR026C
Ashbya_aceri	BNI5	AACERI_AaceriAFR027C
Ashbya_aceri	BNR1	AACERI_AaceriAFR301C
Ashbya_aceri	BPL1	AACERI_AaceriADR085W
Ashbya_aceri	BRO1	AACERI_AaceriAGR203C
Ashbya_aceri	BRO1	AACERI_AaceriAGR204W
Ashbya_aceri	BRR6	AACERI_AaceriAFR260C
Ashbya_aceri	BRR6	AACERI_AaceriAFR261W
Ashbya_aceri	BSC6	AACERI_AaceriADL184W
Ashbya_aceri	BSC6	AACERI_AaceriADL185W
Ashbya_aceri	BSD2	AACERI_AaceriAGL063C
Ashbya_aceri	BST1	AACERI_AaceriAFR521W
Ashbya_aceri	BUD9	AACERI_AaceriACL192C
Ashbya_aceri	BUD9	AACERI_AaceriACL193C
Ashbya_aceri	BUL2	AACERI_AaceriABL131C
Ashbya_aceri	CAB1	AACERI_AaceriAFR729C
Ashbya_aceri	CAB5	AACERI_AaceriAGL110C
Ashbya_aceri	CAR2	AACERI_AaceriAER123W
Ashbya_aceri	CAR2	AACERI_AaceriAER124W
Ashbya_aceri	CBP3	AACERI_AaceriAFL111W
Ashbya_aceri	CBS2	AACERI_AaceriAGL109W
Ashbya_aceri	CCL1	AACERI_AaceriAGL272C
Ashbya_aceri	CCL1	AACERI_AaceriAGL273C
Ashbya_aceri	CCT3	AACERI_AaceriAGR313WA
Ashbya_aceri	CCT3	AACERI_AaceriAGR314W
Ashbya_aceri	CDC21	AACERI_AaceriADR219C
Ashbya_aceri	CDC23	AACERI_AaceriABR206W
Ashbya_aceri	CDC39	AACERI_AaceriADR169C
Ashbya_aceri	CDC45	AACERI_AaceriAGR071C
Ashbya_aceri	CDC4	AACERI_AaceriAGL024W
Ashbya_aceri	CDC4	AACERI_AaceriAGL024WA
Ashbya_aceri	CDC73	AACERI_AaceriAER093C
Ashbya_aceri	CET1	AACERI_AaceriAFL134W
Ashbya_aceri	CHM7	AACERI_AaceriAEL182W
Ashbya_aceri	CHM7	AACERI_AaceriAEL183C
Ashbya_aceri	CHS1	AACERI_AaceriABL152W
Ashbya_aceri	CHS1	AACERI_AaceriABL153W
Ashbya_aceri	CHS6	AACERI_AaceriAFR088W
Ashbya_aceri	CIN4	AACERI_AaceriADR252W
Ashbya_aceri	CIS1	AACERI_AaceriACL186W
Ashbya_aceri	CIT3	AACERI_AaceriAGR001W
Ashbya_aceri	CIT3	AACERI_AaceriAGR002W
Ashbya_aceri	CKA1	AACERI_AaceriADL102C
Ashbya_aceri	CKA1	AACERI_AaceriADL103W
Ashbya_aceri	CKA2	AACERI_AaceriADR204W
Ashbya_aceri	CKS1	AACERI_AaceriABR109C
Ashbya_aceri	CLA4	AACERI_AaceriAEL205W
Ashbya_aceri	CLA4	AACERI_AaceriAEL206C
Ashbya_aceri	CNL1	AACERI_AaceriAER242C
Ashbya_aceri	CNM67	AACERI_AaceriABL193C
Ashbya_aceri	COG4	AACERI_AaceriAEL328W
Ashbya_aceri	COG4	AACERI_AaceriAEL329W
Ashbya_aceri	COG7	AACERI_AaceriAFL010C
Ashbya_aceri	COQ11	AACERI_AaceriAGR291C
Ashbya_aceri	COQ1	AACERI_AaceriAER004W
Ashbya_aceri	COQ4	AACERI_AaceriAGL103W
Ashbya_aceri	COX5A	AACERI_AaceriADL242W
Ashbya_aceri	COX5A	AACERI_AaceriADL244W
Ashbya_aceri	CSI1	AACERI_AaceriABR066W
Ashbya_aceri	CSL4	AACERI_AaceriABL199W
Ashbya_aceri	CSM3	AACERI_AaceriABR099WA
Ashbya_aceri	CSM3	AACERI_AaceriABR100W
Ashbya_aceri	CST9	AACERI_AaceriAER061C
Ashbya_aceri	CTF3	AACERI_AaceriAER042W
Ashbya_aceri	CUE1	AACERI_AaceriAER279W
Ashbya_aceri	CUE1	AACERI_AaceriAER280C
Ashbya_aceri	CWC22	AACERI_AaceriAGL355W
Ashbya_aceri	CWC27	AACERI_AaceriADR044C
Ashbya_aceri	CYT1	AACERI_AaceriADR208W
Ashbya_aceri	DAL82	AACERI_AaceriADL178W
Ashbya_aceri	DAM1	AACERI_AaceriAAR029W
Ashbya_aceri	DAM1	AACERI_AaceriAAR030W
Ashbya_aceri	DBF20	AACERI_AaceriADR032W
Ashbya_aceri	DBF20	AACERI_AaceriADR033W
Ashbya_aceri	DBP2	AACERI_AaceriAFL222W
Ashbya_aceri	DDC1	AACERI_AaceriAFL074C
Ashbya_aceri	DDC1	AACERI_AaceriAFL075W
Ashbya_aceri	DDL1	AACERI_AaceriAAR110C
Ashbya_aceri	DEF1	AACERI_AaceriABR077C
Ashbya_aceri	DGR2	AACERI_AaceriABL024W
Ashbya_aceri	DIA2	AACERI_AaceriADR230W
Ashbya_aceri	DIF1	AACERI_AaceriAER122C
Ashbya_aceri	DIG1	AACERI_AaceriAGL258C
Ashbya_aceri	DPB11	AACERI_AaceriAFR095C
Ashbya_aceri	DPH5	AACERI_AaceriAFR123W
Ashbya_aceri	DUS3	AACERI_AaceriAER069W
Ashbya_aceri	DUS3	AACERI_AaceriAER070C
Ashbya_aceri	EAF7	AACERI_AaceriAFR063W
Ashbya_aceri	ECI1	AACERI_AaceriAGR283C
Ashbya_aceri	ECM16	AACERI_AaceriAFR222W
Ashbya_aceri	ECM16	AACERI_AaceriAFR224C
Ashbya_aceri	ECM30	AACERI_AaceriAER120C
Ashbya_aceri	EEB1	AACERI_AaceriABR194C
Ashbya_aceri	EEB1	AACERI_AaceriABR195C
Ashbya_aceri	ELA1	AACERI_AaceriABL197C
Ashbya_aceri	ELC1	AACERI_AaceriAGL253C
Ashbya_aceri	ELC1	AACERI_AaceriAGL254W
Ashbya_aceri	ELP3	AACERI_AaceriAGR200W
Ashbya_aceri	ELP3	AACERI_AaceriAGR201C
Ashbya_aceri	ELP4	AACERI_AaceriABR188W
Ashbya_aceri	EMC1	AACERI_AaceriAFR720W
Ashbya_aceri	ENV7	AACERI_AaceriAFL143C
Ashbya_aceri	ENV7	AACERI_AaceriAFL144C
Ashbya_aceri	EPL1	AACERI_AaceriAFR520W
Ashbya_aceri	ERD1	AACERI_AaceriAAR127C
Ashbya_aceri	ERD1	AACERI_AaceriAAR128W
Ashbya_aceri	ERD2	AACERI_AaceriAGL323C
Ashbya_aceri	ERG26	AACERI_AaceriAFL003C
Ashbya_aceri	ERG29	AACERI_AaceriADR245W
Ashbya_aceri	ERG29	AACERI_AaceriADR247W
Ashbya_aceri	ERG5	AACERI_AaceriABR053C
Ashbya_aceri	ERG5	AACERI_AaceriABR054C
Ashbya_aceri	ERI1	AACERI_AaceriABR192CA
Ashbya_aceri	ERJ5	AACERI_AaceriAFR246C
Ashbya_aceri	ERV29	AACERI_AaceriAGL340C
Ashbya_aceri	ERV29	AACERI_AaceriAGL341C
Ashbya_aceri	ESC1	AACERI_AaceriAER353W
Ashbya_aceri	EST1	AACERI_AaceriAGL099C
Ashbya_aceri	EST1	AACERI_AaceriAGL100W
Ashbya_aceri	EXO70	AACERI_AaceriAFR100W
Ashbya_aceri	FAL1	AACERI_AaceriAER408W
Ashbya_aceri	FAR1	AACERI_AaceriAEL104W
Ashbya_aceri	FAS2	AACERI_AaceriAFL138W
Ashbya_aceri	FCY22	AACERI_AaceriADL073W
Ashbya_aceri	FHL1	AACERI_AaceriAEL327W
Ashbya_aceri	FMC1	AACERI_AaceriADL223W
Ashbya_aceri	FMC1	AACERI_AaceriADL224C
Ashbya_aceri	FMP41	AACERI_AaceriAFR023W
Ashbya_aceri	FMP41	AACERI_AaceriAFR024C
Ashbya_aceri	FMP42	AACERI_AaceriAER355C
Ashbya_aceri	FMP52	AACERI_AaceriADR004W
Ashbya_aceri	FMP52	AACERI_AaceriADR005W
Ashbya_aceri	FOL3	AACERI_AaceriAEL310C
Ashbya_aceri	FPR1	AACERI_AaceriAFR064C
Ashbya_aceri	FPR1	AACERI_AaceriAFR065W
Ashbya_aceri	FRT1	AACERI_AaceriADR352C
Ashbya_aceri	FRT1	AACERI_AaceriADR353C
Ashbya_aceri	FTH1	AACERI_AaceriADR049W
Ashbya_aceri	FTH1	AACERI_AaceriADR050W
Ashbya_aceri	FUI1	AACERI_AaceriAGL325W
Ashbya_aceri	FUI1	AACERI_AaceriAGL326W
Ashbya_aceri	FUS3	AACERI_AaceriAFR019W
Ashbya_aceri	FYV10	AACERI_AaceriADL222W
Ashbya_aceri	FYV10	AACERI_AaceriADL223W
Ashbya_aceri	FYV7	AACERI_AaceriABR226W
Ashbya_aceri	GAS3	AACERI_AaceriAER347W
Ashbya_aceri	GAT2	AACERI_AaceriADR249W
Ashbya_aceri	GCD10	AACERI_AaceriADL255C
Ashbya_aceri	GCD7	AACERI_AaceriAGR292C
Ashbya_aceri	GCR1	AACERI_AaceriAEL245W
Ashbya_aceri	GCR1	AACERI_AaceriAEL246C
Ashbya_aceri	GCR2	AACERI_AaceriABL159W
Ashbya_aceri	GCR2	AACERI_AaceriABL160C
Ashbya_aceri	GDA1	AACERI_AaceriAFR362C
Ashbya_aceri	GDA1	AACERI_AaceriAFR363W
Ashbya_aceri	GDH2	AACERI_AaceriABL144C
Ashbya_aceri	GDH2	AACERI_AaceriABL145W
Ashbya_aceri	GFA1	AACERI_AaceriABL036C
Ashbya_aceri	GFD2	AACERI_AaceriAFR711C
Ashbya_aceri	GFD2	AACERI_AaceriAFR712C
Ashbya_aceri	GGA1	AACERI_AaceriAER243W
Ashbya_aceri	GID7	AACERI_AaceriAFR715C
Ashbya_aceri	GID8	AACERI_AaceriADR248C
Ashbya_aceri	GND1	AACERI_AaceriAFR129W
Ashbya_aceri	GON7	AACERI_AaceriAEL143W
Ashbya_aceri	GON7	AACERI_AaceriAEL144W
Ashbya_aceri	GPB1	AACERI_AaceriADR414C
Ashbya_aceri	GPG1	AACERI_AaceriAAR179C
Ashbya_aceri	GPI10	AACERI_AaceriADL281C
Ashbya_aceri	GPI10	AACERI_AaceriADL282W
Ashbya_aceri	GPI11	AACERI_AaceriAAL058C
Ashbya_aceri	GPI11	AACERI_AaceriAAL059W
Ashbya_aceri	GPI18	AACERI_AaceriAER005C
Ashbya_aceri	GPI1	AACERI_AaceriACL142W
Ashbya_aceri	GPI2	AACERI_AaceriAEL246C
Ashbya_aceri	GPI2	AACERI_AaceriAEL247W
Ashbya_aceri	GPP2	AACERI_AaceriADL071C
Ashbya_aceri	GRE3	AACERI_AaceriACL106C
Ashbya_aceri	GRE3	AACERI_AaceriACL107C
Ashbya_aceri	GRX1	AACERI_AaceriAFR710W
Ashbya_aceri	GRX1	AACERI_AaceriAFR711C
Ashbya_aceri	GSP1	AACERI_AaceriAGR294C
Ashbya_aceri	GSP1	AACERI_AaceriAGR294CA
Ashbya_aceri	GSY1	AACERI_AaceriAAR007W
Ashbya_aceri	GSY1	AACERI_AaceriAAR008W
Ashbya_aceri	GSY1	AACERI_AaceriABL035C
Ashbya_aceri	GSY1	AACERI_AaceriABL036C
Ashbya_aceri	GTF1	AACERI_AaceriAAR093C
Ashbya_aceri	GUF1	AACERI_AaceriAGR290W
Ashbya_aceri	GUS1	AACERI_AaceriAFR264W
Ashbya_aceri	GUS1	AACERI_AaceriAFR265C
Ashbya_aceri	GUT2	AACERI_AaceriAFR295W
Ashbya_aceri	GWT1	AACERI_AaceriAFR094C
Ashbya_aceri	HBT1	AACERI_AaceriABL157W
Ashbya_aceri	HER1	AACERI_AaceriACR113W
Ashbya_aceri	HES1	AACERI_AaceriACR125W
Ashbya_aceri	HES1	AACERI_AaceriACR126W
Ashbya_aceri	HFD1	AACERI_AaceriAEL307C
Ashbya_aceri	HFI1	AACERI_AaceriAFL171W
Ashbya_aceri	HHT1	AACERI_AaceriAER013W
Ashbya_aceri	HHT1	AACERI_AaceriAER014W
Ashbya_aceri	HIS4	AACERI_AaceriAFR703W
Ashbya_aceri	HIS4	AACERI_AaceriAFR704W
Ashbya_aceri	HMG1	AACERI_AaceriAER152W
Ashbya_aceri	HMO1	AACERI_AaceriAGL142C
Ashbya_aceri	HMO1	AACERI_AaceriAGL143C
Ashbya_aceri	HRP1	AACERI_AaceriADL160W
Ashbya_aceri	HRT3	AACERI_AaceriAGR059C
Ashbya_aceri	HRT3	AACERI_AaceriAGR060W
Ashbya_aceri	HUB1	AACERI_AaceriAER266C
Ashbya_aceri	HUF	AACERI_AaceriAFL225W
Ashbya_aceri	IBA57	AACERI_AaceriABR170W
Ashbya_aceri	IBD2	AACERI_AaceriAFR029C
Ashbya_aceri	IBD2	AACERI_AaceriAFR030C
Ashbya_aceri	IDS2	AACERI_AaceriACR246W
Ashbya_aceri	IES4	AACERI_AaceriAAR145WA
Ashbya_aceri	IES6	AACERI_AaceriAFR365C
Ashbya_aceri	IFA38	AACERI_AaceriADR059C
Ashbya_aceri	IFA38	AACERI_AaceriADR060C
Ashbya_aceri	IFM1	AACERI_AaceriAEL034W
Ashbya_aceri	IFM1	AACERI_AaceriAEL035W
Ashbya_aceri	IKI1	AACERI_AaceriADR332W
Ashbya_aceri	ILV2	AACERI_AaceriAEL304C
Ashbya_aceri	ILV2	AACERI_AaceriAEL305C
Ashbya_aceri	IML2	AACERI_AaceriAFR104W
Ashbya_aceri	IMP2	AACERI_AaceriABR086W
Ashbya_aceri	IMP2'	AACERI_AaceriAFR294W
Ashbya_aceri	INA17	AACERI_AaceriABR190C
Ashbya_aceri	INP52	AACERI_AaceriAFL228W
Ashbya_aceri	IPI1	AACERI_AaceriADR305C
Ashbya_aceri	IPI1	AACERI_AaceriADR306W
Ashbya_aceri	IPI3	AACERI_AaceriABL141C
Ashbya_aceri	IPI3	AACERI_AaceriABL142C
Ashbya_aceri	IPL1	AACERI_AaceriAFL101C
Ashbya_aceri	IPL1	AACERI_AaceriAFL102W
Ashbya_aceri	IRC25	AACERI_AaceriAAL155W
Ashbya_aceri	ISR1	AACERI_AaceriAEL329W
Ashbya_aceri	ISR1	AACERI_AaceriAEL330C
Ashbya_aceri	IST3	AACERI_AaceriADR016C
Ashbya_aceri	IST3	AACERI_AaceriADR017W
Ashbya_aceri	ISU2	AACERI_AaceriACR112C
Ashbya_aceri	JAC1	AACERI_AaceriAGR164C
Ashbya_aceri	JIP4	AACERI_AaceriAEL233C
Ashbya_aceri	JJJ1	AACERI_AaceriABL194C
Ashbya_aceri	JLP2	AACERI_AaceriADR243C
Ashbya_aceri	KAP114	AACERI_AaceriAFR269W
Ashbya_aceri	KAP114	AACERI_AaceriAFR271W
Ashbya_aceri	KAR1	AACERI_AaceriABL148C
Ashbya_aceri	KAR1	AACERI_AaceriABL149W
Ashbya_aceri	KAR9	AACERI_AaceriACR023W
Ashbya_aceri	KIN3	AACERI_AaceriAER222C
Ashbya_aceri	KKQ8	AACERI_AaceriAEL117C
Ashbya_aceri	KKQ8	AACERI_AaceriAEL118C
Ashbya_aceri	KNH1	AACERI_AaceriAFR589C
Ashbya_aceri	KNH1	AACERI_AaceriAFR590W
Ashbya_aceri	KRE9	AACERI_AaceriAEL134W
Ashbya_aceri	LAM6	AACERI_AaceriABR231W
Ashbya_aceri	LAP3	AACERI_AaceriABL204W
Ashbya_aceri	LAT1	AACERI_AaceriAER364W
Ashbya_aceri	LCL2	AACERI_AaceriAGR072W
Ashbya_aceri	LHP1	AACERI_AaceriAFR591C
Ashbya_aceri	LHP1	AACERI_AaceriAFR591CA
Ashbya_aceri	LNP1	AACERI_AaceriAER167W
Ashbya_aceri	LRE1	AACERI_AaceriAFR731W
Ashbya_aceri	LRE1	AACERI_AaceriAFR732C
Ashbya_aceri	LSB5	AACERI_AaceriAFR709C
Ashbya_aceri	LSB6	AACERI_AaceriAFR087W
Ashbya_aceri	LSM4	AACERI_AaceriAGL296W
Ashbya_aceri	LTO1	AACERI_AaceriAFR654W
Ashbya_aceri	LTO1	AACERI_AaceriAFR655C
Ashbya_aceri	LYS21	AACERI_AaceriADR108C
Ashbya_aceri	MAD3	AACERI_AaceriAGR315C
Ashbya_aceri	MAK5	AACERI_AaceriAER027W
Ashbya_aceri	MAS2	AACERI_AaceriACR069C
Ashbya_aceri	MBP1	AACERI_AaceriAFR600C
Ashbya_aceri	MCD1	AACERI_AaceriAEL006W
Ashbya_aceri	MCD1	AACERI_AaceriAEL007W
Ashbya_aceri	MCK1	AACERI_AaceriADL168C
Ashbya_aceri	MCK1	AACERI_AaceriADL169W
Ashbya_aceri	MCM21	AACERI_AaceriAGR349W
Ashbya_aceri	MCP2	AACERI_AaceriAFR119C
Ashbya_aceri	MDE1	AACERI_AaceriACL126W
Ashbya_aceri	MDM35	AACERI_AaceriABR078C
Ashbya_aceri	MDR1	AACERI_AaceriAAR091W
Ashbya_aceri	MED11	AACERI_AaceriAEL309W
Ashbya_aceri	MED2	AACERI_AaceriAEL009C
Ashbya_aceri	MED4	AACERI_AaceriAGR269W
Ashbya_aceri	MED4	AACERI_AaceriAGR270W
Ashbya_aceri	MEF1	AACERI_AaceriABR227C
Ashbya_aceri	MEF1	AACERI_AaceriABR228C
Ashbya_aceri	MEH1	AACERI_AaceriAEL290C
Ashbya_aceri	MET12	AACERI_AaceriAFR457W
Ashbya_aceri	MGE1	AACERI_AaceriACR118W
Ashbya_aceri	MGR1	AACERI_AaceriAFR719W
Ashbya_aceri	MGR2	AACERI_AaceriABR191C
Ashbya_aceri	MHR1	AACERI_AaceriAAL067W
Ashbya_aceri	MHR1	AACERI_AaceriAAL068C
Ashbya_aceri	MID1	AACERI_AaceriAEL197C
Ashbya_aceri	MIH1	AACERI_AaceriABR087C
Ashbya_aceri	MIH1	AACERI_AaceriABR088C
Ashbya_aceri	MKS1	AACERI_AaceriAER428W
Ashbya_aceri	MKS1	AACERI_AaceriAER429W
Ashbya_aceri	MLH1	AACERI_AaceriAFL197C
Ashbya_aceri	MLH1	AACERI_AaceriAFL198W
Ashbya_aceri	MMS1	AACERI_AaceriABR180W
Ashbya_aceri	MMS1	AACERI_AaceriABR181W
Ashbya_aceri	MMS21	AACERI_AaceriAEL053C
Ashbya_aceri	MMS21	AACERI_AaceriAEL054C
Ashbya_aceri	MND1	AACERI_AaceriACL057W
Ashbya_aceri	MND1	AACERI_AaceriACL058W
Ashbya_aceri	MNN11	AACERI_AaceriAEL142W
Ashbya_aceri	MNN11	AACERI_AaceriAEL143W
Ashbya_aceri	MNN5	AACERI_AaceriAEL147W
Ashbya_aceri	MNN5	AACERI_AaceriAEL148W
Ashbya_aceri	MOB1	AACERI_AaceriADL235W
Ashbya_aceri	MON2	AACERI_AaceriAEL204C
Ashbya_aceri	MPH1	AACERI_AaceriADR015W
Ashbya_aceri	MPH1	AACERI_AaceriADR016C
Ashbya_aceri	MRF1	AACERI_AaceriADL282W
Ashbya_aceri	MRF1	AACERI_AaceriADL284C
Ashbya_aceri	MRP49	AACERI_AaceriAEL116C
Ashbya_aceri	MRP49	AACERI_AaceriAEL117C
Ashbya_aceri	MRPL22	AACERI_AaceriABL136C
Ashbya_aceri	MRPL22	AACERI_AaceriABL137W
Ashbya_aceri	MRPL25	AACERI_AaceriAER207C
Ashbya_aceri	MRPL49	AACERI_AaceriAFR091W
Ashbya_aceri	MRS6	AACERI_AaceriADR413C
Ashbya_aceri	MRX11	AACERI_AaceriAGL248C
Ashbya_aceri	MRX5	AACERI_AaceriACR244C
Ashbya_aceri	MRX5	AACERI_AaceriACR245C
Ashbya_aceri	MRX6	AACERI_AaceriAEL203W
Ashbya_aceri	MSA1	AACERI_AaceriADR209W
Ashbya_aceri	MSB3	AACERI_AaceriAEL200C
Ashbya_aceri	MSB3	AACERI_AaceriAEL201W
Ashbya_aceri	MSC2	AACERI_AaceriAGL101C
Ashbya_aceri	MSC2	AACERI_AaceriAGL102W
Ashbya_aceri	MSE1	AACERI_AaceriAEL338C
Ashbya_aceri	MSY1	AACERI_AaceriABR192W
Ashbya_aceri	MTD1	AACERI_AaceriADR213C
Ashbya_aceri	MTD1	AACERI_AaceriADR214W
Ashbya_aceri	MTQ1	AACERI_AaceriADL256W
Ashbya_aceri	MTR3	AACERI_AaceriAFR108W
Ashbya_aceri	MTR3	AACERI_AaceriAFR109W
Ashbya_aceri	MUK1	AACERI_AaceriAEL239W
Ashbya_aceri	MUM3	AACERI_AaceriAFR524W
Ashbya_aceri	MUM3	AACERI_AaceriAFR525C
Ashbya_aceri	MXR2	AACERI_AaceriAFR707C
Ashbya_aceri	MXR2	AACERI_AaceriAFR708W
Ashbya_aceri	NAM9	AACERI_AaceriAFR062C
Ashbya_aceri	NAR1	AACERI_AaceriABL205C
Ashbya_aceri	NBP2	AACERI_AaceriAGL169C
Ashbya_aceri	NCR1	AACERI_AaceriAGL008W
Ashbya_aceri	NCW2	AACERI_AaceriAAR076C
Ashbya_aceri	NDD1	AACERI_AaceriADR415C
Ashbya_aceri	NGR1	AACERI_AaceriAAR151W
Ashbya_aceri	NIT3	AACERI_AaceriACL190W
Ashbya_aceri	NIT3	AACERI_AaceriACL191C
Ashbya_aceri	NNR1	AACERI_AaceriABL161C
Ashbya_aceri	NOP13	AACERI_AaceriABL134C
Ashbya_aceri	NOP14	AACERI_AaceriADR072C
Ashbya_aceri	NOP2	AACERI_AaceriADL254W
Ashbya_aceri	NOP4	AACERI_AaceriAGL250W
Ashbya_aceri	NOP4	AACERI_AaceriAGL251C
Ashbya_aceri	NOP7	AACERI_AaceriAAR094W
Ashbya_aceri	NPP2	AACERI_AaceriAEL050C
Ashbya_aceri	NRP1	AACERI_AaceriACL149W
Ashbya_aceri	NSL1	AACERI_AaceriAFL140W
Ashbya_aceri	NST1	AACERI_AaceriACL086C
Ashbya_aceri	NUD1	AACERI_AaceriADR416W
Ashbya_aceri	NUG1	AACERI_AaceriADR007C
Ashbya_aceri	NUG1	AACERI_AaceriADR008W
Ashbya_aceri	NUP133	AACERI_AaceriADR216W
Ashbya_aceri	NUP159	AACERI_AaceriADL248C
Ashbya_aceri	NUS1	AACERI_AaceriADR092W
Ashbya_aceri	NUS1	AACERI_AaceriADR093W
Ashbya_aceri	NUT2	AACERI_AaceriAEL260C
Ashbya_aceri	NVJ3	AACERI_AaceriAGL134C
Ashbya_aceri	NVJ3	AACERI_AaceriAGL135W
Ashbya_aceri	OAR1	AACERI_AaceriABR076C
Ashbya_aceri	OKP1	AACERI_AaceriAAL137W
Ashbya_aceri	OKP1	AACERI_AaceriAAL138C
Ashbya_aceri	OPI10	AACERI_AaceriAEL339C
Ashbya_aceri	ORC4	AACERI_AaceriABR178C
Ashbya_aceri	ORC5	AACERI_AaceriAFR655C
Ashbya_aceri	ORC5	AACERI_AaceriAFR656C
Ashbya_aceri	OST6	AACERI_AaceriAER329C
Ashbya_aceri	OST6	AACERI_AaceriAER330W
Ashbya_aceri	OXA1	AACERI_AaceriAGR143W
Ashbya_aceri	PAL1	AACERI_AaceriACR151W
Ashbya_aceri	PAM18	AACERI_AaceriADR345C
