species	Gene_focal	Gene_ortho
Anolis_carolinensis	ACTBL2	RPS8
Anolis_carolinensis	ACTG2	ACTG2
Anolis_carolinensis	ACTR1A	ENSACAG00000024335
Anolis_carolinensis	ACTR3B	ENSACAG00000010629
Anolis_carolinensis	ACVR1C	ACVR1B
Anolis_carolinensis	ACVRL1	ACVRL1
Anolis_carolinensis	AD000671.1	HSPB6
Anolis_carolinensis	ADAM20	ENSACAG00000027118
Anolis_carolinensis	ADAMTS17	ADAMTS17
Anolis_carolinensis	ADAMTS19	ADAMTS19
Anolis_carolinensis	ADAMTS8	ADAMTS8
Anolis_carolinensis	ADAMTSL2	ADAMTSL2
Anolis_carolinensis	ADAMTSL2	ENSACAG00000028941
Anolis_carolinensis	ADAR	ENSACAG00000025913
Anolis_carolinensis	ADARB2	ADARB2
Anolis_carolinensis	ADAT2	ADAT2
Anolis_carolinensis	ADCK2	ADCK2
Anolis_carolinensis	ADCK2	ENSACAG00000011174
Anolis_carolinensis	ADCY3	ADCY3
Anolis_carolinensis	ADCYAP1	ADCYAP1
Anolis_carolinensis	ADD3	ADD3
Anolis_carolinensis	ADGB	ADGB
Anolis_carolinensis	ADGB	ENSACAG00000023911
Anolis_carolinensis	ADGRA2	ADGRA2
Anolis_carolinensis	ADGRA2	ENSACAG00000000193
Anolis_carolinensis	ADGRB1	ENSACAG00000004005
Anolis_carolinensis	ADGRB1	ENSACAG00000016127
Anolis_carolinensis	ADGRB2	ENSACAG00000008106
Anolis_carolinensis	ADGRB2	ENSACAG00000011853
Anolis_carolinensis	ADGRG2	ADGRG2
Anolis_carolinensis	ADGRV1	ADGRV1
Anolis_carolinensis	ADIPOR2	ADIPOR2
Anolis_carolinensis	ADIPOR2	ENSACAG00000000020
Anolis_carolinensis	ADK	ADK
Anolis_carolinensis	ADK	ENSACAG00000026123
Anolis_carolinensis	ADNP2	ADNP2
Anolis_carolinensis	ADNP2	BLOC1S4
Anolis_carolinensis	ADPRHL2	ADPRHL2
Anolis_carolinensis	ADRM1	ADRM1
Anolis_carolinensis	ADRM1	ENSACAG00000022022
Anolis_carolinensis	ADTRP	ADTRP
Anolis_carolinensis	AES	ENSACAG00000025462
Anolis_carolinensis	AES	PSAT1
Anolis_carolinensis	AFF3	AFF3
Anolis_carolinensis	AFF3	ENSACAG00000008162
Anolis_carolinensis	AFG3L2	ATP5F1E
Anolis_carolinensis	AGK	AGK
Anolis_carolinensis	AGPAT1	AGPAT1
Anolis_carolinensis	AGR2	agr2
Anolis_carolinensis	AGT	AGT
Anolis_carolinensis	AGTR2	AGTR2
Anolis_carolinensis	AGTR2	ENSACAG00000004822
Anolis_carolinensis	AHDC1	AHDC1
Anolis_carolinensis	AIDA	AIDA
Anolis_carolinensis	AJAP1	AJAP1
Anolis_carolinensis	AK3	AK3
Anolis_carolinensis	AK5	AK5
Anolis_carolinensis	AK7	AK7
Anolis_carolinensis	AKAP11	ENSACAG00000006187
Anolis_carolinensis	AKAP12	ENSACAG00000006324
Anolis_carolinensis	AKAP14	AKAP14
Anolis_carolinensis	AKAP17A	ENSACAG00000005971
Anolis_carolinensis	AKAP8	AKAP8
Anolis_carolinensis	AKAP9	AKAP9
Anolis_carolinensis	AKAP9	ENSACAG00000023883
Anolis_carolinensis	AKR1B15	CALD1
Anolis_carolinensis	AKT1	AKT1
Anolis_carolinensis	AL049779.1	ENSACAG00000005796
Anolis_carolinensis	AL157935.2	ENSACAG00000023488
Anolis_carolinensis	AL451062.3	ENSACAG00000027218
Anolis_carolinensis	ALDOA	ENSACAG00000014912
Anolis_carolinensis	ALG12	ALG12
Anolis_carolinensis	ALK	ALK
Anolis_carolinensis	ALK	ENSACAG00000007446
Anolis_carolinensis	ALKAL2	ALKAL2
Anolis_carolinensis	ALKBH5	ALKBH5
Anolis_carolinensis	ALPP	ENSACAG00000011953
Anolis_carolinensis	ALX4	ALX4
Anolis_carolinensis	AMBRA1	AMBRA1
Anolis_carolinensis	AMD1	AMD1
Anolis_carolinensis	AMD1	ENSACAG00000022580
Anolis_carolinensis	AMIGO1	AMIGO1
Anolis_carolinensis	AMMECR1L	AMMECR1L
Anolis_carolinensis	AMPD1	AMPD1
Anolis_carolinensis	AMPD2	AMPD2
Anolis_carolinensis	ANAPC16	ANAPC16
Anolis_carolinensis	ANAPC4	ANAPC4
Anolis_carolinensis	ANGEL2	ANGEL2
Anolis_carolinensis	ANGPT4	ANGPT4
Anolis_carolinensis	ANKIB1	ANKIB1
Anolis_carolinensis	ANKMY2	ANKMY2
Anolis_carolinensis	ANKRD1	ANKRD1
Anolis_carolinensis	ANKRD10	ANKRD10
Anolis_carolinensis	ANKRD13B	ANKRD13B
Anolis_carolinensis	ANKRD40	ENSACAG00000001562
Anolis_carolinensis	ANLN	ANLN
Anolis_carolinensis	ANO10	ANO10
Anolis_carolinensis	ANO5	ANO5
Anolis_carolinensis	ANO7	ANO7
Anolis_carolinensis	AOAH	AOAH
Anolis_carolinensis	AOC2	ENSACAG00000013687
Anolis_carolinensis	AOC3	ENSACAG00000013598
Anolis_carolinensis	AOX1	ENSACAG00000016469
Anolis_carolinensis	AOX1	ENSACAG00000016900
Anolis_carolinensis	AP1M2	AP1M2
Anolis_carolinensis	AP1S2	AP1S2
Anolis_carolinensis	AP3M1	AP3M1
Anolis_carolinensis	AP3M2	AP3M2
Anolis_carolinensis	AP3S1	AP3S1
Anolis_carolinensis	AP5Z1	AP5Z1
Anolis_carolinensis	APBB2	ENSACAG00000011914
Anolis_carolinensis	APBB2	ENSACAG00000027068
Anolis_carolinensis	APCDD1	APCDD1
Anolis_carolinensis	APEX1	APEX1
Anolis_carolinensis	APEX2	APEX2
Anolis_carolinensis	APLP1	NPHS1
Anolis_carolinensis	APLP2	ENSACAG00000029066
Anolis_carolinensis	APOL5	ENSACAG00000028154
Anolis_carolinensis	APPBP2	APPBP2
Anolis_carolinensis	APPL1	APPL1
Anolis_carolinensis	APPL1	ENSACAG00000023313
Anolis_carolinensis	AQP10	AQP10
Anolis_carolinensis	AQP10	ENSACAG00000025042
Anolis_carolinensis	ARFGAP1	ARFGAP1
Anolis_carolinensis	ARFGAP1	ENSACAG00000005686
Anolis_carolinensis	ARFGEF1	ARFGEF1
Anolis_carolinensis	ARHGAP1	ARHGAP1
Anolis_carolinensis	ARHGAP24	ARHGAP24
Anolis_carolinensis	ARHGAP24	ENSACAG00000028523
Anolis_carolinensis	ARHGAP29	ARHGAP29
Anolis_carolinensis	ARHGAP5	ARHGAP5
Anolis_carolinensis	ARHGEF11	ARHGEF11
Anolis_carolinensis	ARHGEF11	ENSACAG00000015538
Anolis_carolinensis	ARHGEF12	ARHGEF12
Anolis_carolinensis	ARHGEF6	ARHGEF6
Anolis_carolinensis	ARID1A	ARID1A
Anolis_carolinensis	ARID4A	ARID4A
Anolis_carolinensis	ARL14EP	ARL14EP
Anolis_carolinensis	ARL3	ARL3
Anolis_carolinensis	ARL8A	PTPN7
Anolis_carolinensis	ARMC1	ARMC1
Anolis_carolinensis	ARMC1	ENSACAG00000025542
Anolis_carolinensis	ARMT1	ARMT1
Anolis_carolinensis	ARNTL	ARNTL
Anolis_carolinensis	ARRDC3	ARRDC3
Anolis_carolinensis	ARSD	ENSACAG00000022801
Anolis_carolinensis	ARSK	ARSK
Anolis_carolinensis	ARTN	ARTN
Anolis_carolinensis	ARV1	ARV1
Anolis_carolinensis	ASB14	ASB14
Anolis_carolinensis	ASB14	ENSACAG00000023313
Anolis_carolinensis	ASB17	ENSACAG00000028841
Anolis_carolinensis	ASNA1	ASNA1
Anolis_carolinensis	ASPH	ASPH
Anolis_carolinensis	ASPH	ENSACAG00000022637
Anolis_carolinensis	ASTN1	ASTN1
Anolis_carolinensis	ASXL1	ASXL1
Anolis_carolinensis	ATAD5	ATAD5
Anolis_carolinensis	ATAT1	ATAT1
Anolis_carolinensis	ATG10	ATG10
Anolis_carolinensis	ATG12	ATG12
Anolis_carolinensis	ATG13	ATG13
Anolis_carolinensis	ATG14	ATG14
Anolis_carolinensis	ATG4A	ATG4A
Anolis_carolinensis	ATG4B	ATG4B
Anolis_carolinensis	ATG7	ATG7
Anolis_carolinensis	ATIC	ENSACAG00000004225
Anolis_carolinensis	ATIC	ENSACAG00000015527
Anolis_carolinensis	ATL3	ATL3
Anolis_carolinensis	ATN1	ATN1
Anolis_carolinensis	ATOH1	ENSACAG00000023125
Anolis_carolinensis	ATOH7	ATOH7
Anolis_carolinensis	ATP10A	ATP10A
Anolis_carolinensis	ATP10A	GABRB3
Anolis_carolinensis	ATP11A	ATP11A
Anolis_carolinensis	ATP1B1	ATP1B1
Anolis_carolinensis	ATP5MC1	ENSACAG00000006341
Anolis_carolinensis	ATP5MC2	JAZF1
Anolis_carolinensis	ATP6AP1L	ATP6AP1L
Anolis_carolinensis	ATP6V0B	ATP6V0B
Anolis_carolinensis	ATP6V0E1	ATP6V0E1
Anolis_carolinensis	ATP6V1B2	ATP6V1B2
Anolis_carolinensis	ATP6V1E1	ENSACAG00000012403
Anolis_carolinensis	ATP6V1G3	ATP6V1G3
Anolis_carolinensis	ATP6V1G3	ENSACAG00000014465
Anolis_carolinensis	ATP6V1H	ENSACAG00000006328
Anolis_carolinensis	ATP8A1	ATP8A1
Anolis_carolinensis	ATP8B1	ATP8B1
Anolis_carolinensis	ATRX	ATRX
Anolis_carolinensis	ATXN2	ATXN2
Anolis_carolinensis	ATXN7L1	ATXN7L1
Anolis_carolinensis	ATXN7L3	ENSACAG00000017179
Anolis_carolinensis	AURKAIP1	AURKAIP1
Anolis_carolinensis	AVEN	AVEN
Anolis_carolinensis	AXDND1	AXDND1
Anolis_carolinensis	B3GAT2	B3GAT2
Anolis_carolinensis	B3GNT8	B3GNT8
Anolis_carolinensis	B3GNTL1	ENSACAG00000029310
Anolis_carolinensis	B3GNTL1	TBCD
Anolis_carolinensis	B4GALNT2	ENSACAG00000006165
Anolis_carolinensis	B4GALNT2	ENSACAG00000023054
Anolis_carolinensis	B4GALNT3	B4GALNT3
Anolis_carolinensis	B4GALT2	B4GALT2
Anolis_carolinensis	B4GALT2	ENSACAG00000014481
Anolis_carolinensis	B4GALT5	B4GALT5
Anolis_carolinensis	B4GALT5	ENSACAG00000026690
Anolis_carolinensis	BABAM2	BABAM2
Anolis_carolinensis	BAG2	BAG2
Anolis_carolinensis	BAG2	ENSACAG00000023080
Anolis_carolinensis	BAG6	BAG6
Anolis_carolinensis	BARD1	BARD1
Anolis_carolinensis	BARD1	ENSACAG00000023518
Anolis_carolinensis	BBIP1	ENSACAG00000015813
Anolis_carolinensis	BCAS2	BCAS2
Anolis_carolinensis	BCAT2	BCAT2
Anolis_carolinensis	BCAT2	ENSACAG00000017205
Anolis_carolinensis	BCKDHA	ENSACAG00000003703
Anolis_carolinensis	BCL10	BCL10
Anolis_carolinensis	BCL2L13	BCL2L13
Anolis_carolinensis	BCL7A	BCL7A
Anolis_carolinensis	BCLAF3	BCLAF3
Anolis_carolinensis	BCLAF3	ENSACAG00000027481
Anolis_carolinensis	BCOR	BCOR
Anolis_carolinensis	BCOR	ENSACAG00000029624
Anolis_carolinensis	BDNF	BDNF
Anolis_carolinensis	BDNF	ENSACAG00000028254
Anolis_carolinensis	BEND3	BEND3
Anolis_carolinensis	BEND4	BEND4
Anolis_carolinensis	BEST1	BEST1
Anolis_carolinensis	BEST2	BEST2
Anolis_carolinensis	BHLHE22	BHLHE22
Anolis_carolinensis	BID	BID
Anolis_carolinensis	BIN2	BIN2
Anolis_carolinensis	BLID	ENSACAG00000006440
Anolis_carolinensis	BLZF1	BLZF1
Anolis_carolinensis	BLZF1	ENSACAG00000024049
Anolis_carolinensis	BMP5	BMP5
Anolis_carolinensis	BMPR1B	LEMD3
Anolis_carolinensis	BMPR1B	MSRB3
Anolis_carolinensis	BMPR2	BMPR2
Anolis_carolinensis	BMPR2	SUMO1
Anolis_carolinensis	BMX	BMX
Anolis_carolinensis	BOK	BOK
Anolis_carolinensis	BPHL	BPHL
Anolis_carolinensis	BPHL	ENSACAG00000026638
Anolis_carolinensis	BPNT1	BPNT1
Anolis_carolinensis	BRAF	BRAF
Anolis_carolinensis	BRCA2	ENSACAG00000004541
Anolis_carolinensis	BRCA2	N4BP2L1
Anolis_carolinensis	BRD4	BRD4
Anolis_carolinensis	BRD4	ENSACAG00000029367
Anolis_carolinensis	BRF1	BRF1
Anolis_carolinensis	BRF2	BRF2
Anolis_carolinensis	BRI3	BRI3
Anolis_carolinensis	BRI3BP	BRI3BP
Anolis_carolinensis	BRICD5	BRICD5
Anolis_carolinensis	BRMS1L	BRMS1L
Anolis_carolinensis	BRMS1L	ENSACAG00000028827
Anolis_carolinensis	BROX	BROX
Anolis_carolinensis	BRPF1	BRPF1
Anolis_carolinensis	BSX	BSX
Anolis_carolinensis	BTBD10	BTBD10
Anolis_carolinensis	BTBD11	BTBD11
Anolis_carolinensis	BTBD11	ENSACAG00000022931
Anolis_carolinensis	BTBD17	BTBD17
Anolis_carolinensis	BTBD7	BTBD7
Anolis_carolinensis	BTBD9	BTBD9
Anolis_carolinensis	BVES	BVES
Anolis_carolinensis	BZW1	BZW1
Anolis_carolinensis	BZW2	BZW2
Anolis_carolinensis	C10orf76	C10orf76
Anolis_carolinensis	C10orf90	NEFL
Anolis_carolinensis	C10orf90	NEFM
Anolis_carolinensis	C11orf24	ENSACAG00000022152
Anolis_carolinensis	C11orf65	ENSACAG00000028783
Anolis_carolinensis	C12orf45	C12orf45
Anolis_carolinensis	C12orf71	ENSACAG00000012318
Anolis_carolinensis	C12orf71	ENSACAG00000012323
Anolis_carolinensis	C12orf73	C12orf73
Anolis_carolinensis	C15orf48	C15orf48
Anolis_carolinensis	C17orf64	C17orf64
Anolis_carolinensis	C17orf67	C17orf67
Anolis_carolinensis	C18orf32	C18orf32
Anolis_carolinensis	C18orf63	C18orf63
Anolis_carolinensis	C19orf12	NDUFAF6
Anolis_carolinensis	C19orf12	TP53INP1
Anolis_carolinensis	C19orf47	C19orf47
Anolis_carolinensis	C19orf47	CEP170B
Anolis_carolinensis	C19orf47	ENSACAG00000011451
Anolis_carolinensis	C19orf73	ACSS3
Anolis_carolinensis	C1QTNF6	C1QTNF6
Anolis_carolinensis	C1QTNF7	BTAF1
Anolis_carolinensis	C1orf115	ENSACAG00000001946
Anolis_carolinensis	C1orf115	PFN3
Anolis_carolinensis	C1orf123	C1orf123
Anolis_carolinensis	C1orf159	ENSACAG00000029473
Anolis_carolinensis	C1orf174	ENSACAG00000008161
Anolis_carolinensis	C1orf194	C1orf194
Anolis_carolinensis	C1orf210	ENSACAG00000022808
Anolis_carolinensis	C1orf74	C1orf74
Anolis_carolinensis	C22orf46	ENSACAG00000004476
Anolis_carolinensis	C2CD5	C2CD5
Anolis_carolinensis	C2orf71	C2orf71
Anolis_carolinensis	C3orf18	C3orf18
Anolis_carolinensis	C3orf20	C3orf20
Anolis_carolinensis	C3orf20	ENSACAG00000023480
Anolis_carolinensis	C3orf84	ENSACAG00000024750
Anolis_carolinensis	C4orf48	C4orf48
Anolis_carolinensis	C5orf24	C5orf24
Anolis_carolinensis	C5orf24	ENSACAG00000026591
Anolis_carolinensis	C5orf30	C5orf30
Anolis_carolinensis	C5orf30	ENSACAG00000006727
Anolis_carolinensis	C6orf136	ENSACAG00000010923
Anolis_carolinensis	C6orf201	ENSACAG00000002695
Anolis_carolinensis	C6orf58	C6orf58
Anolis_carolinensis	C7orf31	ENSACAG00000027782
Anolis_carolinensis	C7orf33	ENSACAG00000022317
Anolis_carolinensis	C7orf33	ENSACAG00000026319
Anolis_carolinensis	C8orf34	C8orf34
Anolis_carolinensis	C8orf37	C8orf37
Anolis_carolinensis	C8orf46	C8orf46
Anolis_carolinensis	CA8	CA8
Anolis_carolinensis	CABLES2	CABLES2
Anolis_carolinensis	CABP1	CABP1
Anolis_carolinensis	CACNA1G	CACNA1G
Anolis_carolinensis	CACNA1G	ENSACAG00000022004
Anolis_carolinensis	CACNA1I	CACNA1I
Anolis_carolinensis	CACNA1I	ENSACAG00000029232
Anolis_carolinensis	CACNA2D2	CACNA2D2
Anolis_carolinensis	CACNG1	CACNG1
Anolis_carolinensis	CACNG2	CACNG2
Anolis_carolinensis	CACNG4	CACNG4
Anolis_carolinensis	CACNG5	CACNG6
Anolis_carolinensis	CALCOCO2	ENSACAG00000006352
Anolis_carolinensis	CALHM2	CALHM2
Anolis_carolinensis	CALHM4	TRAPPC3L
Anolis_carolinensis	CAMK2G	CAMK2G
Anolis_carolinensis	CAMK2G	ZSWIM8
Anolis_carolinensis	CAMK2N1	ALG3
Anolis_carolinensis	CAMK2N1	CAMK2N2
Anolis_carolinensis	CAMK4	CAMK4
Anolis_carolinensis	CAMLG	CAMLG
Anolis_carolinensis	CAP1	CAP1
Anolis_carolinensis	CAPN14	CAPN14
Anolis_carolinensis	CAPS2	CAPS2
Anolis_carolinensis	CAPS2	ENSACAG00000029340
Anolis_carolinensis	CAPZA1	CAPZA1
Anolis_carolinensis	CARD11	ENSACAG00000008579
Anolis_carolinensis	CARMIL1	CARMIL1
Anolis_carolinensis	CARMIL1	ENSACAG00000001803
Anolis_carolinensis	CARNS1	CARNS1
Anolis_carolinensis	CARNS1	ENSACAG00000025806
Anolis_carolinensis	CARS2	CARS2
Anolis_carolinensis	CASC3	CASC3
Anolis_carolinensis	CASK	CASK
Anolis_carolinensis	CASP6	OIT3
Anolis_carolinensis	CAST	CAST
Anolis_carolinensis	CATSPERE	CATSPERE
Anolis_carolinensis	CATSPERE	ENSACAG00000027025
Anolis_carolinensis	CBFA2T2	CBFA2T2
Anolis_carolinensis	CBSL	ENSACAG00000017837
Anolis_carolinensis	CBX1	CBX1
Anolis_carolinensis	CBX3	CBX3
Anolis_carolinensis	CBY1	CBY1
Anolis_carolinensis	CC2D1B	CC2D1B
Anolis_carolinensis	CCAR1	CCAR1
Anolis_carolinensis	CCDC102B	ENSACAG00000022209
Anolis_carolinensis	CCDC112	CCDC112
Anolis_carolinensis	CCDC126	CCDC126
Anolis_carolinensis	CCDC134	CCDC134
Anolis_carolinensis	CCDC148	CCDC148
Anolis_carolinensis	CCDC157	CCDC157
Anolis_carolinensis	CCDC173	CCDC173
Anolis_carolinensis	CCDC174	CCDC174
Anolis_carolinensis	CCDC177	CCDC177
Anolis_carolinensis	CCDC177	ENSACAG00000029378
Anolis_carolinensis	CCDC18	CCDC18
Anolis_carolinensis	CCDC18	ENSACAG00000005553
Anolis_carolinensis	CCDC181	CCDC181
Anolis_carolinensis	CCDC185	ENSACAG00000003251
Anolis_carolinensis	CCDC189	CCDC189
Anolis_carolinensis	CCDC192	ENSACAG00000024191
Anolis_carolinensis	CCDC192	ENSACAG00000024825
Anolis_carolinensis	CCDC22	CCDC22
Anolis_carolinensis	CCDC66	CCDC66
Anolis_carolinensis	CCDC68	CCDC68
Anolis_carolinensis	CCDC71L	CCDC71L
Anolis_carolinensis	CCDC73	ENSACAG00000002639
Anolis_carolinensis	CCDC77	CCDC77
Anolis_carolinensis	CCDC85A	CCDC85A
Anolis_carolinensis	CCDC85A	ENSACAG00000028800
Anolis_carolinensis	CCDC88A	CCDC88A
Anolis_carolinensis	CCDC88A	ENSACAG00000003418
Anolis_carolinensis	CCKAR	CCKAR
Anolis_carolinensis	CCM2L	ENSACAG00000017057
Anolis_carolinensis	CCNB2	RNF111
Anolis_carolinensis	CCNH	CCNH
Anolis_carolinensis	CCNI2	CCNI2
Anolis_carolinensis	CCNJL	CCNJL
Anolis_carolinensis	CCNL2	CCNL2
Anolis_carolinensis	CCNYL1	CCNYL1
Anolis_carolinensis	CCR3	ENSACAG00000028320
Anolis_carolinensis	CCR8	ENSACAG00000014043
Anolis_carolinensis	CCS	CCS
Anolis_carolinensis	CCS	ENSACAG00000028084
Anolis_carolinensis	CCT2	CCT2
Anolis_carolinensis	CCT7	CCT7
Anolis_carolinensis	CCZ1	ENSACAG00000005321
Anolis_carolinensis	CCZ1	ENSACAG00000012176
Anolis_carolinensis	CD180	CD180
Anolis_carolinensis	CD180	ENSACAG00000026403
Anolis_carolinensis	CD247	CD247
Anolis_carolinensis	CD276	CD276
Anolis_carolinensis	CD300E	ENSACAG00000005370
Anolis_carolinensis	CD37	CD37
Anolis_carolinensis	CD4	ENSACAG00000005936
Anolis_carolinensis	CD40LG	CD40LG
Anolis_carolinensis	CD6	CD6
Anolis_carolinensis	CD80	ENSACAG00000025288
Anolis_carolinensis	CD83	CD83
Anolis_carolinensis	CDC25A	ZNF282
Anolis_carolinensis	CDC26	CDC26
Anolis_carolinensis	CDC37	CDC37
Anolis_carolinensis	CDC40	ENSACAG00000010429
Anolis_carolinensis	CDC40	ENSACAG00000010739
Anolis_carolinensis	CDC6	CDC6
Anolis_carolinensis	CDCA3	ENSACAG00000005790
Anolis_carolinensis	CDCA4	CDCA4
Anolis_carolinensis	CDCA4	ENSACAG00000026034
Anolis_carolinensis	CDH17	CDH17
Anolis_carolinensis	CDH4	CDH4
Anolis_carolinensis	CDK12	ENSACAG00000017541
Anolis_carolinensis	CDK12	ENSACAG00000023742
Anolis_carolinensis	CDK13	CDK13
Anolis_carolinensis	CDK14	CDK14
Anolis_carolinensis	CDK14	ENSACAG00000029267
Anolis_carolinensis	CDK19	CDK19
Anolis_carolinensis	CDK19	ENSACAG00000022580
Anolis_carolinensis	CDK2AP2	ENSACAG00000005937
Anolis_carolinensis	CDK2AP2	ENSACAG00000006069
Anolis_carolinensis	CDK4	CDK4
Anolis_carolinensis	CDK5R1	ENSACAG00000016489
Anolis_carolinensis	CDK5R1	MAP3K14
Anolis_carolinensis	CDK5RAP2	ENSACAG00000013674
Anolis_carolinensis	CDK5RAP2	ENSACAG00000028647
Anolis_carolinensis	CDK5RAP3	CDK5RAP3
Anolis_carolinensis	CDKL3	CDKL3
Anolis_carolinensis	CDKL5	CDKL5
Anolis_carolinensis	CDKN2D	CDKN2D
Anolis_carolinensis	CDO1	CDO1
Anolis_carolinensis	CDS1	CDS1
Anolis_carolinensis	CDYL2	ENSACAG00000008783
Anolis_carolinensis	CELA1	CELA1
Anolis_carolinensis	CELA2B	NRAP
Anolis_carolinensis	CEMIP	CEMIP
Anolis_carolinensis	CENPBD1	ENSACAG00000009584
Anolis_carolinensis	CENPF	ENSACAG00000005901
Anolis_carolinensis	CENPI	CENPI
Anolis_carolinensis	CENPK	CENPK
Anolis_carolinensis	CENPL	CENPL
Anolis_carolinensis	CEP104	CEP104
Anolis_carolinensis	CEP135	CEP135
Anolis_carolinensis	CEP135	ENSACAG00000027652
Anolis_carolinensis	CEP192	CEP192
Anolis_carolinensis	CEP41	CEP41
Anolis_carolinensis	CEP72	CEP72
Anolis_carolinensis	CER1	CER1
Anolis_carolinensis	CERKL	ENSACAG00000029008
Anolis_carolinensis	CERS3	CERS3
Anolis_carolinensis	CETN3	ENSACAG00000022638
Anolis_carolinensis	CETN3	ENSACAG00000028536
Anolis_carolinensis	CFAP36	CFAP36
Anolis_carolinensis	CFAP46	ENSACAG00000005992
Anolis_carolinensis	CFAP58	CFAP58
Anolis_carolinensis	CFAP58	ENSACAG00000000373
Anolis_carolinensis	CFAP65	CFAP65
Anolis_carolinensis	CFAP65	ENSACAG00000005185
Anolis_carolinensis	CFAP73	CFAP73
Anolis_carolinensis	CFAP97D1	CFAP97D1
Anolis_carolinensis	CFAP97D1	ENSACAG00000028613
Anolis_carolinensis	CFAP97D2	ENSACAG00000028585
Anolis_carolinensis	CFAP97D2	ENSACAG00000029376
Anolis_carolinensis	CFH	ENSACAG00000023913
Anolis_carolinensis	CFL1	MGME1
Anolis_carolinensis	CGNL1	CGNL1
Anolis_carolinensis	CGRRF1	CGRRF1
Anolis_carolinensis	CHADL	ENSACAG00000027273
Anolis_carolinensis	CHADL	ENSACAG00000027421
Anolis_carolinensis	CHCHD1	CHCHD1
Anolis_carolinensis	CHCHD1	ENSACAG00000009560
Anolis_carolinensis	CHCHD3	CHCHD3
Anolis_carolinensis	CHCHD3	ENSACAG00000017073
Anolis_carolinensis	CHD7	CHD7
Anolis_carolinensis	CHD8	CHD8
Anolis_carolinensis	CHIC2	ENSACAG00000029692
Anolis_carolinensis	CHIC2	PDX1
Anolis_carolinensis	CHM	ENSACAG00000013859
Anolis_carolinensis	CHMP2B	CHMP2B
Anolis_carolinensis	CHRM5	CHRM5
Anolis_carolinensis	CHRM5	ENSACAG00000015369
Anolis_carolinensis	CHRNA2	CHRNA2
Anolis_carolinensis	CHRNA4	CHRNA4
Anolis_carolinensis	CHRNA9	CHRNA9
Anolis_carolinensis	CHST1	CHST1
Anolis_carolinensis	CHST1	ENSACAG00000014622
Anolis_carolinensis	CHST15	CHST15
Anolis_carolinensis	CHST15	ENSACAG00000024274
Anolis_carolinensis	CHSY3	CHSY3
Anolis_carolinensis	CHSY3	CNEP1R1
Anolis_carolinensis	CIT	CIT
Anolis_carolinensis	CITED2	CTPS2
Anolis_carolinensis	CITED2	SYAP1
