gene	symbol	cg	id	trx	species	coverage	omega	dN	dS
FBgn0000251_FBtr0335152	cad	CG1759	FBgn0000251	FBtr0335152	Dmel_Dsim	96.517	0.0653	0.0071	0.1088
FBgn0000253_FBtr0088002	Cam	CG8472	FBgn0000253	FBtr0088002	Dmel_Dsim	100.000	0.0010	0.0000	0.0370
FBgn0000256_FBtr0290078	capu	CG3399	FBgn0000256	FBtr0290078	Dmel_Dsim	97.651	0.2129	0.0219	0.1027
FBgn0000259_FBtr0073562	CkIIbeta	CG15224	FBgn0000259	FBtr0073562	Dmel_Dsim	95.968	0.3591	0.0458	0.1277
FBgn0000261_FBtr0075058	Cat	CG6871	FBgn0000261	FBtr0075058	Dmel_Dsim	100.000	0.0970	0.0076	0.0782
FBgn0000273_FBtr0079851	Pka-C1	CG4379	FBgn0000273	FBtr0079851	Dmel_Dsim	100.000	0.0010	0.0001	0.0583
FBgn0000274_FBtr0085727	Pka-C2	CG12066	FBgn0000274	FBtr0085727	Dmel_Dsim	93.369	0.2821	0.0804	0.2851
FBgn0000278_FBtr0085640	CecB	CG1878	FBgn0000278	FBtr0085640	Dmel_Dsim	100.000	0.0500	0.0071	0.1419
FBgn0000283_FBtr0083126	Cp190	CG6384	FBgn0000283	FBtr0083126	Dmel_Dsim	100.000	0.1484	0.0134	0.0901
FBgn0000286_FBtr0089649	Cf2	CG11924	FBgn0000286	FBtr0089649	Dmel_Dsim	98.922	0.0811	0.0055	0.0677
FBgn0000287_FBtr0307093	salr	CG4881	FBgn0000287	FBtr0307093	Dmel_Dsim	99.567	0.0657	0.0064	0.0970
FBgn0000289_FBtr0339961	cg	CG8367	FBgn0000289	FBtr0339961	Dmel_Dsim	99.404	0.0328	0.0022	0.0674
FBgn0000299_FBtr0079002	Cg25C	CG4145	FBgn0000299	FBtr0079002	Dmel_Dsim	99.635	0.2453	0.0217	0.0886
FBgn0000303_FBtr0089367	Cha	CG12345	FBgn0000303	FBtr0089367	Dmel_Dsim	98.320	0.0170	0.0018	0.1087
FBgn0000307_FBtr0080838	chif	CG5813	FBgn0000307	FBtr0080838	Dmel_Dsim	99.299	0.1447	0.0129	0.0889
FBgn0000308_FBtr0079235	chic	CG9553	FBgn0000308	FBtr0079235	Dmel_Dsim	100.000	98.9998	0.0037	0.0000
FBgn0000316_FBtr0070064	cin	CG2945	FBgn0000316	FBtr0070064	Dmel_Dsim	100.000	0.1801	0.0208	0.1157
FBgn0000317_FBtr0080724	ck	CG7595	FBgn0000317	FBtr0080724	Dmel_Dsim	100.000	0.0061	0.0008	0.1306
FBgn0000318_FBtr0329967	cl	CG11024	FBgn0000318	FBtr0329967	Dmel_Dsim	84.254	0.0693	0.0096	0.1384
FBgn0000319_FBtr0074182	Chc	CG9012	FBgn0000319	FBtr0074182	Dmel_Dsim	100.000	0.0062	0.0005	0.0855
FBgn0000320_FBtr0079335	eya	CG9554	FBgn0000320	FBtr0079335	Dmel_Dsim	99.157	0.0411	0.0040	0.0972
FBgn0000326_FBtr0071687	clt	CG9858	FBgn0000326	FBtr0071687	Dmel_Dsim	100.000	0.1318	0.0178	0.1347
FBgn0000330_FBtr0071033	cm	CG3035	FBgn0000330	FBtr0071033	Dmel_Dsim	100.000	0.0137	0.0021	0.1514
FBgn0000337_FBtr0344723	cn	CG1555	FBgn0000337	FBtr0344723	Dmel_Dsim	95.957	0.2384	0.0604	0.2532
FBgn0000339_FBtr0080849	cni	CG5855	FBgn0000339	FBtr0080849	Dmel_Dsim	100.000	0.0378	0.0033	0.0881
FBgn0000346_FBtr0073754	comt	CG1618	FBgn0000346	FBtr0073754	Dmel_Dsim	100.000	0.0176	0.0034	0.1959
FBgn0000351_FBtr0333350	cort	CG11330	FBgn0000351	FBtr0333350	Dmel_Dsim	100.000	0.0318	0.0052	0.1640
FBgn0000352_FBtr0336916	cos	CG1708	FBgn0000352	FBtr0336916	Dmel_Dsim	99.750	0.0951	0.0121	0.1277
FBgn0000355_FBtr0076572	Cp15	CG6519	FBgn0000355	FBtr0076572	Dmel_Dsim	100.000	0.2075	0.0326	0.1574
FBgn0000356_FBtr0076574	Cp16	CG6533	FBgn0000356	FBtr0076574	Dmel_Dsim	100.000	0.5230	0.0471	0.0901
FBgn0000357_FBtr0076571	Cp18	CG6517	FBgn0000357	FBtr0076571	Dmel_Dsim	100.000	0.5019	0.0162	0.0323
FBgn0000358_FBtr0076573	Cp19	CG6524	FBgn0000358	FBtr0076573	Dmel_Dsim	100.000	0.0470	0.0075	0.1600
FBgn0000359_FBtr0071203	Cp36	CG1478	FBgn0000359	FBtr0071203	Dmel_Dsim	98.944	0.0158	0.0016	0.0997
FBgn0000376_FBtr0070496	crm	CG2714	FBgn0000376	FBtr0070496	Dmel_Dsim	99.236	0.1946	0.0279	0.1434
FBgn0000384_FBtr0111126	cta	CG17678	FBgn0000384	FBtr0111126	Dmel_Dsim	100.000	0.0857	0.0084	0.0981
FBgn0000392_FBtr0290322	cup	CG11181	FBgn0000392	FBtr0290322	Dmel_Dsim	97.579	0.1068	0.0182	0.1701
FBgn0000394_FBtr0070804	cv	CG12410	FBgn0000394	FBtr0070804	Dmel_Dsim	100.000	0.0010	0.0002	0.1708
FBgn0000395_FBtr0071610	cv-2	CG15671	FBgn0000395	FBtr0071610	Dmel_Dsim	100.000	0.0418	0.0046	0.1095
FBgn0000404_FBtr0076075	CycA	CG5940	FBgn0000404	FBtr0076075	Dmel_Dsim	98.882	0.0585	0.0063	0.1079
FBgn0000405_FBtr0071911	CycB	CG3510	FBgn0000405	FBtr0071911	Dmel_Dsim	100.000	0.1031	0.0070	0.0679
FBgn0000406_FBtr0331931	Cyt-b5-r	CG13279	FBgn0000406	FBtr0331931	Dmel_Dsim	100.000	0.0535	0.0070	0.1314
FBgn0000409_FBtr0344849	Cyt-c-p	CG17903	FBgn0000409	FBtr0344849	Dmel_Dsim	100.000	0.0010	0.0001	0.0748
FBgn0000411_FBtr0333034	D	CG5893	FBgn0000411	FBtr0333034	Dmel_Dsim	100.000	0.0201	0.0012	0.0608
FBgn0000416_FBtr0085713	Sap-r	CG12070	FBgn0000416	FBtr0085713	Dmel_Dsim	99.475	0.1393	0.0146	0.1045
FBgn0000422_FBtr0081167	Ddc	CG10697	FBgn0000422	FBtr0081167	Dmel_Dsim	100.000	0.0124	0.0017	0.1339
FBgn0000426_FBtr0088010	SmF	CG16792	FBgn0000426	FBtr0088010	Dmel_Dsim	100.000	0.0010	0.0001	0.0524
FBgn0000427_FBtr0071145	dec-1	CG2175	FBgn0000427	FBtr0071145	Dmel_Dsim	83.887	0.4236	0.1100	0.2597
FBgn0000439_FBtr0081621	Dfd	CG2189	FBgn0000439	FBtr0081621	Dmel_Dsim	98.807	0.0334	0.0037	0.1102
FBgn0000442_FBtr0078042	Pkg21D	CG3324	FBgn0000442	FBtr0078042	Dmel_Dsim	100.000	0.0469	0.0066	0.1414
FBgn0000447_FBtr0081890	Dhod	CG9741	FBgn0000447	FBtr0081890	Dmel_Dsim	100.000	0.0580	0.0067	0.1154
FBgn0000448_FBtr0302438	Hr46	CG33183	FBgn0000448	FBtr0302438	Dmel_Dsim	88.902	0.0610	0.0039	0.0639
FBgn0000449_FBtr0073205	dib	CG12028	FBgn0000449	FBtr0073205	Dmel_Dsim	100.000	0.0890	0.0106	0.1189
FBgn0000451_FBtr0339899	ect	CG6611	FBgn0000451	FBtr0339899	Dmel_Dsim	98.981	0.1081	0.0094	0.0870
FBgn0000454_FBtr0082832	Dip-B	CG9285	FBgn0000454	FBtr0082832	Dmel_Dsim	100.000	0.0531	0.0045	0.0850
FBgn0000455_FBtr0082597	Dip-C	CG5663	FBgn0000455	FBtr0082597	Dmel_Dsim	100.000	0.0434	0.0061	0.1409
FBgn0000463_FBtr0083739	Dl	CG3619	FBgn0000463	FBtr0083739	Dmel_Dsim	99.700	0.0519	0.0042	0.0812
FBgn0000464_FBtr0331239	Lar	CG10443	FBgn0000464	FBtr0331239	Dmel_Dsim	99.414	0.0053	0.0004	0.0820
FBgn0000473_FBtr0086133	Cyp6a2	CG9438	FBgn0000473	FBtr0086133	Dmel_Dsim	100.000	0.0480	0.0135	0.2822
FBgn0000477_FBtr0083538	DNaseII	CG7780	FBgn0000477	FBtr0083538	Dmel_Dsim	100.000	0.1371	0.0187	0.1360
FBgn0000479_FBtr0333315	dnc	CG32498	FBgn0000479	FBtr0333315	Dmel_Dsim	97.252	0.0917	0.0103	0.1121
FBgn0000482_FBtr0070269	dor	CG3093	FBgn0000482	FBtr0070269	Dmel_Dsim	100.000	0.0415	0.0055	0.1328
FBgn0000489_FBtr0075528	Pka-C3	CG6117	FBgn0000489	FBtr0075528	Dmel_Dsim	99.487	0.1139	0.0085	0.0748
FBgn0000490_FBtr0077773	dpp	CG9885	FBgn0000490	FBtr0077773	Dmel_Dsim	95.369	0.0952	0.0075	0.0789
FBgn0000492_FBtr0085441	Dr	CG1897	FBgn0000492	FBtr0085441	Dmel_Dsim	99.515	0.0084	0.0008	0.0994
FBgn0000497_FBtr0078045	ds	CG17941	FBgn0000497	FBtr0078045	Dmel_Dsim	99.916	0.0637	0.0074	0.1159
FBgn0000500_FBtr0078989	Dsk	CG18090	FBgn0000500	FBtr0078989	Dmel_Dsim	100.000	0.3834	0.0451	0.1177
FBgn0000520_FBtr0070487	dwg	CG2711	FBgn0000520	FBtr0070487	Dmel_Dsim	95.868	0.1423	0.0397	0.2790
FBgn0000524_FBtr0070914	dx	CG3929	FBgn0000524	FBtr0070914	Dmel_Dsim	98.461	0.0154	0.0023	0.1512
FBgn0000527_FBtr0084106	e	CG3331	FBgn0000527	FBtr0084106	Dmel_Dsim	100.000	0.0132	0.0030	0.2249
FBgn0000529_FBtr0089320	bsh	CG10604	FBgn0000529	FBtr0089320	Dmel_Dsim	100.000	0.0675	0.0042	0.0622
FBgn0000533_FBtr0083083	ea	CG4920	FBgn0000533	FBtr0083083	Dmel_Dsim	100.000	0.0313	0.0043	0.1383
FBgn0000535_FBtr0111009	eag	CG10952	FBgn0000535	FBtr0111009	Dmel_Dsim	99.099	0.0332	0.0015	0.0444
FBgn0000536_FBtr0074214	eas	CG3525	FBgn0000536	FBtr0074214	Dmel_Dsim	97.053	0.1809	0.0201	0.1109
FBgn0000542_FBtr0112802	ec	CG2904	FBgn0000542	FBtr0112802	Dmel_Dsim	99.125	0.0521	0.0070	0.1335
FBgn0000543_FBtr0072903	ecd	CG5714	FBgn0000543	FBtr0072903	Dmel_Dsim	100.000	0.0408	0.0067	0.1653
FBgn0000546_FBtr0086011	EcR	CG1765	FBgn0000546	FBtr0086011	Dmel_Dsim	97.342	0.0850	0.0047	0.0559
FBgn0000547_FBtr0077465	ed	CG12676	FBgn0000547	FBtr0077465	Dmel_Dsim	100.000	0.0201	0.0027	0.1337
FBgn0000551_FBtr0078408	Edg78E	CG7673	FBgn0000551	FBtr0078408	Dmel_Dsim	100.000	0.0010	0.0003	0.2536
FBgn0000552_FBtr0081688	Edg84A	CG2345	FBgn0000552	FBtr0081688	Dmel_Dsim	100.000	0.2815	0.0353	0.1256
FBgn0000556_FBtr0088035	Ef1alpha48D	CG8280	FBgn0000556	FBtr0088035	Dmel_Dsim	100.000	0.0010	0.0000	0.0424
FBgn0000557_FBtr0085833	Ef1alpha100E	CG1873	FBgn0000557	FBtr0085833	Dmel_Dsim	100.000	0.0010	0.0001	0.0780
FBgn0000559_FBtr0332966	EF2	CG2238	FBgn0000559	FBtr0332966	Dmel_Dsim	100.000	0.0078	0.0010	0.1313
FBgn0000560_FBtr0078438	eg	CG7383	FBgn0000560	FBtr0078438	Dmel_Dsim	95.547	0.2166	0.0430	0.1984
FBgn0000562_FBtr0114586	egl	CG4051	FBgn0000562	FBtr0114586	Dmel_Dsim	99.502	0.0341	0.0050	0.1456
FBgn0000564_FBtr0334930	Eh	CG5400	FBgn0000564	FBtr0334930	Dmel_Dsim	87.402	0.1092	0.0052	0.0480
FBgn0000566_FBtr0086710	Eip55E	CG5345	FBgn0000566	FBtr0086710	Dmel_Dsim	100.000	0.0686	0.0132	0.1918
FBgn0000567_FBtr0075204	Eip74EF	CG32180	FBgn0000567	FBtr0075204	Dmel_Dsim	93.123	0.5255	0.2411	0.4588
FBgn0000575_FBtr0072578	emc	CG1007	FBgn0000575	FBtr0072578	Dmel_Dsim	100.000	0.1136	0.0046	0.0405
FBgn0000576_FBtr0082863	ems	CG2988	FBgn0000576	FBtr0082863	Dmel_Dsim	98.390	0.0320	0.0029	0.0910
FBgn0000577_FBtr0088096	en	CG9015	FBgn0000577	FBtr0088096	Dmel_Dsim	99.369	0.0136	0.0016	0.1155
FBgn0000578_FBtr0114623	ena	CG15112	FBgn0000578	FBtr0114623	Dmel_Dsim	90.609	0.0243	0.0022	0.0925
FBgn0000579_FBtr0077906	Eno	CG17654	FBgn0000579	FBtr0077906	Dmel_Dsim	100.000	0.0361	0.0048	0.1330
FBgn0000588_FBtr0080325	esc	CG14941	FBgn0000588	FBtr0080325	Dmel_Dsim	100.000	0.0051	0.0010	0.1914
FBgn0000591_FBtr0084961	E(spl)m8-HLH	CG8365	FBgn0000591	FBtr0084961	Dmel_Dsim	100.000	0.0980	0.0071	0.0725
FBgn0000611_FBtr0333323	exd	CG8933	FBgn0000611	FBtr0333323	Dmel_Dsim	100.000	0.0010	0.0001	0.0621
FBgn0000615_FBtr0086242	exu	CG8994	FBgn0000615	FBtr0086242	Dmel_Dsim	98.080	0.2746	0.0356	0.1297
FBgn0000617_FBtr0074463	e(y)1	CG6474	FBgn0000617	FBtr0074463	Dmel_Dsim	98.029	0.0662	0.0093	0.1408
FBgn0000618_FBtr0073540	e(y)2	CG15191	FBgn0000618	FBtr0073540	Dmel_Dsim	100.000	0.2374	0.0310	0.1305
FBgn0000625_FBtr0339921	eyg	CG10488	FBgn0000625	FBtr0339921	Dmel_Dsim	98.811	0.0772	0.0059	0.0770
FBgn0000629_FBtr0334067	E(z)	CG6502	FBgn0000629	FBtr0334067	Dmel_Dsim	100.000	0.0628	0.0110	0.1750
FBgn0000633_FBtr0087625	fas	CG17716	FBgn0000633	FBtr0087625	Dmel_Dsim	100.000	0.0671	0.0090	0.1337
FBgn0000635_FBtr0343523	Fas2	CG3665	FBgn0000635	FBtr0343523	Dmel_Dsim	98.056	0.0270	0.0031	0.1159
FBgn0000636_FBtr0112805	Fas3	CG5803	FBgn0000636	FBtr0112805	Dmel_Dsim	100.000	0.0495	0.0045	0.0904
FBgn0000639_FBtr0075749	Fbp1	CG17285	FBgn0000639	FBtr0075749	Dmel_Dsim	99.757	0.1709	0.0189	0.1109
FBgn0000640_FBtr0343428	Fbp2	CG3763	FBgn0000640	FBtr0343428	Dmel_Dsim	100.000	0.1022	0.0153	0.1498
FBgn0000644_FBtr0070542	Fcp3C	CG4015	FBgn0000644	FBtr0070542	Dmel_Dsim	92.430	0.1465	0.0348	0.2377
FBgn0000662_FBtr0087647	fl(2)d	CG6315	FBgn0000662	FBtr0087647	Dmel_Dsim	100.000	0.1368	0.0118	0.0862
FBgn0000709_FBtr0077192	fliI	CG1484	FBgn0000709	FBtr0077192	Dmel_Dsim	100.000	0.0366	0.0035	0.0949
FBgn0000715_FBtr0088383	FMRFa	CG2346	FBgn0000715	FBtr0088383	Dmel_Dsim	100.000	0.0942	0.0117	0.1239
FBgn0000719_FBtr0333179	fog	CG9559	FBgn0000719	FBtr0333179	Dmel_Dsim	98.224	0.7218	0.0420	0.0582
FBgn0000721_FBtr0089312	for	CG10033	FBgn0000721	FBtr0089312	Dmel_Dsim	99.219	0.0580	0.0060	0.1038
FBgn0000723_FBtr0082052	FER	CG8874	FBgn0000723	FBtr0082052	Dmel_Dsim	99.324	0.0620	0.0057	0.0912
FBgn0000808_FBtr0332309	gd	CG1505	FBgn0000808	FBtr0332309	Dmel_Dsim	98.872	0.0623	0.0066	0.1061
FBgn0000810_FBtr0070396	fs(1)K10	CG3218	FBgn0000810	FBtr0070396	Dmel_Dsim	95.886	0.1436	0.0130	0.0904
FBgn0000826_FBtr0070234	png	CG11420	FBgn0000826	FBtr0070234	Dmel_Dsim	100.000	0.0326	0.0070	0.2156
FBgn0000927_FBtr0070485	fs(1)Ya	CG2707	FBgn0000927	FBtr0070485	Dmel_Dsim	99.138	0.0783	0.0115	0.1464
FBgn0000996_FBtr0087387	dup	CG8171	FBgn0000996	FBtr0087387	Dmel_Dsim	98.656	0.1086	0.0118	0.1084
FBgn0001075_FBtr0077478	ft	CG3352	FBgn0001075	FBtr0077478	Dmel_Dsim	99.710	0.0323	0.0053	0.1629
FBgn0001077_FBtr0081625	ftz	CG2047	FBgn0001077	FBtr0081625	Dmel_Dsim	99.153	0.0963	0.0106	0.1102
FBgn0001078_FBtr0075086	ftz-f1	CG4059	FBgn0001078	FBtr0075086	Dmel_Dsim	98.497	0.1276	0.0071	0.0553
FBgn0001079_FBtr0074602	fu	CG6551	FBgn0001079	FBtr0074602	Dmel_Dsim	100.000	0.0555	0.0073	0.1319
FBgn0001083_FBtr0073580	fw	CG1500	FBgn0001083	FBtr0073580	Dmel_Dsim	100.000	0.0228	0.0030	0.1315
FBgn0001084_FBtr0079712	fy	CG13396	FBgn0001084	FBtr0079712	Dmel_Dsim	100.000	0.0176	0.0033	0.1871
FBgn0001086_FBtr0080833	fzy	CG4274	FBgn0001086	FBtr0080833	Dmel_Dsim	100.000	0.0177	0.0017	0.0936
FBgn0001087_FBtr0073842	g	CG10986	FBgn0001087	FBtr0073842	Dmel_Dsim	99.232	0.0484	0.0055	0.1135
FBgn0001090_FBtr0074659	bnb	CG7088	FBgn0001090	FBtr0074659	Dmel_Dsim	95.011	0.2429	0.0117	0.0481
FBgn0001098_FBtr0089498	Gdh	CG5320	FBgn0001098	FBtr0089498	Dmel_Dsim	100.000	0.0096	0.0007	0.0742
FBgn0001099_FBtr0334082	gdl	CG33756	FBgn0001099	FBtr0334082	Dmel_Dsim	55.928	1.7073	dN	dS
FBgn0001104_FBtr0076934	Galphai	CG10060	FBgn0001104	FBtr0076934	Dmel_Dsim	100.000	0.0112	0.0012	0.1051
FBgn0001105_FBtr0074110	Gbeta13F	CG10545	FBgn0001105	FBtr0074110	Dmel_Dsim	100.000	0.0010	0.0000	0.0150
FBgn0001108_FBtr0075756	Gl	CG9206	FBgn0001108	FBtr0075756	Dmel_Dsim	100.000	0.0778	0.0107	0.1372
FBgn0001114_FBtr0307091	Glt	CG9280	FBgn0001114	FBtr0307091	Dmel_Dsim	97.592	0.2710	0.0360	0.1329
FBgn0001120_FBtr0075697	gnu	CG5272	FBgn0001120	FBtr0075697	Dmel_Dsim	98.963	0.1949	0.0205	0.1049
FBgn0001122_FBtr0088270	Galphao	CG2204	FBgn0001122	FBtr0088270	Dmel_Dsim	100.000	0.0930	0.0159	0.1712
FBgn0001123_FBtr0072143	Galphas	CG2835	FBgn0001123	FBtr0072143	Dmel_Dsim	100.000	0.0010	0.0000	0.0098
FBgn0001124_FBtr0087231	Got1	CG8430	FBgn0001124	FBtr0087231	Dmel_Dsim	100.000	0.1649	0.0195	0.1181
FBgn0001125_FBtr0077868	Got2	CG4233	FBgn0001125	FBtr0077868	Dmel_Dsim	100.000	0.0887	0.0087	0.0977
FBgn0001128_FBtr0079146	Gpdh	CG9042	FBgn0001128	FBtr0079146	Dmel_Dsim	100.000	0.0010	0.0001	0.0740
FBgn0001133_FBtr0071548	grau	CG33133	FBgn0001133	FBtr0071548	Dmel_Dsim	100.000	0.0364	0.0051	0.1404
FBgn0001134_FBtr0075139	Grd	CG7446	FBgn0001134	FBtr0075139	Dmel_Dsim	99.420	0.0150	0.0013	0.0865
FBgn0001137_FBtr0079708	grk	CG17610	FBgn0001137	FBtr0079708	Dmel_Dsim	100.000	0.1087	0.0106	0.0974
