"Gene_focal","Gene_ortho","species","Common Pfam match or OrthoDB group","value focal","value target","property","dataset"
"RPL41B","KNAG0C04050","Kazachstania_naganishii",FALSE,78,3279,"CDS length","yeast"
"MNE1","KLLA0_F23485g","Kluyveromyces_lactis",TRUE,1992,1908,"CDS length","yeast"
"ATF2","AACERI_AaceriAAL140C","Ashbya_aceri",FALSE,1608,1551,"CDS length","yeast"
"GAL80","TDEL0F00610","Torulaspora_delbrueckii",FALSE,1308,441,"CDS length","yeast"
"SSU1","AGOS_AGR195W","Eremothecium_gossypii",FALSE,1377,1860,"CDS length","yeast"
"CMG1","TPHA0F02590","Tetrapisispora_phaffii",FALSE,825,921,"CDS length","yeast"
"CMG1","TPHA0F02600","Tetrapisispora_phaffii",FALSE,825,1851,"CDS length","yeast"
"YRO2","AACERI_AaceriABL099W","Ashbya_aceri",FALSE,1035,2403,"CDS length","yeast"
"YMR178W","NDAI0I00950","Naumovozyma_dairenensis",FALSE,825,444,"CDS length","yeast"
"YMR178W","NDAI0I00960","Naumovozyma_dairenensis",FALSE,825,3639,"CDS length","yeast"
"CCS1","TBLA0G01930","Tetrapisispora_blattae",FALSE,750,3735,"CDS length","yeast"
"POF1","KLLA0_C01023g","Kluyveromyces_lactis",FALSE,777,1911,"CDS length","yeast"
"POF1","KLLA0_C01045g","Kluyveromyces_lactis",FALSE,777,423,"CDS length","yeast"
"RPL41B","TPHA0A03200","Tetrapisispora_phaffii",FALSE,78,3405,"CDS length","yeast"
"RSF1","CAGL0L12870g","Candida_glabrata",FALSE,1131,504,"CDS length","yeast"
"RSF1","CAGL0L12892g","Candida_glabrata",FALSE,1131,990,"CDS length","yeast"
"PAU4","Kpol_381p5","Vanderwaltozyma_polyspora",FALSE,363,2253,"CDS length","yeast"
"RPL41B","KAFR0B01130","Kazachstania_africana",FALSE,78,3330,"CDS length","yeast"
"YJL132W","AACERI_AaceriACR261C","Ashbya_aceri",FALSE,2253,1224,"CDS length","yeast"
"YML079W","Ecym_1131","Eremothecium_cymbalariae",FALSE,606,2373,"CDS length","yeast"
"ECM8","KNAG0J02250","Kazachstania_naganishii",FALSE,1065,891,"CDS length","yeast"
"ECM8","KNAG0J02260","Kazachstania_naganishii",FALSE,1065,1365,"CDS length","yeast"
"WIP1","KLLA0_E02465g","Kluyveromyces_lactis",TRUE,270,258,"CDS length","yeast"
"NTC20","KAFR0I00780","Kazachstania_africana",TRUE,423,372,"CDS length","yeast"
"MMS1","KLLA0_B10604g","Kluyveromyces_lactis",TRUE,4224,3405,"CDS length","yeast"
"PRM2","TPHA0C01300","Tetrapisispora_phaffii",TRUE,1971,1650,"CDS length","yeast"
"YLR361C-A","KNAG0B05870","Kazachstania_naganishii",TRUE,297,267,"CDS length","yeast"
"SPR2","TDEL0A05800","Torulaspora_delbrueckii",TRUE,711,1989,"CDS length","yeast"
"YPF1","KLTH0D05588g","Lachancea_thermotolerans",FALSE,13,2,"ISD pct","yeast"
"BNA6","NCAS0F03950","Naumovozyma_castellii",FALSE,1,9,"ISD pct","yeast"
"BNA6","NCAS0F03960","Naumovozyma_castellii",FALSE,1,24,"ISD pct","yeast"
"YER010C","TPHA0I02120","Tetrapisispora_phaffii",FALSE,3,1,"ISD pct","yeast"
"YER010C","TPHA0I02130","Tetrapisispora_phaffii",FALSE,3,82,"ISD pct","yeast"
"TIP1","Kpol_1052p16","Vanderwaltozyma_polyspora",FALSE,63,15,"ISD pct","yeast"
"TIP1","Kpol_1052p17","Vanderwaltozyma_polyspora",FALSE,63,4,"ISD pct","yeast"
"FRT1","AACERI_AaceriADR352C","Ashbya_aceri",FALSE,44,8,"ISD pct","yeast"
"IML2","AACERI_AaceriAFR104W","Ashbya_aceri",FALSE,11,8,"ISD pct","yeast"
"YCP4","AGOS_AAR003W","Eremothecium_gossypii",FALSE,20,8,"ISD pct","yeast"
"FRT1","AGOS_ADR352C","Eremothecium_gossypii",FALSE,44,24,"ISD pct","yeast"
"YNL208W","TDEL0A00850","Torulaspora_delbrueckii",FALSE,79,3,"ISD pct","yeast"
"SYF2","KAFR0C01950","Kazachstania_africana",TRUE,60,43,"ISD pct","yeast"
"ATF2","ZYRO0B10934g","Zygosaccharomyces_rouxii",FALSE,1,17,"ISD pct","yeast"
"IML2","AGOS_AFR104W","Eremothecium_gossypii",FALSE,11,7,"ISD pct","yeast"
"YCP4","AACERI_AaceriAAR003W","Ashbya_aceri",FALSE,20,9,"ISD pct","yeast"
"PML39","Kpol_1069p4","Vanderwaltozyma_polyspora",FALSE,1,3,"ISD pct","yeast"
"YPF1","AACERI_AaceriABL033C","Ashbya_aceri",FALSE,13,1,"ISD pct","yeast"
"YJL132W","TPHA0B03090","Tetrapisispora_phaffii",FALSE,3,6,"ISD pct","yeast"
"NPP2","KLTH0H13970g","Lachancea_thermotolerans",FALSE,9,13,"ISD pct","yeast"
"NPP2","KLTH0H13992g","Lachancea_thermotolerans",FALSE,9,14,"ISD pct","yeast"
"POA1","Ecym_3604","Eremothecium_cymbalariae",FALSE,1,7,"ISD pct","yeast"
"POA1","Ecym_3605","Eremothecium_cymbalariae",FALSE,1,5,"ISD pct","yeast"
"AIM34","TPHA0J00460","Tetrapisispora_phaffii",FALSE,21,5,"ISD pct","yeast"
"GAL80","Ecym_3166","Eremothecium_cymbalariae",FALSE,4,6,"ISD pct","yeast"
"SPO22","AGOS_ACL031C","Eremothecium_gossypii",FALSE,4,11,"ISD pct","yeast"
"SPO22","AACERI_AaceriACL031C","Ashbya_aceri",FALSE,4,7,"ISD pct","yeast"
"YPF1","AGOS_ABL033C","Eremothecium_gossypii",FALSE,13,4,"ISD pct","yeast"
"INO1","KLTH0F05170g","Lachancea_thermotolerans",FALSE,1,14,"ISD pct","yeast"
"INO1","KLTH0F05192g","Lachancea_thermotolerans",FALSE,1,23,"ISD pct","yeast"
"EGO2","TBLA0I02450","Tetrapisispora_blattae",FALSE,17,25,"ISD pct","yeast"
"YRO2","AGOS_ABL099W","Eremothecium_gossypii",FALSE,21,13,"ISD pct","yeast"
"YJL132W","Ecym_5204","Eremothecium_cymbalariae",FALSE,3,7,"ISD pct","yeast"
"ATF2","AGOS_AAL140C","Eremothecium_gossypii",FALSE,1,3,"ISD pct","yeast"
"QRI5","NDAI0E04490","Naumovozyma_dairenensis",TRUE,35,32,"ISD pct","yeast"
"MFA1","KLLA0_C14894g","Kluyveromyces_lactis",FALSE,62,1,"ISD pct","yeast"
"CST9","AGOS_AER061C","Eremothecium_gossypii",FALSE,38,5,"ISD pct","yeast"
"SSU1","AACERI_AaceriAGR195W","Ashbya_aceri",FALSE,15,12,"ISD pct","yeast"
"YJL213W","KLLA0_E00309g","Kluyveromyces_lactis",FALSE,2,2,"ISD pct","yeast"
"YJL213W","KLLA0_E00397g","Kluyveromyces_lactis",FALSE,2,8,"ISD pct","yeast"
"MEI4","KLLA0_E04225g","Kluyveromyces_lactis",FALSE,5,1,"ISD pct","yeast"
"MEI4","KLLA0_E04247g","Kluyveromyces_lactis",FALSE,5,1,"ISD pct","yeast"
"RPL41B","Kpol_2000p7","Vanderwaltozyma_polyspora",FALSE,100,3,"ISD pct","yeast"
"CST9","AACERI_AaceriAER061C","Ashbya_aceri",FALSE,38,4,"ISD pct","yeast"
"AIM4","AGOS_AEL251C","Eremothecium_gossypii",FALSE,60,17,"ISD pct","yeast"
"RPL41B","NDAI0A02200","Naumovozyma_dairenensis",FALSE,100,5,"ISD pct","yeast"
"YMR1","KAFR0G00790","Kazachstania_africana",FALSE,14,3,"ISD pct","yeast"
"YJL132W","AGOS_ACR261C","Eremothecium_gossypii",FALSE,3,10,"ISD pct","yeast"
"ECM14","Ecym_6389","Eremothecium_cymbalariae",FALSE,6,3,"ISD pct","yeast"
"RPL41B","KNAG0C04050","Kazachstania_naganishii",FALSE,100,3,"ISD pct","yeast"
"MNE1","KLLA0_F23485g","Kluyveromyces_lactis",TRUE,3,5,"ISD pct","yeast"
"ATF2","AACERI_AaceriAAL140C","Ashbya_aceri",FALSE,1,1,"ISD pct","yeast"
"GAL80","TDEL0F00610","Torulaspora_delbrueckii",FALSE,4,27,"ISD pct","yeast"
"SSU1","AGOS_AGR195W","Eremothecium_gossypii",FALSE,15,13,"ISD pct","yeast"
"CMG1","TPHA0F02590","Tetrapisispora_phaffii",FALSE,38,43,"ISD pct","yeast"
"CMG1","TPHA0F02600","Tetrapisispora_phaffii",FALSE,38,6,"ISD pct","yeast"
"YRO2","AACERI_AaceriABL099W","Ashbya_aceri",FALSE,21,11,"ISD pct","yeast"
"YMR178W","NDAI0I00950","Naumovozyma_dairenensis",FALSE,7,15,"ISD pct","yeast"
"YMR178W","NDAI0I00960","Naumovozyma_dairenensis",FALSE,7,18,"ISD pct","yeast"
"CCS1","TBLA0G01930","Tetrapisispora_blattae",FALSE,4,51,"ISD pct","yeast"
"POF1","KLLA0_C01023g","Kluyveromyces_lactis",FALSE,1,10,"ISD pct","yeast"
"POF1","KLLA0_C01045g","Kluyveromyces_lactis",FALSE,1,9,"ISD pct","yeast"
"RPL41B","TPHA0A03200","Tetrapisispora_phaffii",FALSE,100,2,"ISD pct","yeast"
"RSF1","CAGL0L12870g","Candida_glabrata",FALSE,19,7,"ISD pct","yeast"
"RSF1","CAGL0L12892g","Candida_glabrata",FALSE,19,12,"ISD pct","yeast"
"PAU4","Kpol_381p5","Vanderwaltozyma_polyspora",FALSE,23,1,"ISD pct","yeast"
"RPL41B","KAFR0B01130","Kazachstania_africana",FALSE,100,5,"ISD pct","yeast"
"YJL132W","AACERI_AaceriACR261C","Ashbya_aceri",FALSE,3,12,"ISD pct","yeast"
"YML079W","Ecym_1131","Eremothecium_cymbalariae",FALSE,8,8,"ISD pct","yeast"
"ECM8","KNAG0J02250","Kazachstania_naganishii",FALSE,9,10,"ISD pct","yeast"
"ECM8","KNAG0J02260","Kazachstania_naganishii",FALSE,9,17,"ISD pct","yeast"
"WIP1","KLLA0_E02465g","Kluyveromyces_lactis",TRUE,6,13,"ISD pct","yeast"
"NTC20","KAFR0I00780","Kazachstania_africana",TRUE,14,19,"ISD pct","yeast"
"MMS1","KLLA0_B10604g","Kluyveromyces_lactis",TRUE,2,1,"ISD pct","yeast"
"PRM2","TPHA0C01300","Tetrapisispora_phaffii",TRUE,0,3,"ISD pct","yeast"
"YLR361C-A","KNAG0B05870","Kazachstania_naganishii",TRUE,82,100,"ISD pct","yeast"
"SPR2","TDEL0A05800","Torulaspora_delbrueckii",TRUE,17,76,"ISD pct","yeast"
"YPF1","KLTH0D05588g","Lachancea_thermotolerans",FALSE,13.8,7.7,"LowComp pct","yeast"
"BNA6","NCAS0F03950","Naumovozyma_castellii",FALSE,0,4.4,"LowComp pct","yeast"
"BNA6","NCAS0F03960","Naumovozyma_castellii",FALSE,0,18.7,"LowComp pct","yeast"
"YER010C","TPHA0I02120","Tetrapisispora_phaffii",FALSE,0,2,"LowComp pct","yeast"
"YER010C","TPHA0I02130","Tetrapisispora_phaffii",FALSE,0,25.4,"LowComp pct","yeast"
"TIP1","Kpol_1052p16","Vanderwaltozyma_polyspora",FALSE,47.9,9.1,"LowComp pct","yeast"
"TIP1","Kpol_1052p17","Vanderwaltozyma_polyspora",FALSE,47.9,4.9,"LowComp pct","yeast"
"FRT1","AACERI_AaceriADR352C","Ashbya_aceri",FALSE,16.7,7.8,"LowComp pct","yeast"
"IML2","AACERI_AaceriAFR104W","Ashbya_aceri",FALSE,7.1,2.7,"LowComp pct","yeast"
"YCP4","AGOS_AAR003W","Eremothecium_gossypii",FALSE,4,1.2,"LowComp pct","yeast"
"FRT1","AGOS_ADR352C","Eremothecium_gossypii",FALSE,16.7,11.4,"LowComp pct","yeast"
"YNL208W","TDEL0A00850","Torulaspora_delbrueckii",FALSE,52,1.4,"LowComp pct","yeast"
"SYF2","KAFR0C01950","Kazachstania_africana",TRUE,7.4,7,"LowComp pct","yeast"
"ATF2","ZYRO0B10934g","Zygosaccharomyces_rouxii",FALSE,5,3,"LowComp pct","yeast"
"IML2","AGOS_AFR104W","Eremothecium_gossypii",FALSE,7.1,2.8,"LowComp pct","yeast"
"YCP4","AACERI_AaceriAAR003W","Ashbya_aceri",FALSE,4,0,"LowComp pct","yeast"
"PML39","Kpol_1069p4","Vanderwaltozyma_polyspora",FALSE,0,4.7,"LowComp pct","yeast"
"YPF1","AACERI_AaceriABL033C","Ashbya_aceri",FALSE,13.8,6.7,"LowComp pct","yeast"
"YJL132W","TPHA0B03090","Tetrapisispora_phaffii",FALSE,1.9,3.2,"LowComp pct","yeast"
"NPP2","KLTH0H13970g","Lachancea_thermotolerans",FALSE,3.2,6.7,"LowComp pct","yeast"
"NPP2","KLTH0H13992g","Lachancea_thermotolerans",FALSE,3.2,12.7,"LowComp pct","yeast"
"POA1","Ecym_3604","Eremothecium_cymbalariae",FALSE,0,2,"LowComp pct","yeast"
"POA1","Ecym_3605","Eremothecium_cymbalariae",FALSE,0,1.9,"LowComp pct","yeast"
"AIM34","TPHA0J00460","Tetrapisispora_phaffii",FALSE,0,0,"LowComp pct","yeast"
"GAL80","Ecym_3166","Eremothecium_cymbalariae",FALSE,2.8,0,"LowComp pct","yeast"
"SPO22","AGOS_ACL031C","Eremothecium_gossypii",FALSE,3.6,2.4,"LowComp pct","yeast"
"SPO22","AACERI_AaceriACL031C","Ashbya_aceri",FALSE,3.6,2.4,"LowComp pct","yeast"
"YPF1","AGOS_ABL033C","Eremothecium_gossypii",FALSE,13.8,7.5,"LowComp pct","yeast"
"INO1","KLTH0F05170g","Lachancea_thermotolerans",FALSE,2.4,8.3,"LowComp pct","yeast"
"INO1","KLTH0F05192g","Lachancea_thermotolerans",FALSE,2.4,0,"LowComp pct","yeast"
"EGO2","TBLA0I02450","Tetrapisispora_blattae",FALSE,0,23.1,"LowComp pct","yeast"
"YRO2","AGOS_ABL099W","Eremothecium_gossypii",FALSE,12.8,4.9,"LowComp pct","yeast"
"YJL132W","Ecym_5204","Eremothecium_cymbalariae",FALSE,1.9,4.3,"LowComp pct","yeast"
"ATF2","AGOS_AAL140C","Eremothecium_gossypii",FALSE,5,4.8,"LowComp pct","yeast"
"QRI5","NDAI0E04490","Naumovozyma_dairenensis",TRUE,33,16.4,"LowComp pct","yeast"
"MFA1","KLLA0_C14894g","Kluyveromyces_lactis",FALSE,0,0,"LowComp pct","yeast"
"CST9","AGOS_AER061C","Eremothecium_gossypii",FALSE,14.9,6.6,"LowComp pct","yeast"
"SSU1","AACERI_AaceriAGR195W","Ashbya_aceri",FALSE,2.6,11,"LowComp pct","yeast"
"YJL213W","KLLA0_E00309g","Kluyveromyces_lactis",FALSE,0,2.4,"LowComp pct","yeast"
"YJL213W","KLLA0_E00397g","Kluyveromyces_lactis",FALSE,0,2.6,"LowComp pct","yeast"
"MEI4","KLLA0_E04225g","Kluyveromyces_lactis",FALSE,13.2,0,"LowComp pct","yeast"
"MEI4","KLLA0_E04247g","Kluyveromyces_lactis",FALSE,13.2,8.8,"LowComp pct","yeast"
"RPL41B","Kpol_2000p7","Vanderwaltozyma_polyspora",FALSE,92.3,5.4,"LowComp pct","yeast"
"CST9","AACERI_AaceriAER061C","Ashbya_aceri",FALSE,14.9,7.1,"LowComp pct","yeast"
"AIM4","AGOS_AEL251C","Eremothecium_gossypii",FALSE,0,10.1,"LowComp pct","yeast"
"RPL41B","NDAI0A02200","Naumovozyma_dairenensis",FALSE,92.3,0,"LowComp pct","yeast"
"YMR1","KAFR0G00790","Kazachstania_africana",FALSE,5.7,0,"LowComp pct","yeast"
"YJL132W","AGOS_ACR261C","Eremothecium_gossypii",FALSE,1.9,1.5,"LowComp pct","yeast"
"ECM14","Ecym_6389","Eremothecium_cymbalariae",FALSE,0,0,"LowComp pct","yeast"
"RPL41B","KNAG0C04050","Kazachstania_naganishii",FALSE,92.3,2.6,"LowComp pct","yeast"
"MNE1","KLLA0_F23485g","Kluyveromyces_lactis",TRUE,6.2,5.5,"LowComp pct","yeast"
"ATF2","AACERI_AaceriAAL140C","Ashbya_aceri",FALSE,5,3.3,"LowComp pct","yeast"
"GAL80","TDEL0F00610","Torulaspora_delbrueckii",FALSE,2.8,0,"LowComp pct","yeast"
"SSU1","AGOS_AGR195W","Eremothecium_gossypii",FALSE,2.6,10.8,"LowComp pct","yeast"
"CMG1","TPHA0F02590","Tetrapisispora_phaffii",FALSE,5.8,10.7,"LowComp pct","yeast"
"CMG1","TPHA0F02600","Tetrapisispora_phaffii",FALSE,5.8,0,"LowComp pct","yeast"
"YRO2","AACERI_AaceriABL099W","Ashbya_aceri",FALSE,12.8,7.2,"LowComp pct","yeast"
"YMR178W","NDAI0I00950","Naumovozyma_dairenensis",FALSE,0,0,"LowComp pct","yeast"
"YMR178W","NDAI0I00960","Naumovozyma_dairenensis",FALSE,0,11.3,"LowComp pct","yeast"
"CCS1","TBLA0G01930","Tetrapisispora_blattae",FALSE,0,19.3,"LowComp pct","yeast"
"POF1","KLLA0_C01023g","Kluyveromyces_lactis",FALSE,0,4.2,"LowComp pct","yeast"
"POF1","KLLA0_C01045g","Kluyveromyces_lactis",FALSE,0,7.1,"LowComp pct","yeast"
"RPL41B","TPHA0A03200","Tetrapisispora_phaffii",FALSE,92.3,3.8,"LowComp pct","yeast"
"RSF1","CAGL0L12870g","Candida_glabrata",FALSE,11.9,11.3,"LowComp pct","yeast"
"RSF1","CAGL0L12892g","Candida_glabrata",FALSE,11.9,8.5,"LowComp pct","yeast"
"PAU4","Kpol_381p5","Vanderwaltozyma_polyspora",FALSE,19,3.7,"LowComp pct","yeast"
"RPL41B","KAFR0B01130","Kazachstania_africana",FALSE,92.3,1.3,"LowComp pct","yeast"
"YJL132W","AACERI_AaceriACR261C","Ashbya_aceri",FALSE,1.9,1.5,"LowComp pct","yeast"
"YML079W","Ecym_1131","Eremothecium_cymbalariae",FALSE,0,1.6,"LowComp pct","yeast"
"ECM8","KNAG0J02250","Kazachstania_naganishii",FALSE,0,4,"LowComp pct","yeast"
"ECM8","KNAG0J02260","Kazachstania_naganishii",FALSE,0,1.3,"LowComp pct","yeast"
"WIP1","KLLA0_E02465g","Kluyveromyces_lactis",TRUE,0,0,"LowComp pct","yeast"
"NTC20","KAFR0I00780","Kazachstania_africana",TRUE,0,0,"LowComp pct","yeast"
"MMS1","KLLA0_B10604g","Kluyveromyces_lactis",TRUE,1.9,1.1,"LowComp pct","yeast"
"PRM2","TPHA0C01300","Tetrapisispora_phaffii",TRUE,12.6,13.6,"LowComp pct","yeast"
"YLR361C-A","KNAG0B05870","Kazachstania_naganishii",TRUE,19.2,12.4,"LowComp pct","yeast"
"SPR2","TDEL0A05800","Torulaspora_delbrueckii",TRUE,22.4,53.7,"LowComp pct","yeast"
"YPF1","KLTH0D05588g","Lachancea_thermotolerans",FALSE,36.791,55.128,"GC pct","yeast"
"BNA6","NCAS0F03950","Naumovozyma_castellii",FALSE,44.369,34.946,"GC pct","yeast"
"BNA6","NCAS0F03960","Naumovozyma_castellii",FALSE,44.369,41.711,"GC pct","yeast"
"YER010C","TPHA0I02120","Tetrapisispora_phaffii",FALSE,41.135,29.996,"GC pct","yeast"
"YER010C","TPHA0I02130","Tetrapisispora_phaffii",FALSE,41.135,44.652,"GC pct","yeast"
"TIP1","Kpol_1052p16","Vanderwaltozyma_polyspora",FALSE,47.709,36.754,"GC pct","yeast"
"TIP1","Kpol_1052p17","Vanderwaltozyma_polyspora",FALSE,47.709,42.249,"GC pct","yeast"
"FRT1","AACERI_AaceriADR352C","Ashbya_aceri",FALSE,41.072,61.176,"GC pct","yeast"
"IML2","AACERI_AaceriAFR104W","Ashbya_aceri",FALSE,40.073,42.71,"GC pct","yeast"
"YCP4","AGOS_AAR003W","Eremothecium_gossypii",FALSE,44.892,47.103,"GC pct","yeast"
"FRT1","AGOS_ADR352C","Eremothecium_gossypii",FALSE,41.072,60,"GC pct","yeast"
"YNL208W","TDEL0A00850","Torulaspora_delbrueckii",FALSE,51.333,41.123,"GC pct","yeast"
"SYF2","KAFR0C01950","Kazachstania_africana",TRUE,38.889,39.873,"GC pct","yeast"
"ATF2","ZYRO0B10934g","Zygosaccharomyces_rouxii",FALSE,40.485,39.128,"GC pct","yeast"
"IML2","AGOS_AFR104W","Eremothecium_gossypii",FALSE,40.073,40.87,"GC pct","yeast"
"YCP4","AACERI_AaceriAAR003W","Ashbya_aceri",FALSE,44.892,44.425,"GC pct","yeast"
"PML39","Kpol_1069p4","Vanderwaltozyma_polyspora",FALSE,38.806,33.094,"GC pct","yeast"
"YPF1","AACERI_AaceriABL033C","Ashbya_aceri",FALSE,36.791,49.109,"GC pct","yeast"
"YJL132W","TPHA0B03090","Tetrapisispora_phaffii",FALSE,38.393,34.399,"GC pct","yeast"
"NPP2","KLTH0H13970g","Lachancea_thermotolerans",FALSE,40.486,49.05,"GC pct","yeast"
"NPP2","KLTH0H13992g","Lachancea_thermotolerans",FALSE,40.486,57.7,"GC pct","yeast"
"POA1","Ecym_3604","Eremothecium_cymbalariae",FALSE,38.015,43.684,"GC pct","yeast"
"POA1","Ecym_3605","Eremothecium_cymbalariae",FALSE,38.015,46.952,"GC pct","yeast"
"AIM34","TPHA0J00460","Tetrapisispora_phaffii",FALSE,36.181,32.588,"GC pct","yeast"
"GAL80","Ecym_3166","Eremothecium_cymbalariae",FALSE,40.826,42.029,"GC pct","yeast"
"SPO22","AGOS_ACL031C","Eremothecium_gossypii",FALSE,35.075,51.707,"GC pct","yeast"
"SPO22","AACERI_AaceriACL031C","Ashbya_aceri",FALSE,35.075,48.889,"GC pct","yeast"
"YPF1","AGOS_ABL033C","Eremothecium_gossypii",FALSE,36.791,50.089,"GC pct","yeast"
"INO1","KLTH0F05170g","Lachancea_thermotolerans",FALSE,42.759,52.49,"GC pct","yeast"
"INO1","KLTH0F05192g","Lachancea_thermotolerans",FALSE,42.759,47.619,"GC pct","yeast"
"EGO2","TBLA0I02450","Tetrapisispora_blattae",FALSE,42.544,28.364,"GC pct","yeast"
"YRO2","AGOS_ABL099W","Eremothecium_gossypii",FALSE,40.676,43.321,"GC pct","yeast"
"YJL132W","Ecym_5204","Eremothecium_cymbalariae",FALSE,38.393,39.291,"GC pct","yeast"
"ATF2","AGOS_AAL140C","Eremothecium_gossypii",FALSE,40.485,49.516,"GC pct","yeast"
"QRI5","NDAI0E04490","Naumovozyma_dairenensis",TRUE,44.643,33.333,"GC pct","yeast"
"MFA1","KLLA0_C14894g","Kluyveromyces_lactis",FALSE,45.045,37.131,"GC pct","yeast"
"CST9","AGOS_AER061C","Eremothecium_gossypii",FALSE,38.026,65.18,"GC pct","yeast"
"SSU1","AACERI_AaceriAGR195W","Ashbya_aceri",FALSE,39.07,53.214,"GC pct","yeast"
