"Gene_name","dN","dS","micro-synteny","tag"
"IRC3",0.075825,1.01,"NO","yeast"
"RQC1",0.08625,1.02205,"NO","yeast"
"SWR1",0.0894,0.833375,"NO","yeast"
"MSN5",0.0149,0.62045,"NO","yeast"
"YDR336W",0.173725,0.64045,"NO","yeast"
"YBL059W",0.145725,0.971075,"NO","yeast"
"MRPS28",0.045475,0.79335,"NO","yeast"
"YDR338C",0.030525,0.687725,"YES","yeast"
"FCF1",0.014375,0.705325,"NO","yeast"
"SVF1",0.0562,0.839275,"YES","yeast"
"MRP1",0.068275,0.68695,"YES","yeast"
"PAL1",0.074,0.974375,"YES","yeast"
"YPS7",0.100475,0.85455,"NO","yeast"
"ATP22",0.1207,0.74355,"NO","yeast"
"SBE2",0.109625,0.7452,"YES","yeast"
"YPQ2",0.067825,0.83155,"YES","yeast"
"SHP1",0.0932,0.75195,"NO","yeast"
"OAF1",0.052075,0.861825,"NO","yeast"
"TRR1",0.025875,0.528325,"YES","yeast"
"TRP4",0.066475,0.919475,"YES","yeast"
"SPC110",0.1197,0.97285,"YES","yeast"
"CNL1",0.069375,0.62115,"YES","yeast"
"GGA1",0.1415,0.721725,"YES","yeast"
"EAF1",0.123,0.8431,"YES","yeast"
"BCP1",0.052425,0.602275,"YES","yeast"
"TFC6",0.10335,1.01815,"YES","yeast"
"ESC2",0.140025,0.879075,"NO","yeast"
"SEM1",0.039025,0.415925,"NO","yeast"
"PTH2",0.08325,0.794425,"YES","yeast"
"CDC40",0.0875,0.8513,"NO","yeast"
"ESF1",0.07585,0.9399,"NO","yeast"
"KEI1",0.063275,0.593825,"NO","yeast"
"YPR1",0.03395,0.8795,"YES","yeast"
"XRS2",0.277125,1.3364,"NO","yeast"
"DXO1",0.154175,0.61205,"NO","yeast"
"CTS2",0.1042,0.882175,"NO","yeast"
"VPS74",0.02195,0.590225,"NO","yeast"
"FRQ1",0.015175,1.1712,"YES","yeast"
"PHO92",0.083375,0.9553,"YES","yeast"
"PTC3",0.03565,0.7596,"YES","yeast"
"WIP1",0.079275,0.851325,"YES","yeast"
"BCS1",0.040225,0.82165,"NO","yeast"
"ARH1",0.075525,0.84855,"NO","yeast"
"ATP17",0.0245,0.508375,"YES","yeast"
"LSM6",0.0246,1.059875,"NO","yeast"
"RGA2",0.12325,0.9274,"NO","yeast"
"SDH6",0.042025,0.758425,"YES","yeast"
"ARO10",0.07065,0.813575,"NO","yeast"
"YRA1",0.038425,0.5373,"NO","yeast"
"YDR381C-A",0.1066,0.9035,"NO","yeast"
"RPP2B",0.02065,0.09805,"NO","yeast"
"NKP1",0.11025,0.84445,"YES","yeast"
"ATO3",0.029275,0.954125,"NO","yeast"
"MUS81",0.09315,0.972175,"NO","yeast"
"YDR387C",0.057675,0.735175,"NO","yeast"
"RVS167",0.034725,0.76915,"YES","yeast"
"SAC7",0.04365,0.90185,"YES","yeast"
"UBA2",0.10135,1.5017,"NO","yeast"
"YDR391C",0.120925,1.02845,"NO","yeast"
"SPT3",0.0154,2.0801,"NO","yeast"
"TOD6",0.08595,0.740175,"NO","yeast"
"SHE9",0.100375,0.5918,"YES","yeast"
"RPT3",0.009125,0.4435,"YES","yeast"
"SXM1",0.02375,0.5949,"NO","yeast"
"NCB2",0.0027,0.6551,"NO","yeast"
"UTP5",0.059,0.70145,"NO","yeast"
"HPT1",0.014675,0.666025,"NO","yeast"
"URH1",0.069275,0.815925,"NO","yeast"
"DIT2",0.0823,1.072825,"NO","yeast"
"DIT1",0.056575,0.873775,"YES","yeast"
"RPB7",0.000675,0.5037,"YES","yeast"
"SAS3",0.16065,0.9653,"NO","yeast"
"MRP20",0.07785,0.8861,"YES","yeast"
"PDR15",0.032375,0.794025,"YES","yeast"
"TRS120",0.082,0.78795,"YES","yeast"
"ADE8",0.041575,0.71305,"YES","yeast"
"SIZ1",0.126,0.897975,"NO","yeast"
"STE14",0.100975,0.754825,"NO","yeast"
"DFM1",0.095125,0.582575,"YES","yeast"
"RRP17",0.06415,0.47925,"YES","yeast"
"ERD1",0.107275,0.6338,"YES","yeast"
"YDR415C",0.086675,0.9937,"NO","yeast"
"PIN4",0.061825,0.85625,"NO","yeast"
"SYF1",0.135775,0.77455,"NO","yeast"
"RPL12B",0.004125,0.178175,"NO","yeast"
"RAD30",0.083925,0.8462,"NO","yeast"
"HKR1",0.27695,0.7189,"NO","yeast"
"ARO80",0.095475,1.132275,"NO","yeast"
"SIP1",0.098225,0.777325,"NO","yeast"
"CAD1",0.198175,0.634675,"NO","yeast"
"DYN2",0.025,0.714025,"NO","yeast"
"SNX41",0.07095,0.709125,"NO","yeast"
"RPN9",0.0328,0.7176,"NO","yeast"
"SEC17",0.01655,1.202675,"NO","yeast"
"BNA7",0.09825,0.78525,"NO","yeast"
"TIF35",0.020375,0.494775,"NO","yeast"
"CYM1",0.058175,0.9672,"YES","yeast"
"NPL3",0.018225,0.271875,"YES","yeast"
"GPI17",0.046525,0.701275,"YES","yeast"
"PPM1",0.0974,0.76905,"YES","yeast"
"PPZ2",0.066825,0.724575,"NO","yeast"
"GPI19",0.062025,0.747125,"NO","yeast"
"THI74",0.1254,0.584475,"NO","yeast"
"LRS4",0.149875,0.72135,"NO","yeast"
"MOH1",0.0083,0.588725,"NO","yeast"
"DOT1",0.13085,0.816025,"NO","yeast"
"APT2",0.07805,0.8214,"YES","yeast"
"SSN2",0.052875,1.017225,"YES","yeast"
"YDR444W",0.07085,0.772025,"NO","yeast"
"ECM11",0.1261,0.908725,"NO","yeast"
"RPS17B",0.007275,0.1857,"NO","yeast"
"ADA2",0.022375,1.3382,"NO","yeast"
"UTP6",0.043475,0.715875,"NO","yeast"
"RPS18A",0.0062,0.1529,"NO","yeast"
"YHP1",0.11055,0.74375,"NO","yeast"
"EDE1",0.072575,0.936275,"NO","yeast"
"PPN1",0.090325,0.75135,"YES","yeast"
"TSA2",0.12315,0.697625,"YES","yeast"
"GUK1",0.03635,0.826,"YES","yeast"
"NHX1",0.02885,0.75325,"YES","yeast"
"TOM1",0.03935,0.83215,"YES","yeast"
"HEH2",0.1757,0.9179,"NO","yeast"
"PFA5",0.132575,0.76225,"YES","yeast"
"TFB3",0.0165,0.64535,"NO","yeast"
"MFA1",0.07175,0.588175,"YES","yeast"
"YDR461C-A",0.180225,0.5765,"YES","yeast"
"PSY4",0.123275,0.79345,"YES","yeast"
"AIM2",0.078725,0.755775,"NO","yeast"
"MRPL28",0.0661,0.832425,"YES","yeast"
"STP1",0.09475,0.859525,"YES","yeast"
"SPP41",0.13045,0.774325,"YES","yeast"
"RMT2",0.081275,0.63875,"YES","yeast"
"PKH3",0.12235,0.790525,"YES","yeast"
"TLG1",0.0482,0.6847,"NO","yeast"
"SDC1",0.214125,0.57005,"NO","yeast"
"UGO1",0.0618,0.61015,"NO","yeast"
"RPL27B",0.004775,0.344225,"NO","yeast"
"TRS31",0.056675,1.085675,"NO","yeast"
"COR1",0.040325,0.720475,"NO","yeast"
"PRP3",0.13065,0.977325,"NO","yeast"
"JIP4",0.113625,1.1874,"NO","yeast"
"YDR476C",0.0641,1.05605,"NO","yeast"
"SNF1",0.02325,0.894875,"NO","yeast"
"SNM1",0.201675,0.8127,"NO","yeast"
"PEX29",0.066875,0.833275,"NO","yeast"
"DIG2",0.1796,0.689475,"YES","yeast"
"PHO8",0.062675,0.6859,"YES","yeast"
"CWC21",0.08965,0.472225,"YES","yeast"
"KRE2",0.0901,0.817425,"YES","yeast"
"YBL044W",0.5251,0.721025,"NO","yeast"
"VPS52",0.070025,0.8471,"YES","yeast"
"VPS72",0.178525,0.863275,"YES","yeast"
"VPS60",0.024275,0.56015,"YES","yeast"
"RIB3",0.02215,0.765275,"YES","yeast"
"PAC11",0.13685,0.909375,"YES","yeast"
"SLD5",0.042025,0.732275,"YES","yeast"
"PKH1",0.112725,0.68,"YES","yeast"
"YDR491C",0.21275,0.16475,"NO","yeast"
"IZH1",0.035675,0.663525,"YES","yeast"
"MZM1",0.07685,0.668925,"YES","yeast"
"ECM13",0.1658,0.74625,"NO","yeast"
"RSM28",0.1189,0.8714,"NO","yeast"
"VPS3",0.154133333333,1.2025,"NO","yeast"
"PUF6",0.045325,0.784275,"NO","yeast"
"ITR1",0.033075,0.683475,"YES","yeast"
"SEC20",0.1172,0.710575,"NO","yeast"
"LCD1",0.0812,0.83355,"NO","yeast"
"RPL37B",0.025,0.1732,"NO","yeast"
"PLM2",0.157425,0.88345,"NO","yeast"
"SAM2",0.0096,0.621425,"YES","yeast"
"LPP1",0.054125,0.748325,"NO","yeast"
"FUI1",0.065575,0.742375,"YES","yeast"
"PSP1",0.0878,0.74805,"NO","yeast"
"GMC1",0.1763,0.727075,"NO","yeast"
"GIN4",0.056325,0.875525,"NO","yeast"
"GNP1",0.03835,0.8214,"YES","yeast"
"SMT3",0.009175,0.559725,"YES","yeast"
"SDH7",0.0688,0.643475,"NO","yeast"
"EMI1",0.102575,1.01215,"NO","yeast"
"GRX2",0.018725,0.5631,"NO","yeast"
"YDR514C",0.097575,0.82245,"YES","yeast"
"SLF1",0.213975,0.7394,"YES","yeast"
"RIB1",0.05065,0.858425,"NO","yeast"
"EMI2",0.01035,0.8386,"NO","yeast"
"GRH1",0.0672,0.6628,"NO","yeast"
"EUG1",0.06985,0.659825,"NO","yeast"
"FPR2",0.064625,0.687475,"YES","yeast"
"URC2",0.1052,0.9025,"NO","yeast"
"SPS2",0.09135,0.7604,"NO","yeast"
"SPS1",0.0336,0.699825,"NO","yeast"
"AGE1",0.10085,0.59375,"NO","yeast"
"SNA2",0.032175,0.5559,"NO","yeast"
"RBA50",0.0879,1.0631,"NO","yeast"
"HEK2",0.04695,0.79185,"NO","yeast"
"HLR1",0.110175,0.77425,"NO","yeast"
"QCR7",0.0272,1.3166,"NO","yeast"
"APA2",0.173425,0.63735,"NO","yeast"
"CAB1",0.03025,0.52745,"NO","yeast"
"KRE28",0.121425,0.624525,"YES","yeast"
"HSP31",0.07515,0.9812,"YES","yeast"
"HPA3",0.085575,0.519425,"NO","yeast"
"SIT1",0.043375,0.770575,"YES","yeast"
"AVT2",0.051125,1.059175,"NO","yeast"
"CAN1",0.037175,0.769575,"NO","yeast"
"SHE1",0.09615,0.566075,"NO","yeast"
"NPR2",0.07075,0.844275,"NO","yeast"
"CIN8",0.052675,0.748675,"YES","yeast"
"PRB1",0.043225,0.622825,"YES","yeast"
"SOM1",0.076225,0.578625,"YES","yeast"
"PCM1",0.06685,0.74995,"YES","yeast"
"YEL057C",0.129875,0.664225,"NO","yeast"
"HAT2",0.062025,0.70345,"NO","yeast"
"POL5",0.0954,0.668025,"NO","yeast"
"RPL12A",0.00435,0.21035,"NO","yeast"
"MAK10",0.091175,0.663075,"NO","yeast"
"PET9",0.019675,0.284125,"YES","yeast"
"AFG1",0.043875,0.7906,"NO","yeast"
"VMA8",0.0108,0.38935,"YES","yeast"
"RML2",0.0359,0.720075,"NO","yeast"
"TCA17",0.108775,0.84855,"YES","yeast"
"FRD1",0.04125,0.83255,"YES","yeast"
"GLY1",0.0239,0.754975,"NO","yeast"
"IES6",0.05265,1.40515,"NO","yeast"
"YEL043W",0.07515,0.780825,"NO","yeast"
"GDA1",0.1117,1.032275,"NO","yeast"
"YEF1",0.099825,0.92115,"NO","yeast"
"YBL029C-A",0.039325,0.901175,"YES","yeast"
"UTR2",0.0664,0.71375,"NO","yeast"
"CYC7",0.02185,0.676025,"NO","yeast"
"UTR4",0.0884,1.01455,"YES","yeast"
"RAD23",0.04995,0.65405,"YES","yeast"
"ANP1",0.023675,0.8848,"NO","yeast"
"UTR5",0.393675,0.42345,"NO","yeast"
"HYP2",0.0186,0.244875,"NO","yeast"
"MCM3",0.02485,0.776725,"NO","yeast"
"SPF1",0.02325,0.6788,"NO","yeast"
"ECM10",0.106575,0.84085,"NO","yeast"
"YBL029W",0.0618,0.6276,"YES","yeast"
"GEM1",0.028875,0.6842,"NO","yeast"
"BUD16",0.044375,0.8359,"NO","yeast"
"VMA3",0,0.20865,"NO","yeast"
"SNU13",0.001875,0.2157,"NO","yeast"
"YEL025C",0.24265,0.7278,"NO","yeast"
"RIP1",0.01355,0.714425,"NO","yeast"
"YEL023C",0.0966,0.889525,"YES","yeast"
"GEA2",0.042675,0.71515,"YES","yeast"
"URA3",0.014225,1.140125,"YES","yeast"
"YEL020C",0.069575,0.8556,"NO","yeast"
"YBL028C",0.0628,0.585625,"NO","yeast"
"MMS21",0.093975,0.8616,"YES","yeast"
"EAF5",0.080125,0.71685,"YES","yeast"
"GTT3",0.088325,0.775725,"NO","yeast"
"NPP2",0.15485,0.70385,"NO","yeast"
"EDC3",0.038675,0.7562,"NO","yeast"
"VAC8",0.006175,0.671325,"NO","yeast"
"UBC8",0.0351,0.67665,"NO","yeast"
"GLC3",0.0203,1.068775,"NO","yeast"
"GCN4",0.05525,0.57945,"NO","yeast"
"RPL19B",0.001775,0.135625,"NO","yeast"
"YEL008W",0.121675,0.200075,"NO","yeast"
"MIT1",0.0444,0.660925,"NO","yeast"
"YEA6",0.0501,0.652425,"NO","yeast"
"VAB2",0.166625,0.776775,"YES","yeast"
"YEA4",0.12605,0.725625,"NO","yeast"
"GIM4",0.039275,0.80545,"NO","yeast"
"WBP1",0.06155,0.667475,"NO","yeast"
"IRC22",0.116125,0.57535,"NO","yeast"
"MNN1",0.108825,1.134475,"NO","yeast"
"NOP16",0.089125,0.729875,"NO","yeast"
"LSM2",0.00255,0.4711,"NO","yeast"
"PMI40",0.026325,0.58255,"NO","yeast"
"FMP52",0.073275,1.803325,"NO","yeast"
"YND1",0.0744,0.78545,"YES","yeast"
"NUG1",0.0333,0.5645,"NO","yeast"
"PAC2",0.190175,0.656525,"NO","yeast"
"TMA20",0.02395,0.6803,"NO","yeast"
"SEC3",0.079075,0.766725,"NO","yeast"
"NTF2",0.005575,0.6257,"NO","yeast"
"YER010C",0.074725,0.863625,"YES","yeast"
"TIR1",0.108825,0.436475,"NO","yeast"
"RRN10",0.05815,0.92055,"NO","yeast"
"TIR1",0.08285,0.710425,"NO","yeast"
"PRE1",0.018425,0.576475,"NO","yeast"
"PRP22",0.060175,0.96415,"YES","yeast"
"HEM14",0.0829,0.7594,"NO","yeast"
"FAA2",0.05355,0.782075,"NO","yeast"
"BIM1",0.068925,0.7531,"NO","yeast"
"AFG3",0.036975,1.24235,"NO","yeast"
"SPC25",0.0923,0.633025,"NO","yeast"
"ISC1",0.0389,1.16215,"NO","yeast"
"SBH2",0.027425,0.51315,"NO","yeast"
"NCL1",0.020875,0.645,"YES","yeast"
"GPA2",0.06325,0.84625,"YES","yeast"
"RPN3",0.0373,0.646075,"YES","yeast"
"SRB4",0.076475,0.836475,"YES","yeast"
"PRO3",0.020075,0.5681,"YES","yeast"
"YAT2",0.0484,0.830125,"YES","yeast"
"GCD11",0.00895,0.67395,"NO","yeast"
"CHO1",0.0253,0.7688,"NO","yeast"
"GAL83",0.0508,0.73205,"NO","yeast"
"MIG3",0.2647,0.757575,"YES","yeast"
"SMB1",0.0636,0.9258,"NO","yeast"
"MCM2",0.01495,1.13125,"YES","yeast"
"CHZ1",0.1284,0.6921,"YES","yeast"
"YPT31",0.010925,0.5486,"NO","yeast"
"FIR1",0.17335,0.846975,"NO","yeast"
"ZRG8",0.162575,0.939475,"NO","yeast"
"YER034W",0.196675,0.6393,"YES","yeast"
"EDC2",0.166025,0.62965,"YES","yeast"
"ARB1",0.009425,0.4114,"YES","yeast"
"PHM8",0.059475,0.7424,"YES","yeast"
"KRE29",0.1579,0.6839,"NO","yeast"
"HVG1",0.092225,1.19565,"NO","yeast"
"PIM1",0.045075,0.702875,"YES","yeast"
"GLN3",0.061625,0.62425,"NO","yeast"
"YEN1",0.1435,0.94135,"NO","yeast"
"MXR1",0.0416,1.250825,"NO","yeast"
"SAH1",0.01175,0.350925,"YES","yeast"
"ERG28",0.02395,0.282275,"NO","yeast"
"MEI4",0.1632,0.6052,"NO","yeast"
"ACA1",0.230675,0.884725,"NO","yeast"
"SPO73",0.067425,1.204975,"NO","yeast"
"SAP1",0.115025,0.8672,"NO","yeast"
"CAJ1",0.0303,0.843675,"NO","yeast"
"HAP3",0.01935,1.04395,"YES","yeast"
"ISD11",0.048375,0.7886,"NO","yeast"
"TPA1",0.035925,0.722075,"YES","yeast"
"RSM18",0.066825,0.690625,"YES","yeast"
"JHD1",0.131375,0.8144,"YES","yeast"
"HOM3",0.01395,0.692475,"YES","yeast"
"PIC2",0.016025,0.8165,"NO","yeast"
"YER053C-A",0.013,0.313575,"NO","yeast"
"GIP2",0.1005,0.72905,"NO","yeast"
"HIS1",0.033825,0.803075,"YES","yeast"
"FCY2",0.030175,0.61185,"NO","yeast"
"RFT1",0.036325,0.576975,"YES","yeast"
"RPL34A",0.00865,0.176175,"NO","yeast"
"HMF1",0.040675,0.4725,"NO","yeast"
"PET117",0.057975,0.54865,"NO","yeast"
"PCL6",0.077275,0.7387,"YES","yeast"
"FCY2",0.036475,1.19025,"NO","yeast"
"FCY21",0.0615,1.019625,"YES","yeast"
"CEM1",0.0652,0.983825,"NO","yeast"
"GPP2",0.009475,1.3074,"YES","yeast"
"THO1",0.137525,0.764175,"YES","yeast"
"VHR2",0.1513,0.82805,"YES","yeast"
"PEP1",0.168375,0.873125,"NO","yeast"
"SPC72",0.1202,0.60945,"NO","yeast"
"ICL1",0.0192,0.758325,"NO","yeast"
"RGI1",0.03035,1.393425,"NO","yeast"
"MOT2",0.04095,0.744325,"NO","yeast"
"ARG5,6",0.044775,0.8439,"NO","yeast"
"RNR1",0.0167,0.649275,"YES","yeast"
"TDA2",0.165975,0.577,"YES","yeast"
"VTC1",0.0047,0.510625,"YES","yeast"
"ALD5",0.033825,0.6928,"NO","yeast"
"RPS24A",0.005175,0.108025,"NO","yeast"
"FUS3",0.0271,1.179425,"YES","yeast"
"YOS1",0.02455,0.650875,"NO","yeast"
"PTP3",0.07705,0.729325,"NO","yeast"
"YER077C",0.10885,0.660125,"NO","yeast"
"ICP55",0.052775,0.76615,"NO","yeast"
"YER079W",0.0746,0.738625,"NO","yeast"
"AIM9",0.060975,0.791725,"NO","yeast"
"SER3",0.014375,0.6857,"NO","yeast"
"UTP7",0.038025,0.89485,"YES","yeast"
"GET2",0.075125,0.684,"NO","yeast"
"YER084W",0.35635,0.634425,"NO","yeast"
"ACH1",0.00765,0.87485,"NO","yeast"
"ILV1",0.01215,0.6089,"YES","yeast"
"AIM10",0.07105,1.57505,"YES","yeast"
"SBH1",0.025225,0.417325,"YES","yeast"
"DOT6",0.098875,0.62975,"NO","yeast"
"PTC2",0.031425,0.7724,"NO","yeast"
"TRP2",0.025625,1.2261,"NO","yeast"
"MET6",0.013275,0.343725,"YES","yeast"
"YER091C-A",0.06825,0.05975,"NO","yeast"
"IES5",0.103925,0.826825,"YES","yeast"
"TSC11",0.043925,0.8004,"NO","yeast"
"RRN6",0.11695,0.748275,"NO","yeast"
"AIM11",0.101,0.718625,"NO","yeast"
"PUP3",0.007925,0.563475,"NO","yeast"
"RAD51",0.028175,0.7557,"YES","yeast"
"SHC1",0.141775,0.80725,"NO","yeast"
"UBP9",0.1181,1.20245,"NO","yeast"
"PRS2",0.01415,1.018525,"YES","yeast"
"UBC6",0.0412,0.816325,"YES","yeast"
"AST2",0.058775,1.060375,"NO","yeast"
"RPS8B",0.007925,0.216025,"YES","yeast"
"SSA4",0.01705,1.05865,"NO","yeast"
"FMT1",0.118175,1.0986,"YES","yeast"
"RTT105",0.172325,0.8236,"YES","yeast"
"NUP157",0.14505,0.82855,"NO","yeast"
"MAM1",0.22695,0.7917,"NO","yeast"
"GLE2",0.022425,0.8449,"NO","yeast"
"KAP123",0.0142,0.72345,"YES","yeast"
"SWI4",0.072,0.672775,"YES","yeast"
"LSM4",0.06995,0.42185,"NO","yeast"
"TMN3",0.07815,0.609175,"NO","yeast"
"BOI2",0.0936,0.862825,"NO","yeast"
"SCT1",0.04745,0.681025,"YES","yeast"
"SPR6",0.132875,0.895075,"YES","yeast"
"SLX8",0.20175,0.761475,"NO","yeast"
"RPL23B",0.0017,0.149375,"YES","yeast"
"SHO1",0.03445,0.759775,"NO","yeast"
"AVT6",0.0682,0.798975,"YES","yeast"
"SCS2",0.057675,0.32575,"NO","yeast"
"GLO3",0.04595,0.81715,"NO","yeast"
"YCK3",0.02985,0.692325,"YES","yeast"
"DSE1",0.0982,0.747325,"YES","yeast"
"RSP5",0.011725,0.837925,"YES","yeast"
"YBL010C",0.10645,0.5612,"NO","yeast"
"NSA2",0.005075,0.5103,"YES","yeast"
"LCP5",0.06275,0.74315,"YES","yeast"
"VFA1",0.107375,0.607625,"NO","yeast"
"SAK1",0.1008,1.1135,"NO","yeast"
"COM2",0.10845,0.783425,"NO","yeast"
"RPS26B",0.007,0.295425,"NO","yeast"
"PMD1",0.09905,0.868875,"NO","yeast"
"GLC7",0.000375,0.3175,"NO","yeast"
"GDI1",0.00685,0.83295,"NO","yeast"
"YER137C",0.169725,0.8113,"NO","yeast"
"ALK2",0.12165,0.74885,"NO","yeast"
"RTR1",0.030825,0.59655,"NO","yeast"
"EMP65",0.081175,0.694,"NO","yeast"
"COX15",0.040725,0.68355,"YES","yeast"
"MAG1",0.1013,1.050525,"YES","yeast"
"DDI1",0.062175,0.907575,"YES","yeast"
"UBP5",0.131875,0.896325,"YES","yeast"
"FTR1",0.024475,0.5833,"NO","yeast"
"LSM5",0.02285,0.455025,"NO","yeast"
"SCC4",0.087675,0.7638,"NO","yeast"
"SPT15",0.003275,0.553675,"NO","yeast"
"HIR1",0.076325,0.954275,"NO","yeast"
"PEA2",0.098125,0.94005,"YES","yeast"
"SPI1",0.086075,0.6871,"NO","yeast"
"UBP3",0.086475,0.90855,"NO","yeast"
"YER152C",0.07105,1.075175,"NO","yeast"
"PET122",0.086175,0.706525,"NO","yeast"
"OXA1",0.032125,0.946675,"NO","yeast"
"BEM2",0.06685,0.8045,"NO","yeast"
"YER156C",0.03615,0.761425,"YES","yeast"
"COG3",0.089425,0.798825,"NO","yeast"
"YER158C",0.125375,0.71015,"NO","yeast"
"SLA1",0.05605,0.741825,"NO","yeast"
"BUR6",0.096025,0.756475,"NO","yeast"
"SPT2",0.06935,0.6853,"NO","yeast"
"RAD4",0.09335,0.86605,"NO","yeast"
"GCG1",0.081025,1.104325,"NO","yeast"
"CHD1",0.03905,0.794425,"NO","yeast"
"PAB1",0.007175,0.305525,"NO","yeast"
"DNF1",0.035175,0.694175,"NO","yeast"
"BCK2",0.069725,0.736775,"NO","yeast"
"CCA1",0.060475,0.72405,"YES","yeast"
"RPH1",0.054325,0.746925,"NO","yeast"
"LDB7",0.09215,0.891725,"NO","yeast"
"AIM1",0.08065,0.47795,"NO","yeast"
"ADK2",0.0738,0.7395,"NO","yeast"
"RAD3",0.00725,0.771525,"NO","yeast"
"BRR2",0.088025,0.8575,"YES","yeast"
"RAD24",0.121025,0.88615,"YES","yeast"
"GRX4",0.06265,0.8058,"YES","yeast"
"TMT1",0.08805,0.99585,"NO","yeast"
"ECM32",0.094725,0.678125,"NO","yeast"
"BMH1",0.006425,0.4442,"NO","yeast"
"PDA1",0.01325,0.7121,"NO","yeast"
"DMC1",0.010125,0.874075,"NO","yeast"
"PDR3",0.101525,1.13655,"NO","yeast"
