"evalue","species","speciesShort","found","total","div","tag"
1e-06,"Zygosaccharomyces_rouxii","Zrou",9,5997,97,"yeast"
1e-06,"Eremothecium_gossypii","Egos",4,5997,112,"yeast"
1e-06,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-06,"Tetrapisispora_phaffii","Tpha",7,5997,93,"yeast"
1e-06,"Kazachstania_africana","Kafr",4,5997,85,"yeast"
1e-05,"Kazachstania_naganishii","Knag",7,5997,85,"yeast"
1e-05,"Naumovozyma_castellii","Ncas",2,5997,66,"yeast"
1e-05,"Kluyveromyces_lactis","Klac",5,5997,112,"yeast"
1e-05,"Vanderwaltozyma_polyspora","Vpol",18,5997,93,"yeast"
1e-05,"Lachancea_thermotolerans","Lthe",6,5997,112,"yeast"
1e-05,"Naumovozyma_dairenensis","Ndai",1,5997,66,"yeast"
1e-05,"Saccharomyces_arboricola","Sarb",2,5997,15,"yeast"
1e-05,"Torulaspora_delbrueckii","Tdel",2,5997,97,"yeast"
1e-05,"Eremothecium_cymbalariae","Ecym",6,5997,112,"yeast"
1e-05,"Ashbya_aceri","Aace",1,5997,112,"yeast"
1e-05,"Candida_glabrata","Cgla",3,5997,97,"yeast"
1e-05,"Tetrapisispora_blattae","Tbla",13,5997,93,"yeast"
1e-05,"Zygosaccharomyces_rouxii","Zrou",10,5997,97,"yeast"
1e-05,"Eremothecium_gossypii","Egos",5,5997,112,"yeast"
1e-05,"Saccharomyces_kudriavzevii","Skud",1,5997,10,"yeast"
1e-05,"Tetrapisispora_phaffii","Tpha",10,5997,93,"yeast"
1e-05,"Kazachstania_africana","Kafr",8,5997,85,"yeast"
1e-12,"Kazachstania_naganishii","Knag",1,5997,85,"yeast"
1e-12,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-12,"Kluyveromyces_lactis","Klac",1,5997,112,"yeast"
1e-12,"Vanderwaltozyma_polyspora","Vpol",5,5997,93,"yeast"
1e-12,"Lachancea_thermotolerans","Lthe",1,5997,112,"yeast"
1e-12,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-12,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-12,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-12,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-12,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-12,"Candida_glabrata","Cgla",1,5997,97,"yeast"
1e-12,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-12,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-12,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-12,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-12,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-12,"Kazachstania_africana","Kafr",1,5997,85,"yeast"
1e-24,"Kazachstania_naganishii","Knag",0,5997,85,"yeast"
1e-24,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-24,"Kluyveromyces_lactis","Klac",0,5997,112,"yeast"
1e-24,"Vanderwaltozyma_polyspora","Vpol",0,5997,93,"yeast"
1e-24,"Lachancea_thermotolerans","Lthe",0,5997,112,"yeast"
1e-24,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-24,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-24,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-24,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-24,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-24,"Candida_glabrata","Cgla",0,5997,97,"yeast"
1e-24,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-24,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-24,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-24,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-24,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-24,"Kazachstania_africana","Kafr",0,5997,85,"yeast"
0.1,"Kazachstania_naganishii","Knag",608,5997,85,"yeast"
0.1,"Naumovozyma_castellii","Ncas",603,5997,66,"yeast"
0.1,"Kluyveromyces_lactis","Klac",588,5997,112,"yeast"
0.1,"Vanderwaltozyma_polyspora","Vpol",616,5997,93,"yeast"
0.1,"Lachancea_thermotolerans","Lthe",584,5997,112,"yeast"
0.1,"Naumovozyma_dairenensis","Ndai",529,5997,66,"yeast"
0.1,"Saccharomyces_arboricola","Sarb",569,5997,15,"yeast"
0.1,"Torulaspora_delbrueckii","Tdel",564,5997,97,"yeast"
0.1,"Eremothecium_cymbalariae","Ecym",604,5997,112,"yeast"
0.1,"Ashbya_aceri","Aace",564,5997,112,"yeast"
0.1,"Candida_glabrata","Cgla",585,5997,97,"yeast"
0.1,"Tetrapisispora_blattae","Tbla",592,5997,93,"yeast"
0.1,"Zygosaccharomyces_rouxii","Zrou",601,5997,97,"yeast"
0.1,"Eremothecium_gossypii","Egos",574,5997,112,"yeast"
0.1,"Saccharomyces_kudriavzevii","Skud",563,5997,10,"yeast"
0.1,"Tetrapisispora_phaffii","Tpha",600,5997,93,"yeast"
0.1,"Kazachstania_africana","Kafr",586,5997,85,"yeast"
1e-10,"Kazachstania_naganishii","Knag",2,5997,85,"yeast"
1e-10,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-10,"Kluyveromyces_lactis","Klac",1,5997,112,"yeast"
1e-10,"Vanderwaltozyma_polyspora","Vpol",14,5997,93,"yeast"
1e-10,"Lachancea_thermotolerans","Lthe",1,5997,112,"yeast"
1e-10,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-10,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-10,"Torulaspora_delbrueckii","Tdel",1,5997,97,"yeast"
1e-10,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-10,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-10,"Candida_glabrata","Cgla",1,5997,97,"yeast"
1e-10,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-10,"Zygosaccharomyces_rouxii","Zrou",1,5997,97,"yeast"
1e-10,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-10,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-10,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-10,"Kazachstania_africana","Kafr",3,5997,85,"yeast"
1e-08,"Kazachstania_naganishii","Knag",2,5997,85,"yeast"
1e-08,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-08,"Kluyveromyces_lactis","Klac",1,5997,112,"yeast"
1e-08,"Vanderwaltozyma_polyspora","Vpol",15,5997,93,"yeast"
1e-08,"Lachancea_thermotolerans","Lthe",1,5997,112,"yeast"
1e-08,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-08,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-08,"Torulaspora_delbrueckii","Tdel",1,5997,97,"yeast"
1e-08,"Eremothecium_cymbalariae","Ecym",1,5997,112,"yeast"
1e-08,"Ashbya_aceri","Aace",1,5997,112,"yeast"
1e-08,"Candida_glabrata","Cgla",1,5997,97,"yeast"
1e-08,"Tetrapisispora_blattae","Tbla",1,5997,93,"yeast"
1e-08,"Zygosaccharomyces_rouxii","Zrou",9,5997,97,"yeast"
1e-08,"Eremothecium_gossypii","Egos",1,5997,112,"yeast"
1e-08,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-08,"Tetrapisispora_phaffii","Tpha",1,5997,93,"yeast"
1e-08,"Kazachstania_africana","Kafr",4,5997,85,"yeast"
1e-07,"Kazachstania_naganishii","Knag",4,5997,85,"yeast"
1e-07,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-07,"Kluyveromyces_lactis","Klac",1,5997,112,"yeast"
1e-07,"Vanderwaltozyma_polyspora","Vpol",15,5997,93,"yeast"
1e-07,"Lachancea_thermotolerans","Lthe",1,5997,112,"yeast"
1e-07,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-07,"Saccharomyces_arboricola","Sarb",2,5997,15,"yeast"
1e-07,"Torulaspora_delbrueckii","Tdel",2,5997,97,"yeast"
1e-07,"Eremothecium_cymbalariae","Ecym",1,5997,112,"yeast"
1e-07,"Ashbya_aceri","Aace",1,5997,112,"yeast"
1e-07,"Candida_glabrata","Cgla",3,5997,97,"yeast"
1e-07,"Tetrapisispora_blattae","Tbla",3,5997,93,"yeast"
1e-07,"Zygosaccharomyces_rouxii","Zrou",9,5997,97,"yeast"
1e-07,"Eremothecium_gossypii","Egos",2,5997,112,"yeast"
1e-07,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-07,"Tetrapisispora_phaffii","Tpha",1,5997,93,"yeast"
1e-07,"Kazachstania_africana","Kafr",4,5997,85,"yeast"
0.001,"Kazachstania_naganishii","Knag",27,5997,85,"yeast"
0.001,"Naumovozyma_castellii","Ncas",28,5997,66,"yeast"
0.001,"Kluyveromyces_lactis","Klac",18,5997,112,"yeast"
0.001,"Vanderwaltozyma_polyspora","Vpol",34,5997,93,"yeast"
0.001,"Lachancea_thermotolerans","Lthe",22,5997,112,"yeast"
0.001,"Naumovozyma_dairenensis","Ndai",15,5997,66,"yeast"
0.001,"Saccharomyces_arboricola","Sarb",31,5997,15,"yeast"
0.001,"Torulaspora_delbrueckii","Tdel",22,5997,97,"yeast"
0.001,"Eremothecium_cymbalariae","Ecym",26,5997,112,"yeast"
0.001,"Ashbya_aceri","Aace",18,5997,112,"yeast"
0.001,"Candida_glabrata","Cgla",21,5997,97,"yeast"
0.001,"Tetrapisispora_blattae","Tbla",39,5997,93,"yeast"
0.001,"Zygosaccharomyces_rouxii","Zrou",39,5997,97,"yeast"
0.001,"Eremothecium_gossypii","Egos",26,5997,112,"yeast"
0.001,"Saccharomyces_kudriavzevii","Skud",26,5997,10,"yeast"
0.001,"Tetrapisispora_phaffii","Tpha",30,5997,93,"yeast"
0.001,"Kazachstania_africana","Kafr",44,5997,85,"yeast"
1e-04,"Kazachstania_naganishii","Knag",7,5997,85,"yeast"
1e-04,"Naumovozyma_castellii","Ncas",5,5997,66,"yeast"
1e-04,"Kluyveromyces_lactis","Klac",6,5997,112,"yeast"
1e-04,"Vanderwaltozyma_polyspora","Vpol",20,5997,93,"yeast"
1e-04,"Lachancea_thermotolerans","Lthe",8,5997,112,"yeast"
1e-04,"Naumovozyma_dairenensis","Ndai",2,5997,66,"yeast"
1e-04,"Saccharomyces_arboricola","Sarb",5,5997,15,"yeast"
1e-04,"Torulaspora_delbrueckii","Tdel",5,5997,97,"yeast"
1e-04,"Eremothecium_cymbalariae","Ecym",8,5997,112,"yeast"
1e-04,"Ashbya_aceri","Aace",4,5997,112,"yeast"
1e-04,"Candida_glabrata","Cgla",7,5997,97,"yeast"
1e-04,"Tetrapisispora_blattae","Tbla",19,5997,93,"yeast"
1e-04,"Zygosaccharomyces_rouxii","Zrou",16,5997,97,"yeast"
1e-04,"Eremothecium_gossypii","Egos",12,5997,112,"yeast"
1e-04,"Saccharomyces_kudriavzevii","Skud",8,5997,10,"yeast"
1e-04,"Tetrapisispora_phaffii","Tpha",13,5997,93,"yeast"
1e-04,"Kazachstania_africana","Kafr",14,5997,85,"yeast"
1e-20,"Kazachstania_naganishii","Knag",0,5997,85,"yeast"
1e-20,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-20,"Kluyveromyces_lactis","Klac",0,5997,112,"yeast"
1e-20,"Vanderwaltozyma_polyspora","Vpol",0,5997,93,"yeast"
1e-20,"Lachancea_thermotolerans","Lthe",0,5997,112,"yeast"
1e-20,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-20,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-20,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-20,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-20,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-20,"Candida_glabrata","Cgla",0,5997,97,"yeast"
1e-20,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-20,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-20,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-20,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-20,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-20,"Kazachstania_africana","Kafr",0,5997,85,"yeast"
1e-18,"Kazachstania_naganishii","Knag",0,5997,85,"yeast"
1e-18,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-18,"Kluyveromyces_lactis","Klac",0,5997,112,"yeast"
1e-18,"Vanderwaltozyma_polyspora","Vpol",0,5997,93,"yeast"
1e-18,"Lachancea_thermotolerans","Lthe",0,5997,112,"yeast"
1e-18,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-18,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-18,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-18,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-18,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-18,"Candida_glabrata","Cgla",0,5997,97,"yeast"
1e-18,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-18,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-18,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-18,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-18,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-18,"Kazachstania_africana","Kafr",0,5997,85,"yeast"
1e-26,"Kazachstania_naganishii","Knag",0,5997,85,"yeast"
1e-26,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-26,"Kluyveromyces_lactis","Klac",0,5997,112,"yeast"
1e-26,"Vanderwaltozyma_polyspora","Vpol",0,5997,93,"yeast"
1e-26,"Lachancea_thermotolerans","Lthe",0,5997,112,"yeast"
1e-26,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-26,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-26,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-26,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-26,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-26,"Candida_glabrata","Cgla",0,5997,97,"yeast"
1e-26,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-26,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-26,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-26,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-26,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-26,"Kazachstania_africana","Kafr",0,5997,85,"yeast"
1e-28,"Kazachstania_naganishii","Knag",0,5997,85,"yeast"
1e-28,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-28,"Kluyveromyces_lactis","Klac",0,5997,112,"yeast"
1e-28,"Vanderwaltozyma_polyspora","Vpol",0,5997,93,"yeast"
1e-28,"Lachancea_thermotolerans","Lthe",0,5997,112,"yeast"
1e-28,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-28,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-28,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-28,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-28,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-28,"Candida_glabrata","Cgla",0,5997,97,"yeast"
1e-28,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-28,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-28,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-28,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-28,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-28,"Kazachstania_africana","Kafr",0,5997,85,"yeast"
1e-14,"Kazachstania_naganishii","Knag",1,5997,85,"yeast"
1e-14,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-14,"Kluyveromyces_lactis","Klac",0,5997,112,"yeast"
1e-14,"Vanderwaltozyma_polyspora","Vpol",2,5997,93,"yeast"
1e-14,"Lachancea_thermotolerans","Lthe",0,5997,112,"yeast"
1e-14,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-14,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-14,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-14,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-14,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-14,"Candida_glabrata","Cgla",0,5997,97,"yeast"
1e-14,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-14,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-14,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-14,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-14,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-14,"Kazachstania_africana","Kafr",0,5997,85,"yeast"
1e-22,"Kazachstania_naganishii","Knag",0,5997,85,"yeast"
1e-22,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-22,"Kluyveromyces_lactis","Klac",0,5997,112,"yeast"
1e-22,"Vanderwaltozyma_polyspora","Vpol",0,5997,93,"yeast"
1e-22,"Lachancea_thermotolerans","Lthe",0,5997,112,"yeast"
1e-22,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-22,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-22,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-22,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-22,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-22,"Candida_glabrata","Cgla",0,5997,97,"yeast"
1e-22,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-22,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-22,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-22,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-22,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-22,"Kazachstania_africana","Kafr",0,5997,85,"yeast"
0.01,"Kazachstania_naganishii","Knag",96,5997,85,"yeast"
0.01,"Naumovozyma_castellii","Ncas",92,5997,66,"yeast"
0.01,"Kluyveromyces_lactis","Klac",89,5997,112,"yeast"
0.01,"Vanderwaltozyma_polyspora","Vpol",93,5997,93,"yeast"
0.01,"Lachancea_thermotolerans","Lthe",99,5997,112,"yeast"
0.01,"Naumovozyma_dairenensis","Ndai",81,5997,66,"yeast"
0.01,"Saccharomyces_arboricola","Sarb",103,5997,15,"yeast"
0.01,"Torulaspora_delbrueckii","Tdel",78,5997,97,"yeast"
0.01,"Eremothecium_cymbalariae","Ecym",101,5997,112,"yeast"
0.01,"Ashbya_aceri","Aace",82,5997,112,"yeast"
0.01,"Candida_glabrata","Cgla",86,5997,97,"yeast"
0.01,"Tetrapisispora_blattae","Tbla",104,5997,93,"yeast"
0.01,"Zygosaccharomyces_rouxii","Zrou",107,5997,97,"yeast"
0.01,"Eremothecium_gossypii","Egos",90,5997,112,"yeast"
0.01,"Saccharomyces_kudriavzevii","Skud",91,5997,10,"yeast"
0.01,"Tetrapisispora_phaffii","Tpha",96,5997,93,"yeast"
0.01,"Kazachstania_africana","Kafr",102,5997,85,"yeast"
1e-16,"Kazachstania_naganishii","Knag",0,5997,85,"yeast"
1e-16,"Naumovozyma_castellii","Ncas",0,5997,66,"yeast"
1e-16,"Kluyveromyces_lactis","Klac",0,5997,112,"yeast"
1e-16,"Vanderwaltozyma_polyspora","Vpol",1,5997,93,"yeast"
1e-16,"Lachancea_thermotolerans","Lthe",0,5997,112,"yeast"
1e-16,"Naumovozyma_dairenensis","Ndai",0,5997,66,"yeast"
1e-16,"Saccharomyces_arboricola","Sarb",0,5997,15,"yeast"
1e-16,"Torulaspora_delbrueckii","Tdel",0,5997,97,"yeast"
1e-16,"Eremothecium_cymbalariae","Ecym",0,5997,112,"yeast"
1e-16,"Ashbya_aceri","Aace",0,5997,112,"yeast"
1e-16,"Candida_glabrata","Cgla",0,5997,97,"yeast"
1e-16,"Tetrapisispora_blattae","Tbla",0,5997,93,"yeast"
1e-16,"Zygosaccharomyces_rouxii","Zrou",0,5997,97,"yeast"
1e-16,"Eremothecium_gossypii","Egos",0,5997,112,"yeast"
1e-16,"Saccharomyces_kudriavzevii","Skud",0,5997,10,"yeast"
1e-16,"Tetrapisispora_phaffii","Tpha",0,5997,93,"yeast"
1e-16,"Kazachstania_africana","Kafr",0,5997,85,"yeast"
1e-09,"Drosophila_persimilis","Dper",25,13929,37,"fruitfly"
1e-09,"Drosophila_pseudoobscura","Dpse",38,13929,37,"fruitfly"
1e-09,"Drosophila_mojavensis","Dmoj",33,13929,50,"fruitfly"
1e-09,"Drosophila_ananassae","Dana",38,13929,34,"fruitfly"
1e-09,"Drosophila_erecta","Dere",35,13929,11.4,"fruitfly"
1e-09,"Caenorhabditis_elegans","Cele",21,13929,743,"fruitfly"
1e-09,"Drosophila_willistoni","Dwil",35,13929,50,"fruitfly"
1e-09,"Bombyx_mori","Bmor",37,13929,283,"fruitfly"
1e-09,"Anopheles_gambiae","Agam",18,13929,272,"fruitfly"
1e-09,"Drosophila_sechellia","Dsec",30,13929,5.9,"fruitfly"
1e-09,"Drosophila_simulans","Dsim",34,13929,5.9,"fruitfly"
1e-09,"Apis_mellifera","Amel",31,13929,325,"fruitfly"
1e-09,"Tribolium_castaneum","Tcas",30,13929,309,"fruitfly"
1e-09,"Drosophila_grimshawi","Dgri",34,13929,50,"fruitfly"
1e-09,"Drosophila_yakuba","Dyak",35,13929,11.4,"fruitfly"
1e-09,"Aedes_aegypti","Aaeg",18,13929,272,"fruitfly"
1e-09,"Drosophila_virilis","Dvir",27,13929,50,"fruitfly"
1,"Drosophila_persimilis","Dper",7191,13929,37,"fruitfly"
1,"Drosophila_pseudoobscura","Dpse",4916,13929,37,"fruitfly"
1,"Drosophila_mojavensis","Dmoj",5160,13929,50,"fruitfly"
1,"Drosophila_ananassae","Dana",5314,13929,34,"fruitfly"
1,"Drosophila_erecta","Dere",5579,13929,11.4,"fruitfly"
1,"Caenorhabditis_elegans","Cele",5434,13929,743,"fruitfly"
1,"Drosophila_willistoni","Dwil",5553,13929,50,"fruitfly"
1,"Bombyx_mori","Bmor",7643,13929,283,"fruitfly"
1,"Anopheles_gambiae","Agam",6861,13929,272,"fruitfly"
1,"Drosophila_sechellia","Dsec",7465,13929,5.9,"fruitfly"
1,"Drosophila_simulans","Dsim",5000,13929,5.9,"fruitfly"
1,"Apis_mellifera","Amel",4742,13929,325,"fruitfly"
1,"Tribolium_castaneum","Tcas",7034,13929,309,"fruitfly"
1,"Drosophila_grimshawi","Dgri",6856,13929,50,"fruitfly"
1,"Drosophila_yakuba","Dyak",4983,13929,11.4,"fruitfly"
1,"Aedes_aegypti","Aaeg",7136,13929,272,"fruitfly"
1,"Drosophila_virilis","Dvir",5289,13929,50,"fruitfly"
1e-06,"Drosophila_persimilis","Dper",51,13929,37,"fruitfly"
1e-06,"Drosophila_pseudoobscura","Dpse",74,13929,37,"fruitfly"
1e-06,"Drosophila_mojavensis","Dmoj",73,13929,50,"fruitfly"
1e-06,"Drosophila_ananassae","Dana",71,13929,34,"fruitfly"
1e-06,"Drosophila_erecta","Dere",68,13929,11.4,"fruitfly"
1e-06,"Caenorhabditis_elegans","Cele",52,13929,743,"fruitfly"
1e-06,"Drosophila_willistoni","Dwil",68,13929,50,"fruitfly"
1e-06,"Bombyx_mori","Bmor",83,13929,283,"fruitfly"
