"Gene_name","dN","dS","micro-synteny","dataset","dNdS"
"GCN2",0.02975,0.7957,"NO","yeast",0.0374
"DPP1",0.05785,0.8075,"NO","yeast",0.0716
"ZIP1",0.1292,0.65185,"YES","yeast",0.1982
"YDR286C",0.096825,0.736825,"YES","yeast",0.1314
"PRX1",0.020125,0.991075,"YES","yeast",0.0203
"INM2",0.072125,1.024875,"YES","yeast",0.0704
"NSE3",0.1085,0.75705,"YES","yeast",0.1433
"RTT103",0.08275,0.875775,"NO","yeast",0.0945
"HRQ1",0.053975,0.9945,"NO","yeast",0.0543
"SRP101",0.05305,0.912525,"NO","yeast",0.0581
"SSD1",0.0292,1.172825,"NO","yeast",0.0249
"DPL1",0.05555,0.720525,"NO","yeast",0.0771
"HDA2",0.114425,0.81305,"YES","yeast",0.1407
"MHR1",0.0648,0.85025,"YES","yeast",0.0762
"SUR2",0.031975,0.80005,"YES","yeast",0.04
"KIP1",0.108125,0.801,"YES","yeast",0.135
"ATP5",0.033325,0.56755,"YES","yeast",0.0587
"BFR2",0.0836,0.716875,"YES","yeast",0.1166
"PRO1",0.032775,0.740325,"YES","yeast",0.0443
"CFT1",0.042875,0.787,"YES","yeast",0.0545
"GPI11",0.038925,0.709475,"YES","yeast",0.0549
"RSC3",0.0787,0.741375,"YES","yeast",0.1062
"CPR5",0.0483,1.133075,"NO","yeast",0.0426
"HNT2",0.08365,1.029575,"NO","yeast",0.0812
"YDR306C",0.059975,0.5817,"NO","yeast",0.1031
"PMT7",0.13725,0.650575,"NO","yeast",0.211
"SKT5",0.091525,0.859975,"NO","yeast",0.1064
"SRB7",0.024125,0.67205,"NO","yeast",0.0359
"GIC2",0.108975,0.76205,"YES","yeast",0.143
"SUM1",0.104625,0.842725,"NO","yeast",0.1242
"TFB1",0.035,0.780325,"NO","yeast",0.0449
"SSF2",0.050125,1.2498,"NO","yeast",0.0401
"PIB1",0.102475,0.864925,"NO","yeast",0.1185
"RAD34",0.151025,0.73755,"YES","yeast",0.2048
"IPK1",0.150775,0.57,"YES","yeast",0.2645
"OMS1",0.08675,0.763775,"NO","yeast",0.1136
"HIM1",0.12935,1.0034,"NO","yeast",0.1289
"YEL1",0.140525,0.744425,"NO","yeast",0.1888
"MCM21",0.08035,0.853,"NO","yeast",0.0942
"YFT2",0.089075,0.612025,"NO","yeast",0.1455
"SWA2",0.169325,0.78405,"YES","yeast",0.216
"ASP1",0.03455,0.7295,"YES","yeast",0.0474
"MRPL35",0.084075,0.64725,"YES","yeast",0.1299
"TIM11",0.0659,0.609075,"YES","yeast",0.1082
"PEP7",0.091025,0.698125,"NO","yeast",0.1304
"UTP4",0.04315,0.781975,"NO","yeast",0.0552
"YCG1",0.0717,0.846525,"NO","yeast",0.0847
"CMC2",0.031175,0.7466,"NO","yeast",0.0418
"YSP2",0.0672,0.84885,"NO","yeast",0.0792
"SKP1",0.0139,0.5183,"NO","yeast",0.0268
"PEX3",0.083275,0.8869,"YES","yeast",0.0939
"UBX5",0.06775,0.844925,"YES","yeast",0.0802
"GPI8",0.062025,0.7968,"NO","yeast",0.0778
"IRC3",0.075825,1.01,"NO","yeast",0.0751
"RQC1",0.08625,1.02205,"NO","yeast",0.0844
"SWR1",0.0894,0.833375,"NO","yeast",0.1073
"MSN5",0.0149,0.62045,"NO","yeast",0.024
"YDR336W",0.173725,0.64045,"NO","yeast",0.2713
"YBL059W",0.145725,0.971075,"NO","yeast",0.1501
"MRPS28",0.045475,0.79335,"NO","yeast",0.0573
"YDR338C",0.030525,0.687725,"YES","yeast",0.0444
"FCF1",0.014375,0.705325,"NO","yeast",0.0204
"SVF1",0.0562,0.839275,"YES","yeast",0.067
"MRP1",0.068275,0.68695,"YES","yeast",0.0994
"PAL1",0.074,0.974375,"YES","yeast",0.0759
"YPS7",0.100475,0.85455,"NO","yeast",0.1176
"ATP22",0.1207,0.74355,"NO","yeast",0.1623
"SBE2",0.109625,0.7452,"YES","yeast",0.1471
"YPQ2",0.067825,0.83155,"YES","yeast",0.0816
"SHP1",0.0932,0.75195,"NO","yeast",0.1239
"OAF1",0.052075,0.861825,"NO","yeast",0.0604
"TRR1",0.025875,0.528325,"YES","yeast",0.049
"TRP4",0.066475,0.919475,"YES","yeast",0.0723
"SPC110",0.1197,0.97285,"YES","yeast",0.123
"CNL1",0.069375,0.62115,"YES","yeast",0.1117
"GGA1",0.1415,0.721725,"YES","yeast",0.1961
"EAF1",0.123,0.8431,"YES","yeast",0.1459
"BCP1",0.052425,0.602275,"YES","yeast",0.087
"TFC6",0.10335,1.01815,"YES","yeast",0.1015
"ESC2",0.140025,0.879075,"NO","yeast",0.1593
"SEM1",0.039025,0.415925,"NO","yeast",0.0938
"PTH2",0.08325,0.794425,"YES","yeast",0.1048
"CDC40",0.0875,0.8513,"NO","yeast",0.1028
"ESF1",0.07585,0.9399,"NO","yeast",0.0807
"KEI1",0.063275,0.593825,"NO","yeast",0.1066
"YPR1",0.03395,0.8795,"YES","yeast",0.0386
"XRS2",0.277125,1.3364,"NO","yeast",0.2074
"DXO1",0.154175,0.61205,"NO","yeast",0.2519
"CTS2",0.1042,0.882175,"NO","yeast",0.1181
"VPS74",0.02195,0.590225,"NO","yeast",0.0372
"FRQ1",0.015175,1.1712,"YES","yeast",0.013
"PHO92",0.083375,0.9553,"YES","yeast",0.0873
"PTC3",0.03565,0.7596,"YES","yeast",0.0469
"WIP1",0.079275,0.851325,"YES","yeast",0.0931
"BCS1",0.040225,0.82165,"NO","yeast",0.049
"ARH1",0.075525,0.84855,"NO","yeast",0.089
"ATP17",0.0245,0.508375,"YES","yeast",0.0482
"LSM6",0.0246,1.059875,"NO","yeast",0.0232
"RGA2",0.12325,0.9274,"NO","yeast",0.1329
"SDH6",0.042025,0.758425,"YES","yeast",0.0554
"ARO10",0.07065,0.813575,"NO","yeast",0.0868
"YRA1",0.038425,0.5373,"NO","yeast",0.0715
"YDR381C-A",0.1066,0.9035,"NO","yeast",0.118
"RPP2B",0.02065,0.09805,"NO","yeast",0.2106
"NKP1",0.11025,0.84445,"YES","yeast",0.1306
"ATO3",0.029275,0.954125,"NO","yeast",0.0307
"MUS81",0.09315,0.972175,"NO","yeast",0.0958
"YDR387C",0.057675,0.735175,"NO","yeast",0.0785
"RVS167",0.034725,0.76915,"YES","yeast",0.0451
"SAC7",0.04365,0.90185,"YES","yeast",0.0484
"UBA2",0.10135,1.5017,"NO","yeast",0.0675
"YDR391C",0.120925,1.02845,"NO","yeast",0.1176
"SPT3",0.0154,2.0801,"NO","yeast",0.0074
"TOD6",0.08595,0.740175,"NO","yeast",0.1161
"SHE9",0.100375,0.5918,"YES","yeast",0.1696
"RPT3",0.009125,0.4435,"YES","yeast",0.0206
"SXM1",0.02375,0.5949,"NO","yeast",0.0399
"NCB2",0.0027,0.6551,"NO","yeast",0.0041
"UTP5",0.059,0.70145,"NO","yeast",0.0841
"HPT1",0.014675,0.666025,"NO","yeast",0.022
"URH1",0.069275,0.815925,"NO","yeast",0.0849
"DIT2",0.0823,1.072825,"NO","yeast",0.0767
"DIT1",0.056575,0.873775,"YES","yeast",0.0647
"RPB7",0.000675,0.5037,"YES","yeast",0.0013
"SAS3",0.16065,0.9653,"NO","yeast",0.1664
"MRP20",0.07785,0.8861,"YES","yeast",0.0879
"PDR15",0.032375,0.794025,"YES","yeast",0.0408
"TRS120",0.082,0.78795,"YES","yeast",0.1041
"ADE8",0.041575,0.71305,"YES","yeast",0.0583
"SIZ1",0.126,0.897975,"NO","yeast",0.1403
"STE14",0.100975,0.754825,"NO","yeast",0.1338
"DFM1",0.095125,0.582575,"YES","yeast",0.1633
"RRP17",0.06415,0.47925,"YES","yeast",0.1339
"ERD1",0.107275,0.6338,"YES","yeast",0.1693
"YDR415C",0.086675,0.9937,"NO","yeast",0.0872
"PIN4",0.061825,0.85625,"NO","yeast",0.0722
"SYF1",0.135775,0.77455,"NO","yeast",0.1753
"RPL12B",0.004125,0.178175,"NO","yeast",0.0232
"RAD30",0.083925,0.8462,"NO","yeast",0.0992
"HKR1",0.27695,0.7189,"NO","yeast",0.3852
"ARO80",0.095475,1.132275,"NO","yeast",0.0843
"SIP1",0.098225,0.777325,"NO","yeast",0.1264
"CAD1",0.198175,0.634675,"NO","yeast",0.3122
"DYN2",0.025,0.714025,"NO","yeast",0.035
"SNX41",0.07095,0.709125,"NO","yeast",0.1001
"RPN9",0.0328,0.7176,"NO","yeast",0.0457
"SEC17",0.01655,1.202675,"NO","yeast",0.0138
"BNA7",0.09825,0.78525,"NO","yeast",0.1251
"TIF35",0.020375,0.494775,"NO","yeast",0.0412
"CYM1",0.058175,0.9672,"YES","yeast",0.0601
"NPL3",0.018225,0.271875,"YES","yeast",0.067
"GPI17",0.046525,0.701275,"YES","yeast",0.0663
"PPM1",0.0974,0.76905,"YES","yeast",0.1266
"PPZ2",0.066825,0.724575,"NO","yeast",0.0922
"GPI19",0.062025,0.747125,"NO","yeast",0.083
"THI74",0.1254,0.584475,"NO","yeast",0.2146
"LRS4",0.149875,0.72135,"NO","yeast",0.2078
"MOH1",0.0083,0.588725,"NO","yeast",0.0141
"DOT1",0.13085,0.816025,"NO","yeast",0.1604
"APT2",0.07805,0.8214,"YES","yeast",0.095
"SSN2",0.052875,1.017225,"YES","yeast",0.052
"YDR444W",0.07085,0.772025,"NO","yeast",0.0918
"ECM11",0.1261,0.908725,"NO","yeast",0.1388
"RPS17B",0.007275,0.1857,"NO","yeast",0.0392
"ADA2",0.022375,1.3382,"NO","yeast",0.0167
"UTP6",0.043475,0.715875,"NO","yeast",0.0607
"RPS18A",0.0062,0.1529,"NO","yeast",0.0405
"YHP1",0.11055,0.74375,"NO","yeast",0.1486
"EDE1",0.072575,0.936275,"NO","yeast",0.0775
"PPN1",0.090325,0.75135,"YES","yeast",0.1202
"TSA2",0.12315,0.697625,"YES","yeast",0.1765
"GUK1",0.03635,0.826,"YES","yeast",0.044
"NHX1",0.02885,0.75325,"YES","yeast",0.0383
"TOM1",0.03935,0.83215,"YES","yeast",0.0473
"HEH2",0.1757,0.9179,"NO","yeast",0.1914
"PFA5",0.132575,0.76225,"YES","yeast",0.1739
"TFB3",0.0165,0.64535,"NO","yeast",0.0256
"MFA1",0.07175,0.588175,"YES","yeast",0.122
"YDR461C-A",0.180225,0.5765,"YES","yeast",0.3126
"PSY4",0.123275,0.79345,"YES","yeast",0.1554
"AIM2",0.078725,0.755775,"NO","yeast",0.1042
"MRPL28",0.0661,0.832425,"YES","yeast",0.0794
"STP1",0.09475,0.859525,"YES","yeast",0.1102
"SPP41",0.13045,0.774325,"YES","yeast",0.1685
"RMT2",0.081275,0.63875,"YES","yeast",0.1272
"PKH3",0.12235,0.790525,"YES","yeast",0.1548
"TLG1",0.0482,0.6847,"NO","yeast",0.0704
"SDC1",0.214125,0.57005,"NO","yeast",0.3756
"UGO1",0.0618,0.61015,"NO","yeast",0.1013
"RPL27B",0.004775,0.344225,"NO","yeast",0.0139
"TRS31",0.056675,1.085675,"NO","yeast",0.0522
"COR1",0.040325,0.720475,"NO","yeast",0.056
"PRP3",0.13065,0.977325,"NO","yeast",0.1337
"JIP4",0.113625,1.1874,"NO","yeast",0.0957
"YDR476C",0.0641,1.05605,"NO","yeast",0.0607
"SNF1",0.02325,0.894875,"NO","yeast",0.026
"SNM1",0.201675,0.8127,"NO","yeast",0.2482
"PEX29",0.066875,0.833275,"NO","yeast",0.0803
"DIG2",0.1796,0.689475,"YES","yeast",0.2605
"PHO8",0.062675,0.6859,"YES","yeast",0.0914
"CWC21",0.08965,0.472225,"YES","yeast",0.1898
"KRE2",0.0901,0.817425,"YES","yeast",0.1102
"YBL044W",0.5251,0.721025,"NO","yeast",0.7283
"VPS52",0.070025,0.8471,"YES","yeast",0.0827
"VPS72",0.178525,0.863275,"YES","yeast",0.2068
"VPS60",0.024275,0.56015,"YES","yeast",0.0433
"RIB3",0.02215,0.765275,"YES","yeast",0.0289
"PAC11",0.13685,0.909375,"YES","yeast",0.1505
"SLD5",0.042025,0.732275,"YES","yeast",0.0574
"PKH1",0.112725,0.68,"YES","yeast",0.1658
"YDR491C",0.21275,0.16475,"NO","yeast",1.2914
"IZH1",0.035675,0.663525,"YES","yeast",0.0538
"MZM1",0.07685,0.668925,"YES","yeast",0.1149
"ECM13",0.1658,0.74625,"NO","yeast",0.2222
"RSM28",0.1189,0.8714,"NO","yeast",0.1364
"VPS3",0.154133333333,1.2025,"NO","yeast",0.1282
"PUF6",0.045325,0.784275,"NO","yeast",0.0578
"ITR1",0.033075,0.683475,"YES","yeast",0.0484
"SEC20",0.1172,0.710575,"NO","yeast",0.1649
"LCD1",0.0812,0.83355,"NO","yeast",0.0974
"RPL37B",0.025,0.1732,"NO","yeast",0.1443
"PLM2",0.157425,0.88345,"NO","yeast",0.1782
"SAM2",0.0096,0.621425,"YES","yeast",0.0154
"LPP1",0.054125,0.748325,"NO","yeast",0.0723
"FUI1",0.065575,0.742375,"YES","yeast",0.0883
"PSP1",0.0878,0.74805,"NO","yeast",0.1174
"GMC1",0.1763,0.727075,"NO","yeast",0.2425
"GIN4",0.056325,0.875525,"NO","yeast",0.0643
"GNP1",0.03835,0.8214,"YES","yeast",0.0467
"SMT3",0.009175,0.559725,"YES","yeast",0.0164
"SDH7",0.0688,0.643475,"NO","yeast",0.1069
"EMI1",0.102575,1.01215,"NO","yeast",0.1013
"GRX2",0.018725,0.5631,"NO","yeast",0.0333
"YDR514C",0.097575,0.82245,"YES","yeast",0.1186
"SLF1",0.213975,0.7394,"YES","yeast",0.2894
"RIB1",0.05065,0.858425,"NO","yeast",0.059
"EMI2",0.01035,0.8386,"NO","yeast",0.0123
"GRH1",0.0672,0.6628,"NO","yeast",0.1014
"EUG1",0.06985,0.659825,"NO","yeast",0.1059
"FPR2",0.064625,0.687475,"YES","yeast",0.094
"URC2",0.1052,0.9025,"NO","yeast",0.1166
"SPS2",0.09135,0.7604,"NO","yeast",0.1201
"SPS1",0.0336,0.699825,"NO","yeast",0.048
"AGE1",0.10085,0.59375,"NO","yeast",0.1699
"SNA2",0.032175,0.5559,"NO","yeast",0.0579
"RBA50",0.0879,1.0631,"NO","yeast",0.0827
"HEK2",0.04695,0.79185,"NO","yeast",0.0593
"HLR1",0.110175,0.77425,"NO","yeast",0.1423
"QCR7",0.0272,1.3166,"NO","yeast",0.0207
"APA2",0.173425,0.63735,"NO","yeast",0.2721
"CAB1",0.03025,0.52745,"NO","yeast",0.0574
"KRE28",0.121425,0.624525,"YES","yeast",0.1944
"HSP31",0.07515,0.9812,"YES","yeast",0.0766
"HPA3",0.085575,0.519425,"NO","yeast",0.1647
"SIT1",0.043375,0.770575,"YES","yeast",0.0563
"AVT2",0.051125,1.059175,"NO","yeast",0.0483
"CAN1",0.037175,0.769575,"NO","yeast",0.0483
"SHE1",0.09615,0.566075,"NO","yeast",0.1699
"NPR2",0.07075,0.844275,"NO","yeast",0.0838
"CIN8",0.052675,0.748675,"YES","yeast",0.0704
"PRB1",0.043225,0.622825,"YES","yeast",0.0694
"SOM1",0.076225,0.578625,"YES","yeast",0.1317
"PCM1",0.06685,0.74995,"YES","yeast",0.0891
"YEL057C",0.129875,0.664225,"NO","yeast",0.1955
"HAT2",0.062025,0.70345,"NO","yeast",0.0882
"POL5",0.0954,0.668025,"NO","yeast",0.1428
"RPL12A",0.00435,0.21035,"NO","yeast",0.0207
"MAK10",0.091175,0.663075,"NO","yeast",0.1375
"PET9",0.019675,0.284125,"YES","yeast",0.0692
"AFG1",0.043875,0.7906,"NO","yeast",0.0555
"VMA8",0.0108,0.38935,"YES","yeast",0.0277
"RML2",0.0359,0.720075,"NO","yeast",0.0499
"TCA17",0.108775,0.84855,"YES","yeast",0.1282
"FRD1",0.04125,0.83255,"YES","yeast",0.0495
"GLY1",0.0239,0.754975,"NO","yeast",0.0317
"IES6",0.05265,1.40515,"NO","yeast",0.0375
"YEL043W",0.07515,0.780825,"NO","yeast",0.0962
"GDA1",0.1117,1.032275,"NO","yeast",0.1082
"YEF1",0.099825,0.92115,"NO","yeast",0.1084
"YBL029C-A",0.039325,0.901175,"YES","yeast",0.0436
"UTR2",0.0664,0.71375,"NO","yeast",0.093
"CYC7",0.02185,0.676025,"NO","yeast",0.0323
"UTR4",0.0884,1.01455,"YES","yeast",0.0871
"RAD23",0.04995,0.65405,"YES","yeast",0.0764
"ANP1",0.023675,0.8848,"NO","yeast",0.0268
"UTR5",0.393675,0.42345,"NO","yeast",0.9297
"HYP2",0.0186,0.244875,"NO","yeast",0.076
"MCM3",0.02485,0.776725,"NO","yeast",0.032
"SPF1",0.02325,0.6788,"NO","yeast",0.0343
"ECM10",0.106575,0.84085,"NO","yeast",0.1267
"YBL029W",0.0618,0.6276,"YES","yeast",0.0985
"GEM1",0.028875,0.6842,"NO","yeast",0.0422
"BUD16",0.044375,0.8359,"NO","yeast",0.0531
"VMA3",0,0.20865,"NO","yeast",0
"SNU13",0.001875,0.2157,"NO","yeast",0.0087
"YEL025C",0.24265,0.7278,"NO","yeast",0.3334
"RIP1",0.01355,0.714425,"NO","yeast",0.019
"YEL023C",0.0966,0.889525,"YES","yeast",0.1086
"GEA2",0.042675,0.71515,"YES","yeast",0.0597
"URA3",0.014225,1.140125,"YES","yeast",0.0125
"YEL020C",0.069575,0.8556,"NO","yeast",0.0813
"YBL028C",0.0628,0.585625,"NO","yeast",0.1072
"MMS21",0.093975,0.8616,"YES","yeast",0.1091
"EAF5",0.080125,0.71685,"YES","yeast",0.1118
"GTT3",0.088325,0.775725,"NO","yeast",0.1139
"NPP2",0.15485,0.70385,"NO","yeast",0.22
"EDC3",0.038675,0.7562,"NO","yeast",0.0511
"VAC8",0.006175,0.671325,"NO","yeast",0.0092
"UBC8",0.0351,0.67665,"NO","yeast",0.0519
"GLC3",0.0203,1.068775,"NO","yeast",0.019
"GCN4",0.05525,0.57945,"NO","yeast",0.0953
"RPL19B",0.001775,0.135625,"NO","yeast",0.0131
"YEL008W",0.121675,0.200075,"NO","yeast",0.6081
"MIT1",0.0444,0.660925,"NO","yeast",0.0672
"YEA6",0.0501,0.652425,"NO","yeast",0.0768
"VAB2",0.166625,0.776775,"YES","yeast",0.2145
"YEA4",0.12605,0.725625,"NO","yeast",0.1737
"GIM4",0.039275,0.80545,"NO","yeast",0.0488
"WBP1",0.06155,0.667475,"NO","yeast",0.0922
"IRC22",0.116125,0.57535,"NO","yeast",0.2018
"MNN1",0.108825,1.134475,"NO","yeast",0.0959
"NOP16",0.089125,0.729875,"NO","yeast",0.1221
"LSM2",0.00255,0.4711,"NO","yeast",0.0054
"PMI40",0.026325,0.58255,"NO","yeast",0.0452
"FMP52",0.073275,1.803325,"NO","yeast",0.0406
"YND1",0.0744,0.78545,"YES","yeast",0.0947
"NUG1",0.0333,0.5645,"NO","yeast",0.059
"PAC2",0.190175,0.656525,"NO","yeast",0.2897
"TMA20",0.02395,0.6803,"NO","yeast",0.0352
"SEC3",0.079075,0.766725,"NO","yeast",0.1031
"NTF2",0.005575,0.6257,"NO","yeast",0.0089
"YER010C",0.074725,0.863625,"YES","yeast",0.0865
"TIR1",0.108825,0.436475,"NO","yeast",0.2493
"RRN10",0.05815,0.92055,"NO","yeast",0.0632
"TIR1",0.08285,0.710425,"NO","yeast",0.1166
"PRE1",0.018425,0.576475,"NO","yeast",0.032
"PRP22",0.060175,0.96415,"YES","yeast",0.0624
"HEM14",0.0829,0.7594,"NO","yeast",0.1092
"FAA2",0.05355,0.782075,"NO","yeast",0.0685
"BIM1",0.068925,0.7531,"NO","yeast",0.0915
"AFG3",0.036975,1.24235,"NO","yeast",0.0298
"SPC25",0.0923,0.633025,"NO","yeast",0.1458
"ISC1",0.0389,1.16215,"NO","yeast",0.0335
"SBH2",0.027425,0.51315,"NO","yeast",0.0534
"NCL1",0.020875,0.645,"YES","yeast",0.0324
"GPA2",0.06325,0.84625,"YES","yeast",0.0747
"RPN3",0.0373,0.646075,"YES","yeast",0.0577
"SRB4",0.076475,0.836475,"YES","yeast",0.0914
"PRO3",0.020075,0.5681,"YES","yeast",0.0353
"YAT2",0.0484,0.830125,"YES","yeast",0.0583
"GCD11",0.00895,0.67395,"NO","yeast",0.0133
"CHO1",0.0253,0.7688,"NO","yeast",0.0329
"GAL83",0.0508,0.73205,"NO","yeast",0.0694
"MIG3",0.2647,0.757575,"YES","yeast",0.3494
"SMB1",0.0636,0.9258,"NO","yeast",0.0687
"MCM2",0.01495,1.13125,"YES","yeast",0.0132
"CHZ1",0.1284,0.6921,"YES","yeast",0.1855
"YPT31",0.010925,0.5486,"NO","yeast",0.0199
"FIR1",0.17335,0.846975,"NO","yeast",0.2047
"ZRG8",0.162575,0.939475,"NO","yeast",0.173
"YER034W",0.196675,0.6393,"YES","yeast",0.3076
"EDC2",0.166025,0.62965,"YES","yeast",0.2637
"ARB1",0.009425,0.4114,"YES","yeast",0.0229
"PHM8",0.059475,0.7424,"YES","yeast",0.0801
"KRE29",0.1579,0.6839,"NO","yeast",0.2309
"HVG1",0.092225,1.19565,"NO","yeast",0.0771
"PIM1",0.045075,0.702875,"YES","yeast",0.0641
"GLN3",0.061625,0.62425,"NO","yeast",0.0987
"YEN1",0.1435,0.94135,"NO","yeast",0.1524
"MXR1",0.0416,1.250825,"NO","yeast",0.0333
"SAH1",0.01175,0.350925,"YES","yeast",0.0335
"ERG28",0.02395,0.282275,"NO","yeast",0.0848
"MEI4",0.1632,0.6052,"NO","yeast",0.2697
"ACA1",0.230675,0.884725,"NO","yeast",0.2607
"SPO73",0.067425,1.204975,"NO","yeast",0.056
"SAP1",0.115025,0.8672,"NO","yeast",0.1326
"CAJ1",0.0303,0.843675,"NO","yeast",0.0359
"HAP3",0.01935,1.04395,"YES","yeast",0.0185
"ISD11",0.048375,0.7886,"NO","yeast",0.0613
"TPA1",0.035925,0.722075,"YES","yeast",0.0498
"RSM18",0.066825,0.690625,"YES","yeast",0.0968
"JHD1",0.131375,0.8144,"YES","yeast",0.1613
"HOM3",0.01395,0.692475,"YES","yeast",0.0201
"PIC2",0.016025,0.8165,"NO","yeast",0.0196
"YER053C-A",0.013,0.313575,"NO","yeast",0.0415
"GIP2",0.1005,0.72905,"NO","yeast",0.1379
"HIS1",0.033825,0.803075,"YES","yeast",0.0421
"FCY2",0.030175,0.61185,"NO","yeast",0.0493
"RFT1",0.036325,0.576975,"YES","yeast",0.063
"RPL34A",0.00865,0.176175,"NO","yeast",0.0491
"HMF1",0.040675,0.4725,"NO","yeast",0.0861
"PET117",0.057975,0.54865,"NO","yeast",0.1057
"PCL6",0.077275,0.7387,"YES","yeast",0.1046
"FCY2",0.036475,1.19025,"NO","yeast",0.0306
"FCY21",0.0615,1.019625,"YES","yeast",0.0603
"CEM1",0.0652,0.983825,"NO","yeast",0.0663
"GPP2",0.009475,1.3074,"YES","yeast",0.0072
"THO1",0.137525,0.764175,"YES","yeast",0.18
"VHR2",0.1513,0.82805,"YES","yeast",0.1827
"PEP1",0.168375,0.873125,"NO","yeast",0.1928
"SPC72",0.1202,0.60945,"NO","yeast",0.1972
"ICL1",0.0192,0.758325,"NO","yeast",0.0253
"RGI1",0.03035,1.393425,"NO","yeast",0.0218
"MOT2",0.04095,0.744325,"NO","yeast",0.055
"ARG5,6",0.044775,0.8439,"NO","yeast",0.0531
"RNR1",0.0167,0.649275,"YES","yeast",0.0257
"TDA2",0.165975,0.577,"YES","yeast",0.2877
"VTC1",0.0047,0.510625,"YES","yeast",0.0092
"ALD5",0.033825,0.6928,"NO","yeast",0.0488
"RPS24A",0.005175,0.108025,"NO","yeast",0.0479
"FUS3",0.0271,1.179425,"YES","yeast",0.023
"YOS1",0.02455,0.650875,"NO","yeast",0.0377
"PTP3",0.07705,0.729325,"NO","yeast",0.1056
"YER077C",0.10885,0.660125,"NO","yeast",0.1649
"ICP55",0.052775,0.76615,"NO","yeast",0.0689
"YER079W",0.0746,0.738625,"NO","yeast",0.101
"AIM9",0.060975,0.791725,"NO","yeast",0.077
"SER3",0.014375,0.6857,"NO","yeast",0.021
"UTP7",0.038025,0.89485,"YES","yeast",0.0425
"GET2",0.075125,0.684,"NO","yeast",0.1098
"YER084W",0.35635,0.634425,"NO","yeast",0.5617
"ACH1",0.00765,0.87485,"NO","yeast",0.0087
"ILV1",0.01215,0.6089,"YES","yeast",0.02
"AIM10",0.07105,1.57505,"YES","yeast",0.0451
"SBH1",0.025225,0.417325,"YES","yeast",0.0604
"DOT6",0.098875,0.62975,"NO","yeast",0.157
"PTC2",0.031425,0.7724,"NO","yeast",0.0407
"TRP2",0.025625,1.2261,"NO","yeast",0.0209
"MET6",0.013275,0.343725,"YES","yeast",0.0386
"YER091C-A",0.06825,0.05975,"NO","yeast",1.1423
"IES5",0.103925,0.826825,"YES","yeast",0.1257
"TSC11",0.043925,0.8004,"NO","yeast",0.0549
"RRN6",0.11695,0.748275,"NO","yeast",0.1563
"AIM11",0.101,0.718625,"NO","yeast",0.1405
"PUP3",0.007925,0.563475,"NO","yeast",0.0141
"RAD51",0.028175,0.7557,"YES","yeast",0.0373
"SHC1",0.141775,0.80725,"NO","yeast",0.1756
"UBP9",0.1181,1.20245,"NO","yeast",0.0982
"PRS2",0.01415,1.018525,"YES","yeast",0.0139
"UBC6",0.0412,0.816325,"YES","yeast",0.0505
"AST2",0.058775,1.060375,"NO","yeast",0.0554
"RPS8B",0.007925,0.216025,"YES","yeast",0.0367
"SSA4",0.01705,1.05865,"NO","yeast",0.0161
"FMT1",0.118175,1.0986,"YES","yeast",0.1076
"RTT105",0.172325,0.8236,"YES","yeast",0.2092
